"New Accounts","Νέοι Λογαριασμοί"
"Add to Cart","Προσθήκη στο Καλάθι"
"In stock","Σε απόθεμα"
"Out of stock","Εξαντλημένο"
"Add to Wish List","Προσθήκη στη Λίστα Επιθυμιών"
"Add to Compare","Προσθήκη για Σύγκριση"
"Recently Compared","Πρόσφατα Συγκρίθηκαν"
"Learn More","Μάθετε Περισσότερα"
"Marketing","Μάρκετινγκ"
"Products in Cart","Προϊόντα στο Καλάθι"
"Abandoned Cart","Εγκαταλελειμμένο Καλάθι"
"Search Terms","Όροι Αναζήτησης"
"By Customers","Από τους Πελάτες"
"By Products","Από τα Προϊόντα"
"Refunds","Επιστροφές"
"Order Total","Σύνολο Παραγγελίας"
"Order Count","Αρίθμηση Παραγγελίας"
"New","Νέο"
"Ordered","Παραγγέλθηκαν"
"Recently Viewed/Compared Products","Πρόσφατα Προβληθέντα/Συγκριθέντα Προϊόντα"
"Show for Current","Προβολή για Τρέχον"
"Default Recently Viewed Products Count","Προεπιλεγμένη Καταμέτρηση Προϊόντων που Προβλήθηκαν Πρόσφατα"
"Default Recently Compared Products Count","Προεπιλεγμένη Καταμέτρηση Προϊόντων που Συγκρίθηκαν Πρόσφατα"
"Dashboard","Πίνακας Ελέγχου"
"Year-To-Date Starts","Έτος-Σε-Ημερομηνία Έναρξη"
"Current Month Starts","Τρέχον Μήνα Έναρξη"
"Select day of the month.","Επιλέξτε την ημέρα του μήνα."
"Average","Μέσος όρος"
"Stock Quantity","Ποσότητα Αποθέματος"
"Ordered Quantity","Παραγγελθείσα Ποσότητα"
"The report displays the top 5 most viewed products for each interval.","Η αναφορά εμφανίζει τα τοπ 5 πιο εμφανισμένα προϊόντα για κάθε χρονικό διάστημα."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Για την ακριβή αναφορά, βεβαιωθείτε ότι ανανεώνετε στατιστικά στοιχεία διάρκειας ζωής κάθε φορά που αλλάζετε τη ζώνη ώρας."
"Guest","Επισκέπτης"
"Action","Ενέργεια"
"Average (Approved)","Μέσος όρος (Εγκεκριμένο)"
"Last Review","Τελευταία Αξιολόγηση"
"Order Created","Η παραγγελία δημιουργήθηκε"
"Order Updated","Η παραγγελία ενημερώθηκε"
"The Order Updated report is created in real time and does not require a refresh.","Η έκθεση ενημέρωσης παραγγελίας δημιουργείται σε πραγματικό χρόνο και δεν απαιτεί μια ανανέωση."
"Last Invoice Created Date","Τελευταία Ημερομηνία Δημιουργίας Τιμολογίου"
"Last Credit Memo Created Date","Τελευταία Ημερομηνία Δημιουργίας Πιστωτικού Υπομνήματος"
"First Invoice Created Date","Πρώτη Ημερομηνία Δημιουργίας Πιστωτικού Υπομνήματος"
"Refresh Lifetime Statistics","Ανανέωση Στατιστικών Διάρκειας Ζωής"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Είστε βέβαιοι ότι θέλετε να ανανεώσετε τώρα στατιστικά στοιχεία διάρκειας ζωής; Αυτή η λειτουργία μπορεί να επιβραδύνει την εμπειρία αγορών των πελατών σας."
"Refresh Statistics for the Last Day","Ανανέωση των Στατιστικών για την Τελευταία Ημέρα"
"Are you sure you want to refresh statistics for the last day?","Είστε βέβαιοι ότι θέλετε να ανανεώσετε τα στατιστικά στοιχεία για την τελευταία ημέρα;"
"Report","Αναφορά"
"Description","Περιγραφή"
"undefined","απροσδιόριστο"
"Best Sellers Report","Έκθεση Καλύτερων Πωλητών"
"Recently Viewed Products","Πρόσφατες Εμφανίσεις Προϊόντων"
"List of Products Recently Viewed by Visitor","Κατάλογος των προϊόντων που πρόσφατα προβλήθηκαν από επισκέπτη"
"Number of Products to display","Αριθμός Προϊόντων για Προβολή"
"Viewed Products Grid Template","Πρότυπο Πλέγματος Προβληθέντων Προϊόντων"
"Viewed Products List Template","Πρότυπο Λίστας Προβληθέντων Προϊόντων"
"Viewed Products Images and Names Template","Πρότυπο Εικόνων Προϊόντων και Ονομάτων που Προβλήθηκαν"
"Viewed Products Names Only Template","Πρότυπο Ονομάτων Προϊόντων που Προβλήθηκαν Μόνο"
"Viewed Products Images Only Template","Πρότυπο Εικόνων Προϊόντων που Προβλήθηκαν Μόνο"
"Recently Compared Products","Πρόσφατα Συγκριθέντα Προϊόντα"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Λίστα Προϊόντων που Συγκρίθηκαν Πρόσφατα και Αφαιρέθηκαν από τη Λίστα Σύγκρισης από Επισκέπτη"
"Compared Products Grid Template","Πρότυπο Πλέγματος Συγκρινόμενων Προϊόντων"
"Compared Products List Template","Πρότυπο Λίστας Συγκρινόμενων Προϊόντων"
"Compared Products Images and Names Template","Πρότυπο Εικόνων Προϊόντων και Ονομάτων που Συγκρίθηκαν"
"Compared Product Names Only Template","Πρότυπο Ονομάτων Προϊόντων που Συγκρίθηκαν Μόνο"
"Compared Product Images Only Template","Πρότυπο Εικόνων Προϊόντων που Συγκρίθηκαν Μόνο"
"System configuration is not found for report event type ""%1""","Η διαμόρφωση συστήματος δεν βρέθηκε για τον τύπο συμβάντος αναφοράς ""%1"""
"General Options","Γενικές Επιλογές"
"Enable Reports","Ενεργοποίηση Αναφορών"
"If disabled, all report events will be disabled","Εάν απενεργοποιηθεί, όλα τα συμβάντα αναφοράς θα απενεργοποιηθούν"
"Enable ""Product View"" Report","Ενεργοποιήστε την αναφορά ""Προβολή Προϊόντος"""
"If enabled, will collect statistic of viewed product pages","Εάν είναι ενεργοποιημένη, θα συγκεντρώσει στατιστικά στοιχεία για τις προβαλλόμενες σελίδες προϊόντων"
"Enable ""Send Product Link To Friend"" Report","Ενεργοποιήστε την Αναφορά ""Αποστολή Προϊόντος σε Φίλο"""
"If enabled, will collect statistic of product links sent to friend","Εάν είναι ενεργοποιημένη, θα συλλέξει στατιστικά στοιχεία για συνδέσμους προϊόντων που αποστέλλονται σε φίλους"
"Enable ""Add Product To Compare List"" Report","Ενεργοποιήστε την αναφορά ""Προσθήκη Προϊόντος στη Λίστα Σύγκρισης"""
"If enabled, will collect statistic of products added to Compare List","Εάν είναι ενεργοποιημένο, θα συλλέξει στατιστικά στοιχεία προϊόντων που προστέθηκαν στη Λίστα Σύγκρισης"
"Enable ""Product Added To Cart"" Report","Ενεργοποιήστε την αναφορά ""Προϊόν Προστέθηκε Στο Καλάθι"""
"If enabled, will collect statistic of products added to Cart","Εάν είναι ενεργοποιημένο, θα συλλέξει στατιστικά στοιχεία προϊόντων που προστέθηκαν στο Καλάθι"
"Enable ""Product Added To WishList"" Report","Ενεργοποιήστε την αναφορά ""Προϊόν Προστέθηκε Σε Λίστα Επιθυμιών"""
"If enabled, will collect statistic of products added to WishList","Εάν είναι ενεργοποιημένο, θα συλλέξει στατιστικά στοιχεία προϊόντων που προστέθηκαν στη Λίστα Επιθυμιών"
"Enable ""Share WishList"" Report","Ενεργοποιήστε την Αναφορά ""Μοιραστείτε τη Λίστα Επιθυμιών"""
"If enabled, will collect statistic of shared WishLists","Εάν είναι ενεργοποιημένο, θα συγκεντρώνει στατιστικά στοιχεία κοινών Λιστών Επιθυμιών"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Τελευταία ενημέρωση: %1. Για να ανανεώσετε τις τελευταίες ημέρες για τα <a href=""%2"">Στατιστικά στοιχεία</a>, κάντε κλικ <a href=""#2"" data-post=""%3""> εδώ</a>."
