"Root","Juuri"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","Ei asettelun päivityksiä"
"Products only","Vain tuotteet"
"Static block only","Vain staattinen lohko"
"Static block and products","Staattinen lohko ja tuotteet"
"Please select a static block.","Valitse staattinen lohko."
"frontend_label","frontend_label"
"Not allowed to edit the category's design attributes","Not allowed to edit the category's design attributes"
"Could not save product ""%1"" with position %2 to category %3","Could not save product ""%1"" with position %2 to category %3"
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"Could not save product ""%product"" with position %position to category %category","Could not save product ""%product"" with position %position to category %category"
"The category doesn't contain the specified products.","The category doesn't contain the specified products."
"Could not save products ""%products"" to category %category","Could not save products ""%products"" to category %category"
"Operation do not allow to move a parent category to any of children category","Operation do not allow to move a parent category to any of children category"
"Could not move category","Kategoriaa ei voitu siirtää"
"Could not save category: %1","Could not save category: %1"
"Cannot delete category with id %1","Cannot delete category with id %1"
"This customer is not authorized to access this list","This customer is not authorized to access this list"
"-- Please Select a Category --","--- Valitse kategoria ---"
"Grid Only","Vain ruudukko"
"List Only","Vain luettelo"
"Grid (default) / List","Ruudukko (oletus) / luettelo"
"List (default) / Grid","Luettelo (oletus) / Ruudukko"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
"Manual","Käsin"
"Fixed","Kiinteä"
"Percent","Prosenttia"
"Discount","Alennus"
"-- Please select --","--- Valitse ---"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
"24h","24t"
"Stretch","Venytetty"
"Tile","Vierekkäin"
"Top/Left","Ylhäällä/Vasemmalla"
"Top/Right","Yläoikea"
"Bottom/Left","Alavasen"
"Bottom/Right","Alhaalla/Oikealla"
"Center","Keskitetty"
"Image optimization based on query parameters","Image optimization based on query parameters"
"Unique hash per image variant (Legacy mode)","Unique hash per image variant (Legacy mode)"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Tapahtui virhe tiedostoa tallennettaessa."
"File validation failed.","File validation failed."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unknown EAV indexer type ""%1"".","Unknown EAV indexer type ""%1""."
"We can't rebuild the index for an undefined product.","Indeksiä ei voida uudelleenrakentaa määrittelemättömälle tuotteelle."
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Ei tuettu tuotetyyppi ""%1""."
"Please correct the category.","Please correct the category."
"Must be category model instance or its id.","Must be category model instance or its id."
"The attribute model is not defined.","The attribute model is not defined."
"Category","Kategoria"
"%1 - %2","%1 - %2"
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","The filter must be an object. Please set the correct filter."
"Clear Price","Tyhjennä hinta"
"%1 and above","%1 ja yli"
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","There is no MediaGalleryEntryConverter for given type"
"Please enter a number 0 or greater in this field.","Syötä tähän kenttää numero, joka on nolla (0) tai sitä suurempi."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"SKU length should be %1 characters maximum.","SKU length should be %1 characters maximum."
"Please enter a valid number in this field.","Kirjoita kelvollinen numero tähän kenttään."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Percentage value must be a number between 0 and 100.","Percentage value must be a number between 0 and 100."
"Invalid option id %1","Invalid option id %1"
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
