"Root","Sumber"
"Could not move category","Tidak bisa memindahkan kategori"
"Could not save category: %1","Tidak dapat menyimpan kategori: %1"
"Cannot delete category with id %1","Tidak dapat menghapus kategori dengan id %1"
"-- Please Select a Category --","- Silahkan Pilih sebuah Kategori -"
"Grid Only","Hanya kisi"
"List Only","Daftar saja"
"Grid (default) / List","Kisi (bawaan) / daftar"
"List (default) / Grid","Daftar (bawaan) / kisi"
"Automatic (equalize price ranges)","Otomatis (menyamakan rentang harga)"
"Automatic (equalize product counts)","Otomatis (menyamakan hitungan produk)"
"Manual","Manual"
"Fixed","Tetap"
"Percent","Persen"
"Discount","Diskon"
"-- Please select --","-- Silahkan pilih --"
"Product Thumbnail Itself","Produk Miniatur Sendiri"
"Parent Product Thumbnail","Thumbnail Produk Orang Tua"
"12h AM/PM","12h AM / PM"
"24h","24h"
"Stretch","Meregang"
"Tile","Ubin"
"Top/Left","Atas / Kiri"
"Top/Right","Kanan atas"
"Bottom/Left","Kiri bawah"
"Bottom/Right","Kanan / bawah"
"Center","Pusat"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 tidak meluas \ Magento \ Framework \ Model \ AbstractModel"
"Something went wrong while saving the file(s).","Ada yang tidak beres saat menyimpan berkas(s)."
"File can not be saved to the destination folder.","File tidak dapat disimpan ke folder tujuan."
"Unknown EAV indexer type ""%1"".","Tipe pengindeks EAV tidak dikenal ""%1 ""."
"We can't rebuild the index for an undefined product.","Kami tidak dapat membangun kembali indeks untuk produk yang tidak terdefinisi."
"Bad value was supplied.","Nilai buruk diberikan."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modul Katalog Kolom memiliki batas atribut %2$d yang dapat disaring dan / atau dapat diurutkan. Saat ini ada %1$d dari mereka. Silakan kurangi jumlah atribut yang dapat disaring / dapat diurutkan agar dapat menggunakan modul ini"
"Unsupported product type ""%1"".","Jenis produk yang tidak didukung ""%1""."
"Please correct the category.","Perbaiki kategori."
"Must be category model instance or its id.","Harus contoh kategori model atau idnya."
"The attribute model is not defined.","Model atribut tidak didefinisikan."
"Category","Kategori"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 tidak memperpanjang \ Magento \ Catalog \ Model \ Layer \ Filter \ Dynamic \ AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 tidak meluas \ Magento \ Catalog \ Model \ Layer \ Filter \ AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filter itu harus berupa objek. Silakan atur filter yang benar."
"Clear Price","Harga yang jelas"
"%1 and above","%1 keatas"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Harga kelompok harus lebih besar dari 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Konverter Media Gallery harus berupa instance dari EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Tidak ada MediaGalleryEntryConverter untuk tipe yang diberikan"
"Please enter a number 0 or greater in this field.","Silakan masukkan angka 0 atau lebih di bidang ini."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","Panjang SKU maksimal maksimal %1 karakter."
"Please enter a valid number in this field.","Masukkan nomor yang valid di bidang ini."
"We found a duplicate website, tier price, customer group and quantity.","Kami menemukan situs web duplikat, tingkat harga, kelompok pelanggan dan kuantitas."
"Percentage value must be a number between 0 and 100.","Nilai persentase harus berupa angka antara 0 dan 100."
"Invalid option id %1","Pilihan tidak sah id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Disediakan atribut set non product set atribut."
"Use config","Menggunakan konfigurasi"
"Enabled","Diaktifkan"
"Disabled","Dinonaktifkan"
"Attribute Set already exists.","Set Atribut sudah ada."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Kami tidak dapat menyalin file %1. Silakan hapus media dengan gambar yang tidak ada dan coba lagi."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","Jenis pilihan untuk mendapatkan contoh grup tidak benar."
"Select type options required values rows.","Pilih opsi tipe baris nilai yang dibutuhkan."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Mohon tentukan tanggal pilihan yang dibutuhkan(s)."
"Please specify time required option(s).","Silakan tentukan pilihan waktu yang dibutuhkan(s)."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Jenis contoh pilihan pada grup pilihan tidak benar."
"The product instance type in options group is incorrect.","Jenis contoh produk pada grup pilihan tidak benar."
"The configuration item option instance in options group is incorrect.","Contoh pilihan barang konfigurasi pada kelompok pilihan tidak benar."
"The configuration item instance in options group is incorrect.","Contoh barang konfigurasi pada kelompok pilihan tidak benar."
"The BuyRequest instance in options group is incorrect.","Contoh BuyRequest pada kelompok pilihan tidak benar."
"We can't add the product to the cart because of an option validation issue.","Kami tidak dapat menambahkan produk ke keranjang karena ada masalah validasi opsi."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 tidak meluas \ Magento \ Catalog \ Model \ Produk \ Option \ Type \ DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","File '%1' untuk '%2' memiliki ekstensi yang tidak valid."
"The maximum allowed image size for '%1' is %2x%3 px.","Ukuran gambar maksimum yang diizinkan untuk '%1' adalah %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","File '%1' yang Anda upload lebih besar dari %2 megabyte yang diizinkan oleh server kami."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","File '%1' tidak valid Silahkan pilih yang lain"
"File '%1' is not an image.","File ' %1 ' bukan gambar."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Beberapa pilihan item yang dipilih saat ini tidak tersedia."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Atribut ""%fieldname = %fieldValue"" tidak valid."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Toko yang diminta tidak ditemukan. ID Baris: SKU = %S KU, ID Toko: %s toreId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Atribut tidak valid Cost = %c ost. ID Baris: SKU = %S KU, ID Toko: %s toreId."
"Could not save Prices.","Tidak dapat menyimpan harga."
"Could not delete Prices","Tidak dapat menghapus Harga"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Toko yang diminta tidak ditemukan. Baris ID: SKU = %SKU, Toko ID: %storeId, Harga Dari: %priceFrom, Harga Untuk: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atribut tidak sah %label = %priceTo. Baris ID: SKU = %SKU, Toko ID: %storeId, Harga Dari: %priceFrom, Harga Untuk: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atribut tidak sah Harga = %price. Baris ID: SKU = %SKU, Toko ID: %storeId, Harga Dari: %priceFrom, Harga Untuk: %priceTo."
"Could not save Tier Prices","Tidak dapat menghemat Harga Tier"
"Could not replace Tier Prices","Tidak dapat mengganti Harga Meningkat"
"Could not delete Tier Prices","Tidak dapat menghapus Harga meningkat"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak sah SKU = %SKU. Baris ID: SKU = %SKU, Web ID: %websiteId, Kelompok Pelanggan: %customerGroup, Jumlah: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak valid Harga = %p beras. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut Jenis Harga tidak valid = %p riceType. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak valid Quantity = %q ty. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut situs web tidak valid =% websiteId. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Kami menemukan situs duplikat, harga meningkat, kelompok pelanggan dan jumlah barang: Customer Group = %c ustomerGroup, Website ID =% websiteId, Quantity = %q ty. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Tidak ada entitas tersebut dengan Kelompok Pelanggan = %customerGroup. Baris ID: SKU = %SKU, Web ID: %websiteId, Kelompok Pelanggan: %customerGroup, Jumlah: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produk tidak mengelompokkan harga dengan data seperti itu: customerGroupId = ' %1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Ada yang tidak beres saat memproses permintaan."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 tidak meluas \ Magento \ Catalog \ Model \ Product \ Type \ AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 tidak meluas \ Magento \ Catalog \ Model \ Product \ Type \ Price"
"Not Visible Individually","Tidak Terlihat Secara Individual"
"Search","Pencarian"
"Catalog, Search","Katalog, Cari"
"Something went wrong while removing products from the websites.","Ada yang tidak beres saat mengeluarkan produk dari situs web."
"Something went wrong while adding products to websites.","Ada yang tidak beres saat menambahkan produk ke situs web."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produk dengan SKU '%1' tidak terkait dengan produk dengan SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produk %1 tidak memiliki hubungan %2 sebagai %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Data produk tidak valid: %1"
"Database connection error","Kesalahan koneksi database"
"Database deadlock found when trying to get lock","Kebuntuan database ditemukan saat mencoba mengunci"
"Database lock wait timeout exceeded","Batas waktu tunggu kunci basis data terlampaui"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Tidak ada situs web yang ditetapkan untuk produk"
"Could not assign product ""%1"" to websites ""%2""","Tidak dapat menetapkan produk ""%1"" ke situs web ""%2"""
"Could not save product ""%1"" with websites %2","Tidak dapat menyimpan produk ""%1"" dengan situs web %2"
"We cannot determine the field name.","Kami tidak bisa menentukan nama bidangnya."
"Attribute '%1' is locked. %2","Atribut ' %1 ' terkunci. %2"
"Do not change the scope. %1","Jangan mengubah ruang lingkup. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 tidak mengimplementasikan BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Jenis produk tidak ditentukan untuk pengindeks."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produk dengan SKU %1 tidak terkait dengan produk dengan SKU %2"
"Multiple Select","Beberapa Pilih"
"Dropdown","Drop-down"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 tidak memperpanjang \ Magento \ Framework \ Filter \ Template"
"As low as","Mulai dari"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Tidak bisa mendapatkan atribut ekstensi"
"message","pesan"
"fl","fl"
"Lock wait timeout","Kunci waktu tunggu"
"123","123"
"Images","Gambar"
"Select...","Memilih..."
"Advanced Pricing","Harga lanjutan"
"Customer Group Price","Harga Grup Pelanggan"
"Customer Group","Grup Pelanggan"
