"Root","Hoofd (root)"
"Used for Sorting in Product Listing","Te gebruiken als sorteeroptie in categorieën"
"Media Image","Media-afbeelding"
"Gallery","Gallerij"
"System Properties","Systeemeigenschappen"
"No","Nee"
"Yes","Ja"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Text","Tekst"
"Varchar","Varchar"
"Static","Statisch"
"Datetime","Datum / tijd"
"Decimal","Decimaal"
"Integer","Integer"
"Globally Editable","Systeembreed bewerkbaar"
"Attribute Information","Attribuutinformatie"
"Properties","Kenmerken"
"Manage Labels","Labels beheren"
"Visible","Zichtbaar"
"Web Site","Website"
"Searchable","Doorzoekbaar"
"Comparable","Vergelijkbaar"
"Delete Selected Group","Geselecteerde groep verwijderen"
"Add New","Voeg nieuwe toe"
"Back","Terug"
"Reset","Resetten"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","je staat op het punt alle producten te verwijderen in deze reeks van archiefattributen. Weet je zeker dat je dat wil doen?"
"New Set Name","Nieuwe set-naam"
"Edit Attribute Set '%1'","Attributenset '%s' bewerken"
"Empty","Leeg"
"Add Attribute","Attribuut toevoegen"
"Add New Group","Nieuwe groep toevoegen"
"Add Group","Groep toevoegen"
"Edit Attribute Set Name","Bewerk naam attribuutset"
"For internal use","Voor intern gebruik"
"Based On","Gebaseerd Op"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"Add Attribute Set","Attribuutset toevoegen"
"Attribute Sets","Attribuut-sets"
"Close Window","sluit venster"
"New Product","Nieuw product"
"Save & Edit","Opslaan en bewerken"
"Save & New","Opslaan & Nieuw"
"Save & Duplicate","Opslaan & Dupliceren"
"Save & Close","Opslaan & Sluiten"
"Attributes","Attributen"
"Change","Verander"
"Advanced Inventory","Geavanceerd assortimentsbeheer"
"Websites","Websites"
"Products Information","Gegevens producten"
"Create Category","Categorie Aanmaken"
"Category Name","Categorie naam"
"Parent Category","Hogere categorie"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Als er geen aangepaste bovenliggende categorieën zijn, gebruik dan de standaard bovenliggende categorie. Je kan de categorie op elk moment wijzigen in <a href=""%1"" target=""_blank"">Producten > Categorieën</a>."
"Price Alert Subscriptions","Prijswaarschuwing inschrijvingen"
"Stock Alert Subscriptions","Stockwaarschuwing inschrijvingen"
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing"
"First Name","Voornaam"
"Last Name","Achternaam"
"Email","E-mail"
"Subscribe Date","Inschrijvingsdatum"
"Last Notified","Laatste melding"
"Send Count","Telling versturen"
"New Attribute","Nieuw attribuut"
"Type","Soort"
"Attribute Set","Attributenset"
"Add New Option","Optie toevoegen"
"Import Options","Import opties"
"Use Default","Gebruik standaard"
"Import","Import"
"Add New Row","Nieuwe rij toevoegen"
"Delete Row","Rij verwijderen"
"Tier Pricing","Staffelprijzen"
"Default Price","Standaard-prijs"
"All Websites","Alle Websites"
"ALL GROUPS","ALLE GROEPEN"
"Add Price","Prijs toevoegen"
"Default Values","standaardwaarden"
"Related Products","Gerelateerde producten"
"Up-sells","verkoop van duurdere producten"
"Cross-sells","Kruis-verkopen"
"Size for %1","Afmeting voor %1"
"Watermark File for %1","Watermerk-bestand voor %1"
"Position of Watermark for %1","Positie van watermerk voor %1"
"Name in %1","Naam in %1"
"Quantity","Aantal"
"Edit","Bewerken"
"Are you sure?","Weet je het zeker?"
"Change Status","Verander status"
"Update Attributes","Attributen bijwerken"
"start typing to search category","begin met typen om categorie te zoeken"
"New Category","Nieuwe Categorie"
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Inc. Tax","Incl. BTW"
"Does this have a weight?","Heeft dit product een gewicht?"
"Product","Product"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Low Stock Products","Producten met weinig voorraad"
"%1 has reached a quantity of %2.","%1 heeft het aantal van %2 bereikt."
"Home","Home"
"Go to Home Page","Ga naar homepagina"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Products Comparison List","Product vergelijk-lijst"
"N/A","n.v.t."
"AM","AM"
"PM","PM"
"-- Please Select --","-- Selecteer --"
"None","Geen"
"New Products from %1","Nieuwe producten sinds %1"
"New Products","Nieuwe producten"
"%1 - Special Products","%1 - Speciale producten"
"Click for price","Klik voor de prijs"
"Special Expires On: %1","Aanbieding verloopt op: %1"
"Price: %1","Prijs: %1"
"Special Price: %1","Aanbiedingsprijs: %1"
"Special Products","Speciale producten"
"Manage Catalog Categories","Beheer catalogus-categorieën"
"Manage Categories","Beheer categorieën"
"You deleted the category.","Je hebt de categorie verwijderd."
"Something went wrong while trying to delete the category.","Er ging iets fout tijdens het verwijderen van de categorie."
"Categories","Categorieën"
"Category is not available for requested store.","Categorie is niet beschikbaar voor opgevraagde winkel."
"There was a category move error.","Er is een fout opgetreden bij het verplaatsen van de categorie."
"You moved the category.","Je hebt de categorie verplaatst."
"Attribute ""%1"" is required.","Attribuut ""%1"" is verplicht."
"You saved the category.","Je hebt de categorie opgeslagen."
"Something went wrong while saving the category.","Er ging iets mis bij het opslaan van de categorie."
"Please select products for attributes update.","Selecteer producten voor attributen-update."
"Please make sure to define SKU values for all processed products.","Zorg ervoor dat je de art.nr. waarden definieert voor alle verwerkte producten."
"A total of %1 record(s) were updated.","In totaal zijn %1 record(s) bijgewerkt."
"Something went wrong while updating the product(s) attributes.","Er ging iets fout tijdens het bijwerken van van het productattribuut."
"Unable to add attribute","Niet mogelijk om attribuut toe te voegen"
"Please, specify attributes","Geef attributen op"
"Catalog","Catalogus"
"Manage Product Attributes","Beheer productattributen"
"We can't delete the attribute.","Attribuut verwijderen niet mogelijk."
"You deleted the product attribute.","Productattribuut verwijderd."
"We can't find an attribute to delete.","Er is geen attribuut gevonden om te verwijderen."
"This attribute no longer exists.","Dit attribuut bestaat niet meer."
"This attribute cannot be edited.","Dit attribuut kan niet bewerkt worden"
"Edit Product Attribute","Productattribuut wijzigen"
"An attribute set named '%1' already exists.","Attribuutset '%1' bestaat al."
"Something went wrong while saving the attribute.","Er ging iets fout bij het opslaan van het attribuut."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribuut-code ""%1"" is ongeldig. Gebruik alleen letters (a-z), getallen (0-9) of laag liggend streepje (_) in dit veld, eerste teken moet een letter zijn."
"We can't update the attribute.","Het attribuut kan niet bijgewerkt worden."
"You saved the product attribute.","Het productattribuut is opgeslagen."
"An attribute with this code already exists.","Er bestaat al een attribuut met deze code."
"An attribute with the same code (%1) already exists.","Er bestaat al een attribuut met dezelfde code (%1)."
"The value of Admin must be unique.","De waarde van Admin moet uniek zijn."
"The value of Admin scope can't be empty.","De waarde van de Admin scope kan niet leeg zijn."
"You duplicated the product.","Product gedupliceerd."
"This product doesn't exist.","Dit product bestaat niet."
"Invalid product id. Should be numeric value greater than 0","Ongeldig product id. Moet een numerieke waarde groter dan 0 zijn"
"Products","Producten"
"A group with the same name already exists.","Een groep met dezelfde naam bestaat reeks"
"Something went wrong while saving this group.","Er ging iets fout bij het opslaan van deze groep."
"A total of %1 record(s) have been deleted.","%1 record(s) verwijderd."
"A total of %1 record(s) have been updated.","%1 record(s) bijgewerkt."
"Something went wrong while updating the product(s) status.","Er ging iets fout tijdens het bijwerken van de product status."
"Unable to save product","Het is niet mogelijk om het product op te slaan"
"You saved the product.","Je hebt het product opgeslagen."
"SKU for product %1 has been changed to %2.","Art.nr. voor product %1 is veranderd naar %2."
"The image cannot be removed as it has been assigned to the other image role","De afbeelding kan niet verwijderd worden omdat het aan een andere afbeeldingsrol toegewezen is"
"New Attribute Set","Nieuwe attribuutset"
"The attribute set has been removed.","De attribuutset is verwijderd"
"We can't delete this set right now.","Deze set kan nu niet verwijderd worden."
"New Set","Nieuwe set"
"Manage Product Sets","Beheer productensets"
"Manage Attribute Sets","Beheer attributensets"
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer"
"You saved the attribute set.","Je hebt de attribuutset opgeslagen."
"Something went wrong while saving the attribute set.","Er ging iets fout bij het opslaan van het attribuut."
"You added product %1 to the comparison list.","Product %1 toegevoegd aan de vergelijkingslijst."
"You cleared the comparison list.","Vergelijkingslijst leeggemaakt."
"Something went wrong  clearing the comparison list.","Er ging iets fout tijdens het leegmaken van de vergelijkingslijst."
"You removed product %1 from the comparison list.","Product %1 uit de vergelijkingslijst verwijderd."
"1 item","1 product"
"%1 items","%1 producten"
"Are you sure you want to remove this item from your Compare Products list?","Weet je zeker dat je dit product wilt verwijderen van je vergelijking?"
"Are you sure you want to remove all items from your Compare Products list?","Weet je zeker dat je dit product wilt verwijderen van je vergelijking?"
"Invalid attribute %1","Ongeldig attribuut %1"
"Grid","Foto-tabel"
"List","Lijst"
"All","Alle"
"Bad controller interface for showing product","Verkeerde controller interface voor het weergeven van product"
"Product is not loaded","Product is niet geladen"
"Make sure the To Date is later than or the same as the From Date.","Zorg ervoor dat de t/m datum is hoger dan of gelijk aan de datum van."
"Sorry, but we can't find the new parent category you selected.","Geselecteerde nieuwe bovenliggende categorie niet gevonden."
"Sorry, but we can't find the new category you selected.","Geselecteerde nieuwe categorie niet gevonden."
"We can't move the category because the parent category name matches the child category name.","Verplaatsen van de categorie niet mogelijk, omdat de bovenliggende categorienaam hetzelfde is als de naam van de onderliggende categorie."
"Something went wrong while getting the image url.","Er ging iets mis bij het ophalen van de afbeelding url."
"Can't delete root category.","Kan hoofdcategorie niet verwijderen."
"The value of attribute ""%1"" must be unique.","De waarde van attribuut ""%1"" moet uniek zijn."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standaard product sortering komt niet voor niet in de beschikbare-product-sorteringen-lijst"
"No layout updates","Geen lay-out-updates"
"Products only","Alleen producten"
"Static block only","Alleen statisch blok"
"Static block and products","Statisch blok en producten"
"Please select a static block.","Selecteer een statisch blok."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Kan product ""%1"" met positie %2 in categorie %3 niet opslaan"
"Category does not contain specified product","Categorie bevat het opgegeven product niet"
"Could not save product ""%product"" with position %position to category %category","Kan product ""%product"" met positie %position in categorie %category niet opslaan"
"Operation do not allow to move a parent category to any of children category","Niet toegestaan om een hoofdcategorie toe te voegen aan een subcategorie"
"Could not move category","Kon categorie niet verplaatsen"
"Could not save category: %1","Kan categorie %1 niet opslaan"
"Cannot delete category with id %1","Kan Categorie met id %1 niet verwijderen"
"-- Please Select a Category --","-- Selecteer een categorie --"
"Grid Only","Alleen tabel"
"List Only","Alleen lijst"
"Grid (default) / List","Tabel (standaard) / lijst"
"List (default) / Grid","Lijst (standaard) / tabel"
"Automatic (equalize price ranges)","Automatisch (equalize price ranges)"
"Automatic (equalize product counts)","Automatisch (equalize product counts)"
"Manual","Handmatig"
"Fixed","Vast"
"Percent","Percentage"
"Discount","Korting"
"-- Please select --","-- Selecteer --"
"Product Thumbnail Itself","Miniatuur van het product zelf"
"Parent Product Thumbnail","Miniatuur van het hoofdproduct"
"12h AM/PM","12uur Ochtend/Avond"
"24h","24uur"
"Stretch","Uitrekken"
"Tile","Tegel"
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Center","Centreer"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 breidt \Magento\Framework\Model\AbstractModel niet uit"
"Something went wrong while saving the file(s).","Er ging iets mis bij het opslaan van de bestanden."
"File can not be saved to the destination folder.","Bestand kan niet worden opgeslagen in de doelmap."
"Unknown EAV indexer type ""%1"".","Onbekende EAV index type ""%1""."
"We can't rebuild the index for an undefined product.","We kunnen geen index herbouwen voor een ongedefinieerd product."
"Bad value was supplied.","Verkeerde waarde opgegeven."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","De Flat Catalog module heeft een limiet van %2$d filterbare en/of sorteerbare attributen. Momenteel zijn er %1$d attributen. Gelieve het aantal filterbare/sorteerbare attributen te verminderen om deze module te gebruiken"
"Unsupported product type ""%1"".","Onbekend producttype ""%1""."
"Please correct the category.","Corrigeer de categorie."
"Must be category model instance or its id.","Moet een modelinstantie of ID van een categorie zijn."
"The attribute model is not defined.","Het attribuut model is niet opgegeven."
"Category","Categorie"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 werd niet in de algoritmen gevonden"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 is geen uitbreiding van \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 is geen uitbreiding van \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Het filter moet een object zijn. Stel het juiste filter in."
"Clear Price","Prijs verwijderen"
"%1 and above","%1 en hoger"
"The filters must be an array.","De filters moeten array."
"Product was not registered","Product is niet geregisteerd"
"Store was not registered","Winkel is niet geregisteerd"
"Group price must be a number greater than 0.","Groepsprijs moet een getal groter dan 0 zijn."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallerij converter moet een exemplaar van EntryConverterInterface zijn."
"There is no MediaGalleryEntryConverter for given type","Er is geen MediaGalleryEntryConverter voor het opgegeven type"
"Please enter a number 0 or greater in this field.","Voer in dit veld a.j.b. een getal gelijk aan of groter dan 0 in."
"The value of attribute ""%1"" must be set","De waarde van attribuut ""%1"" moet ingesteld worden"
"SKU length should be %1 characters maximum.","De lengte van de SKU mag maximaal %1 tekens te zijn."
"Please enter a valid number in this field.","Voer a.j.b. een geldig getal in dit veld in."
"We found a duplicate website, tier price, customer group and quantity.","Dubbele website, prijsklasse, klantgroep en aantal gevonden."
"Percentage value must be a number between 0 and 100.","Procentuele waarde moet een getal tussen 0 en 100."
"Invalid option id %1","Ongeldig optie id %1"
"Can not create attribute set based on non product attribute set.","Kan geen attribuutset aanmaken op basis van een niet-product-attribuutset."
"Can not create attribute set based on not existing attribute set","Kan geen attribuut maken op basis van een niet-bestaande attribuut-set"
"Provided Attribute set non product Attribute set.","Opgegeven attribuutset is geen product-attribuutset."
"Use config","Gebruik configuratie"
"Enabled","Ingeschakeld"
"Disabled","Uitgeschakeld"
"Attribute Set already exists.","Attribuutset bestaat al."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Bestand %1 kon niet gekopieerd worden. Verwijder media met niet-bestaande afbeeldingen en probeer het opnieuw."
"The image content is not valid.","Inhoud van de afbeelding is niet geldig."
"Cannot save product.","Kon product niet opslaan."
"Failed to save new media gallery entry.","Nieuwe media opslaan in galerij mislukt."
"There is no image with provided ID.","Er is geen afbeelding met opgegeven ID."
"Such product doesn't exist","Dergelijk product bestaat niet"
"Such image doesn't exist","Deze afbeelding bestaat niet"
"The image does not exist.","De afbeelding bestaat niet."
"Please correct the image file type.","Corrigeer het bestandstype van de afbeelding."
"We couldn't move this file: %1.","Dit bestand kon niet verplaatst worden: %1."
"Can't get information about the picture: %1","Kan geen informatie over de afbeelding krijgen: %1"
"The image could not be resized: ","De afbeelding kon niet worden geschaald: "
"Some images could not be resized. See log file for details.","Sommige afbeeldingen konden niet worden geschaald. Zie logboekbestand voor meer informatie."
"The option type to get group instance is incorrect.","Het optie type voor de groep instantie op te vragen is onjuist."
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"ProductSku should be specified","ProductSku moet worden opgegeven"
"Could not remove custom option","Kan aangepaste optie niet verwijderen"
"Please specify date required option(s).","Geef de verplichte datumoptie(s) op."
"Please specify time required option(s).","Geef de verplichte tijdoptie(s) op."
"Please specify product's required option(s).","Geef de vereiste productoptie(s) op."
"The option instance type in options group is incorrect.","Het opties instantie type in de opties groep is onjuist."
"The product instance type in options group is incorrect.","Het product instantie type in de opties groep is onjuist."
"The configuration item option instance in options group is incorrect.","Het configuratie productoptie instantie in de optie groep is onjuist."
"The configuration item instance in options group is incorrect.","Het configuratie product instantie in de opties groep is onjuist."
"The BuyRequest instance in options group is incorrect.","De BuyRequest instantie in opties groep is onjuist."
"We can't add the product to the cart because of an option validation issue.","Het product kan niet aan de winkelwagen toe gevoegd worden, vanwege een optie validatie probleem."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 breidt \Magento\Catalog\Model\Product\Option\Type\DefaultType niet uit"
"The file options format is not valid.","De bestandsindeling van de opties is niet geldig."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Het bestand '%1' voor '%2' heeft een ongeldige extensie."
"The maximum allowed image size for '%1' is %2x%3 px.","Maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Het bestand '%1', dat Je hebt geüpload, is groter dan de %2 megabytes toegestaan door onze server."
"The file '%1' is empty. Please choose another one","Het bestand '%1' is leeg. Kies een andere"
"The file '%1' is invalid. Please choose another one","Het bestand '%1' is ongeldig. Kies een andere"
"File '%1' is not an image.","Bestand '%1' is geen afbeelding."
"Validation failed. Required options were not filled or the file was not uploaded.","Validatie is mislukt. Gewenste opties waren niet gevuld of het bestand is niet geüpload."
"The file you uploaded is larger than %1 Megabytes allowed by server","Het bestand dat je hebt geüpload is groter dan de %1 megabytes toegestaan door onze server"
"Option required.","Optie vereist."
"The file is empty. Please choose another one","Het bestand is leeg. Kies een andere"
"Some of the selected item options are not currently available.","Sommige van de geselecteerde item-opties zijn op dit moment niet beschikbaar"
"The text is too long.","De tekst is te lang."
"Invalid attribute %fieldName = %fieldValue.","Ongeldig attribuut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Gevraagde winkel is niet gevonden. Rij-ID: SKU = %SKU, opslag-ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Ongeldig attribuut Kosten = %cost. Row ID: Art. nr. = %SKU. Store ID: %storeId."
"Could not save Prices.","Prijzen konden niet worden opgeslagen."
"Could not delete Prices","Prijzen konden niet worden verwijderd"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Het gevraagde product bestaat niet. Row ID: SKU = %SKU, Store ID: %storeId, Prijsvanaf: %priceFrom, Prijs tot: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Het gevraagde winkel bestaat niet. Row ID: SKU = %SKU, Store ID: %storeId, Prijs vanaf: %priceFrom, Prijs tot: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ongeldig attribuut %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Prijs vanaf: %priceFrom, Prijs tot: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ongeldig attribuut Prijs = %price. Row ID: SKU = %SKU, Store ID: %storeId, Prijs vanaf: %priceFrom, Price tot: %priceTo."
"Could not save Tier Prices","Staffelprijzen konden niet worden opgeslagen"
"Could not replace Tier Prices","Staffelprijzen konden niet worden vervangen"
"Could not delete Tier Prices","Staffelprijzen konden niet worden verwijderd"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut SKU= %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut Prijs = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuus Prijs type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut Aantal = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We hebben een dubbele website, staffelprijs, klantgroep en aantal gevonden: Klantgroep = %customerGroup, Website ID = %websiteId, Aantal = %qty. Rij ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Geen entiteit gevonden met Klantgroep = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"This product doesn't have tier price","Dit product heeft geen staffelprijs"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product heeft geen groepsprijs met dergelijke gegevens: Klantgroep Id = '%1', Website = %2, Aantal = %3"
"Invalid data provided for tier_price","Ongeldige gegevens opgegeven voor staffelprijs"
"Could not save group price","Kan groepsprijs niet opslaan"
"Please provide valid data","Geef geldige gegevens op"
"Values of following attributes are invalid: %1","Waarden van de volgende attributen zijn ongeldig: %1"
"We can't create writeable directory ""%1"".","We kunnen de schrijfbare directory ""%1"" niet aanmaken."
"The file upload failed.","De bestandsupload is mislukt."
"The product has required options.","Het product heeft verplichte opties."
"Something went wrong while processing the request.","Er ging iets verkeerd tijdens het verwerken van het verzoek."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 breidt \Magento\Catalog\Model\Product\Type\AbstractType niet uit"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 breidt \Magento\Catalog\Model\Product\Type\Price niet uit"
"Not Visible Individually","Niet individueel zichtbaar"
"Search","Zoek"
"Catalog, Search","Catalogus, zoeken"
"Something went wrong while removing products from the websites.","Er ging iets fout tijdens het verwijderen van producten van de websites."
"Something went wrong while adding products to websites.","Er ging iets fout tijdens het toevoegen van producten aan websites."
"Group with id ""%1"" does not exist.","Groep met id ""%1"" bestaat niet."
"Attribute group that contains system attributes can not be deleted","Attribuutgroep, waarin systeemattributen staan, kan niet worden verwijderd"
"Collection provider is not registered","Collectie aanbieder is niet geregistreerd"
"Unknown link type: %1","Onbekend koppelingstype: %1"
"Provided link type ""%1"" does not exist","Opgegeven koppelingstype ""%1"" bestaat niet"
"Invalid data provided for linked products","Ongeldige gegevens opgegeven voor gekoppelde producten"
"Product with SKU '%1' is not linked to product with SKU '%2'","Product met SKU %1 is niet gekoppeld aan product met SKU %2"
"Product %1 doesn't have linked %2 as %3","Product %1 heeft geen gekoppelde %2 als %3"
"Requested product doesn't exist","Gevraagde product bestaat niet"
"Product with SKU ""%1"" does not exist","Product met art.nr. ""%1"" bestaat niet"
"Invalid product data: %1","Ongeldige productgegevens: %1"
"Database connection error","Database connectie fout"
"Database deadlock found when trying to get lock","Database deadlock gedetecteerd tijdens het verkrijgen van een lock"
"Database lock wait timeout exceeded","Database lock wait timeout verstreken"
"Unable to remove product %1","Kan product %1 niet verwijderen"
"Requested product does not support images.","Opgevraagd product ondersteunt geen afbeeldingen."
"There are not websites for assign to product","Er zijn geen websites om aan het product toe te wijzen"
"Could not assign product ""%1"" to websites ""%2""","Kon het product ""%1"" niet toewijzen aan websites ""%2"""
"Could not save product ""%1"" with websites %2","Kon het product ""%1"" niet opslaan bij websites %2"
"We cannot determine the field name.","We kunnen de naam van het veld niet bepalen."
"Attribute '%1' is locked. %2","Attribuut '%1' is vergrendeld. %2"
"Do not change the scope. %1","Verander de scope niet. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 implementeert BaseSelectProcessorInterface niet"
"A product type is not defined for the indexer.","Een producttype is niet opgegeven"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 breidt \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice niet uit"
"Product with SKU %1 is not linked to product with SKU %2","Product met SKU %1 is niet gekoppeld aan product met SKU %2"
"Multiple Select","Multi-select"
