"Root","Peamine"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","nimi"
"Copy Data from","Kopeeri andmed kohast"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>."
"This operation can take a long time","See toiming võib kesta pikka aega"
"Collapse All","Sulge kõik"
"Expand All","Ava kõik"
"Please confirm site switching. All data that hasn't been saved will be lost.","Kinnitage saidi vahetamine. Kustutatakse kõik andmed, mida pole veel salvestatud."
"Use Default Value","Kasuta vaikeväärtust"
"Manage Titles (Size, Color, etc.)","Halda pealkirju (suurus, värv, jne.)"
"Manage Options (Values of Your Attribute)","Halda valikuid (atribuudi väärtuseid)"
"Is Default","On vaikeväärtus"
"Sort Option","Sorteermise valik"
"Groups","Grupid"
"Double click on a group to rename it.","Double click on a group to rename it."
"Unassigned Attributes","Valimata atribuudid"
"A name is required.","Nimi on kohustuslik."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"Please select a node.","Please select a node."
"Please enter a new group name.","Sisesta uue grupi nimi."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.","Kahjuks ei saa me seda taotlust täita."
"You can't remove attributes from this attribute set.","Te ei saa attribuute sellest atribuutide komplektist eemaldada."
"Custom Options","Kohandatud valikud"
"This is a required option.","See on kohustuslik valik."
"The field isn't complete.","Väli ei ole täielik."
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maksimaalne pildi laius"
"Maximum image height","Maksimaalne pildi kõrgus"
"Maximum number of characters:","Maksimaalne tähemärkide arv:"
"start typing to search template","malli otsimiseks alusta trükkimist"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Halda laoseisu"
"Qty","Kogus"
"Out-of-Stock Threshold","Laost otsas künnis"
"Minimum Qty Allowed in Shopping Cart","Väikseim ostukorvis lubatud kogus"
"Maximum Qty Allowed in Shopping Cart","Suurim ostukorvis lubatud kogus"
"Qty Uses Decimals","Kogus võimaldab komakohti"
"Backorders","Järeltellimused"
"Notify for Quantity Below","Teavita alla kogust"
"Enable Qty Increments","Luba kogusesamme"
"Qty Increments","Kogusesamm"
"Stock Availability","Saadavus laost"
"In Stock","Laos"
"Out of Stock","Laost otsas"
"Add Product To Websites","Lisa toode veebilehtedele"
"Remove Product From Websites","Remove Product From Websites"
"To hide an item in catalog or search results, set the status to ""Disabled"".","To hide an item in catalog or search results, set the status to ""Disabled""."
"We can't save custom-defined options for bundles with dynamic pricing.","Me ei saa kliendi poolt defineeritud omadusi dünaamilise hinnaga paketis salvestada."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Input Type","Sisendi tüüp"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Sort Custom Option"
"Item Price","Kauba hind"
"Action","Toiming"
"and above","ja rohkem"
"Delete Tier","Delete Tier"
"Product In Websites","Product In Websites"
"(Copy data from: %1)","(Copy data from: %1)"
"Browse to find or drag image here","Otsige üles või lohistage pilt siia"
"Delete image","Kustuta pilt"
"Hidden","Peidetud"
"Alt Text","Alt tekst"
"Role","Roll"
"Image Size","Pildi suurus"
"{size}","{size}"
"Image Resolution","Pildi resolutsioon"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Hide from Product Page"
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Shipping"
"start typing to search attribute","alusta trükkimist et otsida atribuuti"
"Basic Settings","Peamised seaded"
"Advanced Settings","Täpsemad seaded"
"Changes have been made to this section that have not been saved.","Siin tehtud muudatused ei ole veel salvestatud."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
"Mass Actions","Masstegevused"
"Select All","Vali kõik"
"Unselect All","Eemalda valikud"
"Select Visible","Vali nähtavad"
"Unselect Visible","Tühista nähtavad"
"Special Price","Soodushind"
"Regular Price","Tavahind"
"Buy %1 for: ","Osta %1: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Buy %1 for %2 each"
"Shop By","Vali"
"Shopping Options","Ostlemise Valikud"
"Compare Products","Võrdle tooteid"
"Print This Page","Prindi see lehekülg"
"Remove Product","Eemalda toode"
"Add to Cart","Lisa ostukorvi"
"In stock","Laos"
"Out of stock","Laost otsas"
"Add to Wish List","Lisa soovinimekirja"
"You have no items to compare.","Pole tooteid mida võrrelda."
"Remove This Item","Eemalda toode"
"Compare","Võrdle"
"Clear All","Tühjenda kõik"
"Prev","Eelmine"
"Next","Järgmine"
"We can't find products matching the selection.","Me ei leia Teie valikule vastavaid tooteid."
"Learn More","Tutvu lähemalt"
"Add to Compare","Lisa võrdlusesse"
"We found other products you might like!","Leidsime tooteid mis võivad teile meeldida!"
"More Choices:","Rohkem valikuid:"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","vali kõik"
"Items %1-%2 of %3","Üksuseid %1-%2 - %3'st"
"%1 Item","%1 toodet"
"%1 Items","%1 toodet"
"Show","Näita"
"per page","lehe kohta"
"Sort By","Sorteeri"
"Set Ascending Direction","Määra tõusev suund"
"Set Descending Direction","Määra kahanevas suunas"
"View as","Kuvamisviis"
"More Information","Lisainfo"
"Loading...","Loading..."
"* Required Fields","* Kohustuslikud väljad"
"Availability","Saadavus"
"Warning message","Hoiatusteade"
"Submit","Submit"
"We don't recognize or support this file extension type.","Me ei tunne või toeta seda tüüpi faililaiendit."
"Configure Product","Konfigureeri toodet"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Select type of option."
"Please add rows to option.","Please add rows to option."
"Please select items.","Please select items."
"Choose existing category.","Vali olemasolev kategooria."
"Image Detail","Pilt üksikasjalikult"
"Adding...","Lisab..."
"Added","Lisatud"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","tühista kõik"
"Inventory","Ladu"
"Catalog Section","Catalog Section"
"Small","Väike"
"Main","Peamine"
"Custom image","Kohandatud pilt"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
"Recently Viewed/Compared Products","Viimati vaadatud / võrreldud tooted"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Poevaade"
"List Mode","Loetelu režiim"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Comma-separated.","Komaga eraldatud."
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Kasuta lamedat kategooriat"
"Use Flat Catalog Product","Kasuta lamedat toodet"
"Product Listing Sort by","Toodete nimekirja sorteerimine"
"Allow All Products per Page","Luba kõik tooted lehel"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Toote Pildi kohatäited"
"Search Engine Optimization","Otsimootorite jaoks optimeerimine"
"Page Title Separator","Page Title Separator"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Maximal Depth","Maximal Depth"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Kasuta JavaScript kalendrit"
"Date Fields Order","Date Fields Order"
"Time Format","Kellaajavorming"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Top Level Category"
"Product Info Column","Toote Info veerg"
"Block after Info Column","Peale info veeru blokki"
"Product Flat Data","Toodete lameandmed"
"Reorganize EAV product structure to flat structure","Kohandab EAV tooteandmed lamedaks tabeliks"
"Category Flat Data","Kategooria lameandmed"
"Reorganize EAV category structure to flat structure","Kohandab EAV kategooriaandmed lamedaks tabeliks"
"Category Products","Kategooria tooted"
"Indexed category/products association","Indexed category/products association"
"Product Categories","Toote kategooriad"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Tootehind"
"Index product prices","Index product prices"
"Product EAV","Toote EAV"
"Index product EAV","Indekseeri toote EAV"
"Catalog New Products List","Catalog New Products List"
"List of Products that are set as New","List of Products that are set as New"
"Display Type","Kuvatav tüüp"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","Kõik tooted"
"New products","Uued tooted"
"Display Page Control","Display Page Control"
"Number of Products per Page","Tooteid lehe kohta"
"Number of Products to Display","Kuvatavate toodete hulk"
"Template","Mall"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Vahemälu eluiga (sekundites)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Catalog Product Link"
"Link to a Specified Product","Link to a Specified Product"
"Select Product...","Vali toode..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, we'll use the product name here.","If empty, we'll use the product name here."
"Anchor Custom Title","Anchor Custom Title"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Catalog Category Link","Catalog Category Link"
"Link to a Specified Category","Link to a Specified Category"
"Select Category...","Vali kategooria..."
"If empty, we'll use the category name here.","Kui on tühi, kasutame siin kategooria nime."
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Recently Viewed Products","Viimati vaadatud tooted"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"UI Component","UI Component"
"Number of Products to display","Number of Products to display"
"Product attributes to show","Product attributes to show"
"Image","Pilt"
"Learn More Link","Learn More Link"
"Buttons to show","Buttons to show"
"Add to Wishlist","Lisa soovikorvi"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","Viimati võrreldud tooted"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Set","Set"
"Category Information","Category Information"
"Enable Category","Luba kategooria"
"Include in Menu","Lisa menüüsse"
"Content","Sisu"
"Category Image","Kategooria pilt"
"Description","Kirjeldus"
"Add CMS Block","Lisa CMS blokk"
"Display Settings","Display Settings"
"Display Mode","Display Mode"
"Anchor","Anchor"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Use All"
"Default Product Listing Sort By","Vaikimisi toodete nimekirja sorteerimine"
"Layered Navigation Price Step","Layered Navigation Price Step"
"URL Key","URL-i tunnus"
"Meta Title","Meta pealkiri"
"Meta Keywords","Meta märksõnad"
"Meta Description","Meta kirjeldus"
"Products in Category","Products in Category"
"Design","Kujundus"
"Theme","Mall"
"Layout","Paigutus"
"Layout Update XML","Paigutuse uuenduse XML"
"Apply Design to Products","Apply Design to Products"
"Schedule Design Update","Schedule Design Update"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Product Image Watermarks"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Image Opacity","Pildi läbipaistvus"
"Example format: 200x300.","Example format: 200x300."
"Image Position","Pildi asukoht"
"Attribute Properties","Atribuudi sätted"
"Attribute Label","Atribuudi silt"
"Catalog Input Type for Store Owner","Kataloogi sisendi tüüp kaupluse omaniku jaoks"
"Values","Väärtused"
"Add this attribute to the list of column options in the product grid.","Add this attribute to the list of column options in the product grid."
"Add this attribute to the list of filter options in the product grid.","Add this attribute to the list of filter options in the product grid."
"System","Süsteem"
"All Store Views","Kõik poevaated"
"Delete selected items?","Delete selected items?"
"Delete items","Kustuta üksused"
"Change status","Muuda staatust"
"Enable","Luba"
"Disable","Keela"
"Update attributes","Uuenda atribuute"
"Overview","Ülevaade"
"Skip to the end of the images gallery","Skip to the end of the images gallery"
"Skip to the beginning of the images gallery","Skip to the beginning of the images gallery"
"Details","Üksikasjad"
"Recently Compared","Recently Compared"
"Add To Cart","Lisa ostukorvi"
"Add To Compare","Lisa võrdlusesse"
"Learn more","Lisateave"
"Recently Viewed","Viimati vaadatud"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Kas olete kindel, et soovite selle kategooria kustutada?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","from"
"to","to"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Advanced"
