"Manage Shopping Cart","Alışveriş Sepetini Yönet"
"You added %1 product to your shopping cart.","%1 ürün alışveriş sepetinize eklendi."
"You added %1 products to your shopping cart.","%1 adet ürün alışveriş sepetinize eklendi."
"%1 product requires your attention.","%1 adet ürün ile ilgilenilmesi gerekiyor."
"%1 products require your attention.","%1 adet ürün ile ilgilenilmesi gerekiyor."
"Yes, for Specified Customer Groups","Evet, Belirtilen Müşteri Grupları için"
"Yes, for Everyone","Evet, Herkes için"
"No","Hayır"
"The file is corrupt.","Dosya bozuk."
"Please upload the file in .csv format.","Lütfen dosyayı .csv formatında yükleyin."
"%1 item(s) need your attention.","%1 adet ürün ile ilgilenilmesi gerekiyor."
"Apply Coupon Code","Kupon Kodunu Uygula"
"Remove Coupon Code","Kupon Kodunu Sil"
"Remove","Sil"
"The coupon code ""%1"" is not valid.","""%1"" numaralı kupon kodu geçerli değil."
"Shopping Cart Items","Alışveriş Sepeti Ürünleri"
"Qty","Miktar"
"Subtotal","Ara Toplam"
"Discount","İndirim"
"Row Subtotal","Satır Ara Toplamı"
"Action","Eylem"
"No ordered items","Sipariş edilmeyen ürünler"
"Total %1 product(s)","Toplam %1 adet ürün"
"Subtotal:","Ara Toplam:"
"Please select","Lütfen seçiniz"
"Move to Wish List","İstek Listeme Taşı"
"No item specified.","Ürün belirtilmedi."
"Are you sure you want to remove this item?","Bu öğeleri silmek istediğinizden emin misiniz?"
"SKU number","Ürün Numarası"
"Upload File","Dosya Yükle"
"Your csv file must include ""sku"" and ""qty"" columns.","csv dosyanıza ""ürün no (sku)"" ve ""adet (qty)"" sütunları eklemelisiniz."
"Reset","Sıfırla"
"SKU: ","Ürün No: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Stokta sadece <span id=""%1_max_allowed"">%2</span> adet var"
"Item","Ürün"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"What's this?","Bu nedir?"
"Incl. Tax","Vergi Dahil"
"Excl. Tax","Vergi Hariç"
"Edit item parameters","Ürün parametrelerini düzenle"
"Edit","Düzenle"
"Remove item","Ürünü Sil"
"Products Requiring Attention","Dikkat Edilmesi Gereken Ürünler"
"Add to Cart","Sepete Ekle"
"Sku","Ürün Kodu"
"File","Dosya"
"File extensions allowed: .csv","İzin verilen dosya uzantıları: .csv"
"Add Row","Satır Ekle"
"Remove Row","Satır Sil"
"Add Products By SKU","Ürün No ile Ürün Ekle"
"Shopping Cart Management","Alışveriş Sepeti Yönetimi"
"View Shopping Cart","Alışveriş Sepetini Görüntüle"
"View and modify Shopping Cart","Alışveriş Sepetini Görüntüle ve Düzenle"
"Order by SKU Settings","Ürün No ile Sipariş Ayarları"
"Enable Order by SKU on My Account in Storefront","Mağazadaki Hesabımda Ürün No ile Sipariş'i Etkinleştir"
"Customer Groups","Müşteri Grupları"
"Apply Coupon","Kuponu Uygula"
"Order by SKU Description","Ürün No ile Sipariş Açıklaması"
"Display a Link to Loading a Spreadsheet","Elektronik Tablo (Spreadsheet) Yükleme Bağlantısı Göster"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Hesabım &gt; Ürün No İle Sipariş sayfasına bağlantının widget'te görüntülenip görüntülenmeyeceğini tanımlar"
"Link Text","Bağlantı Metni"
"The text of the link to the My Account &gt; Order by SKU page","Hesabım &gt; Ürün No İle Sipariş sayfasına bağlantının metni"
"Load a list of SKUs","Ürün No'larının listesini yükle"
"Order by SKU Template","Ürün No ile Sipariş Şablonu"
"SKU not found in catalog.","Ürün No katalogda bulunamadı."
"This file needs to be in .csv format.","Dosya .csv formatında olmalı."
"This customer couldn't be found. Verify the customer and try again.","Müşteri bulunamıyor. Müşteri bilgilerini kontrol edip tekrar deneyiniz."
"This store couldn't be found. Verify the store and try again.","Mağaza bulunamıyor. Mağaza bilgilerini kontrol edip tekrar deneyiniz."
"An error occurred. For details, see the error log.","Bir hata meydana geldi. Detaylar için hata kayıtlarına bakınız."
"Orders can only be completed in an active store. Verify the store and try again.","Siparişler sadece aktif bir mağazada tamamlanabilir. Mağaza bilgilerini kontrol edip tekrar deneyiniz."
"The ordered item needs to be loaded. Load the item and try again.","Sipariş edilen ürünün yüklenmesi gerekiyor. Ürünü yükleyin ve tekrar deneyin."
"The quote item ID needs to be received. Set the ID and try again.","Teklif Ürün ID bilgisinin girilmesi gerekiyor. ID bilgisini girip yeniden deneyin."
"The quote item needs to be loaded. Load the item and try again.","Teklif ürününün yüklenmesi gerekiyor. Ürünü yükleyin ve tekrar deneyin."
"The wish list item ID needs to be received. Set the ID and try again.","İstek Listesi Ürün ID bilgisinin girilmesi gerekiyor. ID bilgisini girip yeniden deneyin."
"The wish list item needs to be loaded. Load the item and try again.","İstek listesindeki ürünün yüklenmesi gerekiyor. Ürünü yükleyin ve tekrar deneyin."
"The file is corrupt and can't be used.","Dosya bozuk ve kullanılamaz durumda."
