"Manage Shopping Cart","Administrere handlekurv"
"Total %1 product(s)","Totalt %1 produkt(er)"
"Subtotal:","Delsum:"
"Please select","Vennligst velg"
"Move to Wish List","Flytt til ønskeliste"
"No item specified.","Ingen elementer er angitt."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne denne varen?"
"SKU number","SKU nummer"
"Upload File","Last opp fil"
"Your csv file must include ""sku"" and ""qty"" columns.","CSV-filen må inneholde kolonnene ""sku"" og ""qty""."
"Reset","Nullstill"
"SKU: ","Produktnummer (SKU): "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Bare <span id=""%1_max_allowed"">%2</span> på lager"
"Item","Produkt"
"See price before order confirmation.","Se priser før ordrebekreftelse."
"What's this?","Hva er dette?"
"Incl. Tax","Inkl. MVA"
"Excl. Tax","ex. moms"
"Edit item parameters","Rediger parametere"
"Edit","Redigere"
"Remove item","Fjern produkt"
"Products Requiring Attention","Produkter som krever din oppmerksomhet"
"Add to Cart","Legg i handlekurv"
"Sku","Varenr."
"File","Fil"
"File extensions allowed: .csv","Tillatte filformater: .csv"
"Add Row","Legg til rad"
"Remove Row","Fjerne rad"
"Add Products By SKU","Legg til produkter ved produktnummer (SKU)"
"Shopping Cart Management","Handlekurv administrering"
"View Shopping Cart","Se handlekurv"
"View and modify Shopping Cart","Vis og endre handlekurv"
"Order by SKU Settings","Sorter etter produktnummer (SKU) innstillinger"
"Enable Order by SKU on My Account in Storefront","Aktiver Bestilling ved produktnummer (SKU) på Din Konto i Butikkfronten"
"Customer Groups","Kundegrupper"
"Apply Coupon","Bruk rabattkode"
"Order by SKU Description","Bestill ved produktbeskrivelse"
"Display a Link to Loading a Spreadsheet","Vis en lenke til lasting av regneark"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definer hvorvidt en lenke til Min Konto &gt; Bestill ved produktnummer siden vil vises i widgeten"
"Link Text","Link Tekst"
"The text of the link to the My Account &gt; Order by SKU page","Teksten i koblingen til min konto &gt; rekkefølge etter produktnummer siden"
"Load a list of SKUs","Last liste over produktnummer"
"Order by SKU Template","Bestill ved produktmal"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","Denne kunden kunne ikke bli funnet. Vennligst verifiser og prøv igjen."
"This store couldn't be found. Verify the store and try again.","Denne butikken ble ikke funnet. Vennligst kontroller at butikken eksisterer og prøv igjen."
"An error occurred. For details, see the error log.","En feil har desverre oppstått. Vennligst sjekk feiloggen for nærmere informasjon."
"Orders can only be completed in an active store. Verify the store and try again.","Bestillinger kan kun fullføres i en aktiv butikk. Bekreft butikken å prøv igjen."
"The ordered item needs to be loaded. Load the item and try again.","Den bestilte varen må lastes. Last inn elementet, og prøv på nytt."
"The quote item ID needs to be received. Set the ID and try again.","ID'en for tilbudselementet må mottas. Angi ID'en og prøv igjen."
"The quote item needs to be loaded. Load the item and try again.","Den bestilte varen må lastes. Last inn varen, og prøv på nytt."
"The wish list item ID needs to be received. Set the ID and try again.","Vare-ID'en på ønskelisten må mottas. Angi ID'en og prøv igjen."
"The wish list item needs to be loaded. Load the item and try again.","Varen på ønskelisten må lastes. Last inn elementet, og prøv på nytt."
"The file is corrupt and can't be used.","Filen er korrupt og kan desverre ikke brukes."
