"Manage Shopping Cart","Hallitse ostoskoria"
"An error has occurred. See error log for details.","Tapahtui virhe. Katso lisätietoja virhelokista."
"You cannot configure a product.","Et voi määrittää tuotetta."
"You removed the items.","Tuotteet poistettiin."
"You removed the item.","Tuote poistettiin."
"You added %1 to your shopping cart.","Lisäsit %1 ostoskoriisi."
"You cannot add a product.","Et voi lisätä tuotetta."
"Order by SKU","Järjestä tuotenumeron mukaan"
"The SKU was not found in the catalog.","SKU:ta ei löytynyt luettelosta."
"Availability: Out of stock.","Saatavuus: ei varastossa."
"We don't have as many of these as you want.","Meillä ei ole niin montaa kuin haluat."
"You can't add this many to your cart.","Näin montaa ei voida lisätä ostoskoriin."
"You need to choose options for your item.","Sinun täytyy valita vaihtoehdot tuotteellesi."
"We can't add the item to your cart.","Tätä tuotetta ei voida lisätä ostoskoriisi."
"Please enter an actual number in the ""Qty"" field.","Kirjoita määrä numeroina ""Kpl""-kenttään."
"This product is assigned to another website.","Tämä tuote on määritetty toiselle sivustolle."
"You can add only enabled products.","Voit lisätä vain käytössä olevia tuotteita."
"You cannot upload this file.","Tätä tiedostoa ei voi lähettää."
"The file is empty.","Tiedosto on tyhjä."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Et ole syöttänyt tuotenumeroa. Ole hyvä ja <a href=""%1""> klikkaa tästä</a> lisätäksesi tuottee(t/n) tuotenumeron perusteella."
"You have not entered a product SKU.","Et ole syöttänyt tuotenumeroa."
"We can't add a product to cart by id ""%1"".","Tuotetta ei voida lisätä ostoskoriin tunnuksella ""%1""."
"Something went wrong while reordering this product.","Uudelleentilauksessa tapahtui virhe."
"We can't find this wish list.","Tätä toivelistaa ei löydy."
"You added %1 product to your shopping cart.","%1 tuote lisättiin ostoskoriin."
"You added %1 products to your shopping cart.","%1 tuotetta lisättiin ostoskoriin."
"%1 product requires your attention.","%1 tuote vaatii huomiotasi."
"%1 products require your attention.","%1 tuotetta vaativat huomiotasi."
"Yes, for Specified Customer Groups","Kyllä, määrätyille asiakasryhmille"
"Yes, for Everyone","Kyllä, kaikille"
"No","Ei"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Lähetä tiedosto .csv-muodossa."
"%1 item(s) need your attention.","%1 kohde(tta) kaipaa(vat) huomiotasi."
"Apply Coupon Code","Käytä alennuskoodi"
"Remove Coupon Code","Poista alennuskoodi"
"Remove","Poista"
"The coupon code ""%1"" is not valid.","Alennuskoodi ""%1"" ei ole kelvollinen."
"Shopping Cart Items","Ostoskorin tuotteet"
"Qty","Määrä"
"Subtotal","Välisumma"
"Discount","Alennus"
"Row Subtotal","Rivin välisumma"
"Action","Toiminto"
"No ordered items","Ei tilattuja tuotteita"
"Total %1 product(s)","Yhteensä %1 tuote(tta)"
"Subtotal:","Välisumma:"
"Please select","Valitse"
"Move to Wish List","Siirrä toivelistaan"
"No item specified.","Kohdetta ei ole määritelty."
"Are you sure you want to remove this item?","Haluatko varmasti poistaa tämän nimikkeen?"
"SKU number","Tuotenumero"
"Upload File","Lähetä tiedosto"
"Your csv file must include ""sku"" and ""qty"" columns.","Csv-tiedostossa tulee olla ""sku"" ja ""kpl"" -sarakkeet."
"Reset","Tyhjennä"
"SKU: ","Tuotenro: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Vain <span id=""%1_max_allowed"">%2</span> varastossa"
"Item","Tuote"
"See price before order confirmation.","Katso hinta ennen tilauksen vahvistusta."
"What's this?","Mikä tämä on?"
"Incl. Tax","Verollinen"
"Excl. Tax","Veroton"
"Edit item parameters","Muokkaa tuotteen parametreja"
"Edit","Muokkaa"
"Remove item","Poista kohde"
"Products Requiring Attention","Tuotteet, jotka vaativat huomiota"
"Add to Cart","Lisää ostoskoriin"
"Sku","Tuotenro"
"File","Tiedosto"
"File extensions allowed: .csv","Sallitut tiedostopäätteet: .csv"
"Add Row","Lisää rivi"
"Remove Row","Poista rivi"
"Add Products By SKU","Lisää tuotteita tuotenumeron mukaan"
"Shopping Cart Management","Ostoskorin hallinta"
"View Shopping Cart","Tarkastele ostoskoria"
"View and modify Shopping Cart","Tarkastele ja muokkaa ostoskoria"
"Order by SKU Settings","Järjestä SKU-asetusten mukaan"
"Enable Order by SKU on My Account in Storefront","Salli lajittelu SKU:n perusteella My Account -käyttäjätiliä käyttäen verkkokaupan Julkisivun puolella"
"Customer Groups","Asiakasryhmät"
"Apply Coupon","Käytä alennuskoodi"
"Order by SKU Description","Järjestä SKU kuvauksen perusteella"
"Display a Link to Loading a Spreadsheet","Näytä linkki laskentataulukon lataamiseksi"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Määrittää, näkyykö widgetissä linkki omaan tiliin &gt; Järjestä sivu SKU:n perusteella"
"Link Text","Linkkiteksti"
"The text of the link to the My Account &gt; Order by SKU page","Oman tilin linkin teksti &gt; Järjestä sivu SKU:n perusteella"
"Load a list of SKUs","Lataa tuotenumeroiden lista"
"Order by SKU Template"," Järjestä SKU:n perusteella Malli"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","Tapahtui virhe. Lisätietoja saat virhelokista."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
