"Manage Shopping Cart","管理购物车"
"No ordered items","没有订购项"
"Total %1 product(s)","总计%1 产品"
"Subtotal:","小计："
"Please select","请选择"
"Move to Wish List","移动到收藏夹"
"No item specified.","没有指定的项。"
"Are you sure you want to remove this item?","你确定要删除这个项目吗？"
"SKU number","SKU 编号"
"Upload File","上传文件"
"Your csv file must include ""sku"" and ""qty"" columns.","您的 csv 文件必须包括""sku""和""数量""列。"
"Reset","重置"
"SKU: ","SKU："
"Only <span id=""%1_max_allowed"">%2</span> in stock","只有 <span id=""%1_max_allowed"">%2</span> 有货"
"Item","产品"
"See price before order confirmation.","确认订单前显示价格。"
"What's this?","这是什么？"
"Incl. Tax","含。税"
"Excl. Tax","不含税"
"Edit item parameters","修改参数"
"Edit","编辑"
"Remove item","删除项目"
"Products Requiring Attention","可以关注的产品"
"Add to Cart","添加到购物车"
"Sku","SKU"
"File","文件"
"File extensions allowed: .csv","允许使用的文件扩展类型：.csv"
"Add Row","添加行"
"Remove Row","删除行"
"Add Products By SKU","按 SKU 添加产品"
"Shopping Cart Management","购物车管理"
"View Shopping Cart","查看购物车"
"View and modify Shopping Cart","查看和修改购物车"
"Order by SKU Settings","按 SKU 设置顺序"
"Enable Order by SKU on My Account in Storefront","在店面我的账号启用 SKU 排序"
"Customer Groups","客户组"
"Apply Coupon","申请优惠券"
"Order by SKU Description","按 SKU 描述排序"
"Display a Link to Loading a Spreadsheet","显示加载电子表格的链接"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","定义在组件上是否显示我的账户页面 &gt; 按 SKU 排序的链接"
"Link Text","链接文本"
"The text of the link to the My Account &gt; Order by SKU page","我的账户页面 &gt; 按 SKU 排序的链接文本"
"Load a list of SKUs","加载 SKU 的列表"
"Order by SKU Template","按 SKU 排序的模板"
"SKU not found in catalog.","在分类中未找到的 SKU。"
"This file needs to be in .csv format.","此文件必须以.csv 格式。"
"This customer couldn't be found. Verify the customer and try again.","无法查找到当前客户信息，请验证客户后再次尝试。"
"This store couldn't be found. Verify the store and try again.","无法查找到当前店铺，请验证后再次尝试。"
"An error occurred. For details, see the error log.","发生错误。有关详细信息, 请参阅错误日志。"
"Orders can only be completed in an active store. Verify the store and try again.","订单只能在被激活的商店(Store)中完成，请确认商店激活状态后再尝试。"
"The ordered item needs to be loaded. Load the item and try again.","商品列表已更新，请重新加载。"
"The quote item ID needs to be received. Set the ID and try again.","需要报价单产品编号，请设置后再试。"
"The quote item needs to be loaded. Load the item and try again.","需要先加载报价单产品，请加载后再试。"
"The wish list item ID needs to be received. Set the ID and try again.","需要愿望清单产品编号，请设置后再试。"
"The wish list item needs to be loaded. Load the item and try again.","需要加载收藏夹列表项。请加载该项目, 然后重试。"
"The file is corrupt and can't be used.","该文件已损坏, 无法使用。"
