"Manage Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ನಿರ್ವಹಿಸಿ"
"Wish List (%1)","ಇಚ್ಛಾಪಟ್ಟಿ (%1)"
"Apply","ಅನ್ವಯಿಸಿ"
"Configure","ಸಂರಚಿಸಿ"
"Add to Order by SKU","SKU ನಂತೆ ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಸೇರಿಸಿ"
"Add to Order","ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಸೇರಿಸಿ"
"Add Products to Order","ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>"
"Remove All","ಎಲ್ಲವನ್ನೂ ತೆಗೆದುಹಾಕಿ"
"Only %1%2%3 left in stock","ಕೇವಲ %1%2%3 ಮಾತ್ರ ದಾಸ್ತಾನಿನಲ್ಲಿ ಉಳಿದಿದೆ"
"You can buy up to %1 of these per purchase.","ನೀವು ಇವುಗಳನ್ನು %1 ರ ತನಕ ಒಂದು ಸಲದ ಖರೀದಿಯಲ್ಲಿ ಖರೀದಿಸಬಹುದು."
"You must buy at least %1 of these per purchase.","ನೀವು ಇವುಗಳನ್ನು ಕನಿಷ್ಟ %1 ನ್ನು ಒಂದು ಸಲದ ಖರೀದಿಯಲ್ಲಿ ಖರೀದಿಸಲೇಬೇಕು."
"Specify the product's options.","ಉತ್ಪನದ ಆಯ್ಕೆಗಳನ್ನು ಸೂಚಿಸಿ."
"Alert me when this item is available.","ಈ ವಸ್ತುವು ಲಭ್ಯವಿರುವಾಗ ನನ್ನ ಗಮನಕ್ಕೆ ತನ್ನಿ."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","ಈ ಗ್ರಾಹಕರಿಗೆ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯ ನಿರ್ವಹಣೆ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ."
"We can't find this store.","We can't find this store."
"Customers","ಗ್ರಾಹಕರು"
"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","ನಿಮಗೆ ಇದಕ್ಕೆ ಪ್ರವೇಶಾನುಮತಿ ಇಲ್ಲ."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","An error has occurred. See error log for details."
"You cannot configure a product.","ನೀವು ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"You removed the items.","ನೀವು ವಸ್ತುಗಳನ್ನು ತೆಗೆದುಹಾಕಿದ್ದೀರಿ."
"You removed the item.","ನೀವು ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿದ್ದೀರಿ."
"You added %1 to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಅನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"You cannot add a product.","ನೀವು ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Order by SKU","SKU ನಂತೆ ವ್ಯಾಪಾರಾದೇಶಿಸಿ"
"The SKU was not found in the catalog.","The SKU was not found in the catalog."
"Availability: Out of stock.","ಲಭ್ಯತೆ: ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"We don't have as many of these as you want.","ನೀವು ಬಯಸಿರುವ ಸಂಖ್ಯೆಯಲ್ಲಿ ಈ ಉತ್ಪನ್ನ(ಗಳು) ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"You can't add this many to your cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಇಷ್ಟೊಂದು ವಸ್ತುಗಳನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You need to choose options for your item.","ನಿಮ್ಮ ವಸ್ತುಗಳಿಗೆ ಆಯ್ಕೆಗಳನ್ನು ಆರಿಸಬೇಕಾಗಿದೆ."
"We can't add the item to your cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ವಸ್ತುವನ್ನು ಸೇರಿಸಲು ನಮಗೆ ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"Please enter an actual number in the ""Qty"" field.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಅಂಕೆಯನ್ನು ""Qty"" ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"This product is assigned to another website.","ಈ ಉತ್ಪನ್ನವನ್ನು ಇನ್ನೊಂದು ಜಾಲತಾಣಕ್ಕೆ ವಹಿಸಲಾಗಿದೆ."
"You can add only enabled products.","ನೀವು ಸಕ್ರಿಯವಾಗಿರುವ ಉತ್ಪನ್ನಗಳನ್ನು ಮಾತ್ರ ಸೇರಿಸಬಹುದು."
"You cannot upload this file.","ನೀವು ಈ ಕಡತವನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಲಾಗುವುದಿಲ್ಲ."
"The file is empty.","ಖಡತವು ಖಾಲಿಯಿದೆ."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU."
"You have not entered a product SKU.","ನೀವು ಉತ್ಪನ್ನದ SKU ಅನ್ನು ನಮೂದಿಸಿಲ್ಲ."
"We can't add a product to cart by id ""%1"".","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ""%1"" ಐಡಿಯ ವಸ್ತುವನ್ನು ಸೇರಿಸಲು ನಮಗೆ ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"Something went wrong while reordering this product.","ಈ ಉತ್ಪನ್ನವನ್ನು ಮರುಖರೀದಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"We can't find this wish list.","ನಾವು ಈ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಲಿಲ್ಲ."
"You added %1 product to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"You added %1 products to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"%1 product requires your attention.","%1 ಉತ್ಪನ್ನಕ್ಕೆ ನಿಮ್ಮ ಗಮನ ಬೇಕಾಗಿದೆ."
"%1 products require your attention.","%1 ಉತ್ಪನ್ನಗಳಿಗೆ ನಿಮ್ಮ ಗಮನ ಬೇಕಾಗಿದೆ."
"Yes, for Specified Customer Groups","ಹೌದು, ನಿಗದಿತ ಗ್ರಾಹಕರ ಗುಂಪುಗಳಿಗಾಗಿ"
"Yes, for Everyone","ಹೌದು, ಎಲ್ಲರಿಗಾಗಿ"
"No","ಇಲ್ಲ"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","ದಯವಿಟ್ಟು .csv ಮಾದರಿಯಲ್ಲಿ ಕಡತವನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಿ."
"%1 item(s) need your attention.","%1 ವಸ್ತು(ಗಳು) ನಿಮ್ಮ ಗಮನ ಬಯಸುತ್ತಿವೆ."
"Apply Coupon Code","ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Remove Coupon Code","ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"The coupon code ""%1"" is not valid.","ಕೂಪನ್ ಕೋಡ್ ""%1"" ಅಸಿಂಧುವಾಗಿದೆ."
"Shopping Cart Items","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ವಸ್ತುಗಳು"
"Qty","ಪರಿಮಾಣ"
"Subtotal","ಉಪಮೊತ್ತ"
"Discount","ರಿಯಾಯಿತಿ"
"Row Subtotal","ಸಾಲಿನ ಉಪಮೊತ್ತ"
"Action","ಕ್ರಿಯೆ"
"No ordered items","No ordered items"
"Total %1 product(s)","ಒಟ್ಟು %1 ಉತ್ಪನ್ನ(ಗಳು)"
"Subtotal:","ಉಪಮೊತ್ತ:"
"Please select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Move to Wish List","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸರಿಸಿ"
"No item specified.","ಯಾವುದೆ ವಸ್ತುಗಳನ್ನು ಸೂಚಿಸಲಾಗಿಲ್ಲ."
"Are you sure you want to remove this item?","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"SKU number","SKU ಸಂಖ್ಯೆ"
"Upload File","ಕಡತ ಅಪ್ಲೋಡ್ ಮಾಡಿ"
"Your csv file must include ""sku"" and ""qty"" columns.","Your csv file must include ""sku"" and ""qty"" columns."
"Reset","ಮರುಹೊಂದಿಸಿ"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","ಕೇವಲ <span id=""%1_max_allowed"">%2</span> ದಾಸ್ತಾನಿನಲ್ಲಿವೆ"
"Item","ವಸ್ತು"
"See price before order confirmation.","ವ್ಯಾಪಾರಾದೇಶ ಖಚಿತಪಡಿಸುವ ಮುನ್ನ ಬೆಲೆಯನ್ನು ವೀಕ್ಷಿಸಿ."
"What's this?","ಇದು ಏನು?"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Edit item parameters","Edit item parameters"
"Edit","ಸಂಪಾದಿಸಿ"
"Remove item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Products Requiring Attention","ಗಮನಿಸಬೇಕಾದ ಉತ್ಪನ್ನಗಳು"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Sku","Sku"
"File","ಕಡತ"
"File extensions allowed: .csv","File extensions allowed: .csv"
"Add Row","ಸಾಲನ್ನು ಸೇರಿಸಿ"
"Remove Row","ಸಾಲನ್ನು ತೆಗೆದುಹಾಕಿ"
"Add Products By SKU","SKU ನಂತೆ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Shopping Cart Management","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯ ನಿರ್ವಹಣೆ"
"View Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ"
"View and modify Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ ಮತ್ತು ಸಂಪಾದಿಸಿ"
"Order by SKU Settings","SKU ಸಂಯೋಜನೆಗಳಂತೆ ವ್ಯಾಪಾರಾದೇಶಿಸಿ"
"Enable Order by SKU on My Account in Storefront","Enable Order by SKU on My Account in Storefront"
"Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Apply Coupon","ಕೂಪನ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Order by SKU Description","SKU ವಿವರಣೆಯಂತೆ ವ್ಯಾಪಾರಾದೇಶಿಸಿ"
"Display a Link to Loading a Spreadsheet","Spreadsheet ಅನ್ನು ತುಂಬಿಸಲು ಕೊಂಡಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Link Text","ಕೊಂಡಿ ಪಠ್ಯ"
"The text of the link to the My Account &gt; Order by SKU page","The text of the link to the My Account &gt; Order by SKU page"
"Load a list of SKUs","SKUಗಳ ಪಟ್ಟಿಯನ್ನು ತುಂಬಿ"
"Order by SKU Template","Order by SKU Template"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","ಗ್ರಾಹಕರು ಕಂಡುಬಂದಿಲ್ಲ. ಗ್ರಾಹಕರನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"This store couldn't be found. Verify the store and try again.","ಮಳಿಗೆ ಕಂಡುಬಂದಿಲ್ಲ. ಮಳಿಗೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"An error occurred. For details, see the error log.","ಒಂದು ದೋಷ ಸಂಭವಿಸಿದೆ. ವಿವರಗಳಿಗಾಗಿ ಎರರ್ ಲಾಗ್ ಅನ್ನು ವೀಕ್ಷಿಸಿ."
"Orders can only be completed in an active store. Verify the store and try again.","ಸಕ್ರಿಯವಾಗಿರುವ ಮಳಿಗೆಯಲ್ಲಿ ಮಾತ್ರ ವ್ಯಾಪಾರಾದೇಶಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸಬಹುದು. ಮಳಿಗೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
