"Manage Shopping Cart","Administrer indkøbskurv"
"An error has occurred. See error log for details.","Der opstod en fejl. Se fejlloggen for detaljer."
"You cannot configure a product.","Du kan ikke konfigurere et produkt."
"You removed the items.","Du har fjernet varene."
"You removed the item.","Du har fjernet varen."
"You added %1 to your shopping cart.","Du har tilføjet %1 til din indkøbskurv."
"You cannot add a product.","Du kan ikke tilføje et produkt."
"Order by SKU","Rækkefølge af SKU"
"The SKU was not found in the catalog.","SKU blev ikke fundet i kataloget."
"Availability: Out of stock.","Tilgængelighed: Ikke på lager."
"We don't have as many of these as you want.","Det ønskede antal er ikke tilgængelig."
"You can't add this many to your cart.","Du kan ikke tilføje det ønskede antal til din kurv."
"You need to choose options for your item.","Der mangler at blive taget et valg eller der er foretaget et ugyldigt valg."
"We can't add the item to your cart.","Du kan ikke tilføje denne vare til din kurv."
"Please enter an actual number in the ""Qty"" field.","Angiv venligst et reelt tal i feltet ""Antal""."
"This product is assigned to another website.","Dette produkt er tildelt til en anden hjemmeside."
"You can add only enabled products.","Du kan tilføje kun aktiverede produkter."
"You cannot upload this file.","Du kan ikke overføre denne fil."
"The file is empty.","Filen er tom."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Du har ikke angivet et produkt SKU. Venligst <a href=""%1""> Klik her</a> for at tilføje produkt(er) i SKU."
"You have not entered a product SKU.","Du har ikke angivet et produkt SKU."
"We can't add a product to cart by id ""%1"".","Vi kan ikke tilføje produktet til indkøbsvognen med id ""%1""."
"Something went wrong while reordering this product.","Noget gik galt under genbestilling af dette produkt."
"We can't find this wish list.","Vi kan ikke finde denne ønskeseddel."
"You added %1 product to your shopping cart.","Du har tilføjet %1 vare til indkøbsvognen."
"You added %1 products to your shopping cart.","Du har tilføjet %1 vare til indkøbsvognen."
"%1 product requires your attention.","%1 produkt kræver opmærksomhed."
"%1 products require your attention.","%1 produkt kræver opmærksomhed."
"Yes, for Specified Customer Groups","Ja, for bestemte kundegrupper"
"Yes, for Everyone","Ja, for alle"
"No","Nej"
"The file is corrupt.","Filen er beskadiget."
"Please upload the file in .csv format.","Upload fil i .csv-format."
"%1 item(s) need your attention.","%1 vare(r) har brug for din opmærksomhed."
"Apply Coupon Code","Anvend rabatkode"
"Remove Coupon Code","Fjern rabatkode"
"Remove","Fjern"
"The coupon code ""%1"" is not valid.","Rabatkoden ""%1"" er ikke gyldig."
"Shopping Cart Items","Indhold af indkøbsvogn"
"Qty","Antal"
"Subtotal","Subtotal"
"Discount","Rabat"
"Row Subtotal","Række Subtotal"
"Action","Handling"
"No ordered items","Ingen bestilte varer"
"Total %1 product(s)","Samlede %1 produkt(er)"
"Subtotal:","Subtotal:"
"Please select","Vælg venligst"
"Move to Wish List","Flyt til ønskeseddel"
"No item specified.","Ingen vare angivet."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne dette element?"
"SKU number","Varenummer"
"Upload File","Upload fil"
"Your csv file must include ""sku"" and ""qty"" columns.","Din CSV-fil skal indeholde kolonnerne ""sku"" og ""antal""."
"Reset","Nulstil"
"SKU: ","Varenummer: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Kun <span id=""%1_max_allowed"">%2</span> på lager"
"Item","Vare"
"See price before order confirmation.","Se prisen før ordrebekræftelse."
"What's this?","Hvad er dette?"
"Incl. Tax","Inkl. moms"
"Excl. Tax","Ekskl. moms"
"Edit item parameters","Rediger vare indstillinger"
"Edit","Redigér"
"Remove item","Fjern vare"
"Products Requiring Attention","Produkter, der kræver opmærksomhed"
"Add to Cart","Læg i kurv"
"Sku","Varenummer"
"File","Fil"
"File extensions allowed: .csv","Filtyper der er tilladt: .csv"
"Add Row","Tilføj række"
"Remove Row","Fjern række"
"Add Products By SKU","Tilføj produkter med SKU"
"Shopping Cart Management","Indkøbsvogn styring"
"View Shopping Cart","Se indkøbskurv"
"View and modify Shopping Cart","Få vist og Rediger indkøbskurv"
"Order by SKU Settings","Bestil efter SKU indstillinger"
"Enable Order by SKU on My Account in Storefront","Aktiver SKU ordre på min konto på shoppens forside"
"Customer Groups","Kundegrupper"
"Apply Coupon","Anvend rabatkode"
"Order by SKU Description","Rækkefølge af SKU beskrivelse"
"Display a Link to Loading a Spreadsheet","Vise et Link til indlæsning af regneark"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definerer, om et link til min konto &gt; rækkefølge af SKU side vises på widget"
"Link Text","Link tekst"
"The text of the link to the My Account &gt; Order by SKU page","Teksten i linket til min konto &gt; Sorter efter SKU side"
"Load a list of SKUs","Indlæs en liste over SKU'er"
"Order by SKU Template","Rækkefølge af SKU skabelon"
"SKU not found in catalog.","SKU ikke fundet i kataloget."
"This file needs to be in .csv format.","Denne fil skal være i .csv-format."
"This customer couldn't be found. Verify the customer and try again.","Det var ikke muligt at finde denne kunde. Kontroller kunden og prøv igen."
"This store couldn't be found. Verify the store and try again.","Denne butik kunne ikke findes. Kontroller butikken og prøv igen."
"An error occurred. For details, see the error log.","Der opstod en fejl. Yderligere oplysninger finder du i log-filen."
"Orders can only be completed in an active store. Verify the store and try again.","Ordrer kan kun gennemføres i en aktiv butik. Kontroller butikken og prøv igen."
"The ordered item needs to be loaded. Load the item and try again.","Den bestilte vare skal indlæses. Indlæs elementet, og prøv igen."
"The quote item ID needs to be received. Set the ID and try again.","Varens bestillings ID er ikke blevet modtaget. Sæt ID'et og prøv igen."
"The quote item needs to be loaded. Load the item and try again.","Den bestilte vare skal indlæses. Indlæs elementet, og prøv igen."
"The wish list item ID needs to be received. Set the ID and try again.","Ønskelistens vare ID skal modtages. Sæt varens ID og prøv igen."
"The wish list item needs to be loaded. Load the item and try again.","Ønskelistens vare skal indlæses. Genindlæs varen og prøv igen."
"The file is corrupt and can't be used.","Filen er beskadiget og kan ikke bruges."
