"Downloadable Information","Allalaaditav teave"
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Order #","Tellimus #"
"Date","Kuupäev"
"Status","Staatus"
"Remaining Downloads","Remaining Downloads"
"View Order","Vaata tellimust"
"Start Download","Allalaadimise alustamine"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"Back","Tagasi"
"download","download"
"Gift Message","Kinkesõnum"
"From:","Saatja:"
"To:","Saaja:"
"Message:","Sõnum:"
"Product Name","Toote nimi"
"Qty","Kogus"
"Subtotal","Vahesumma"
"Discount Amount","Allahindluse määr"
"Row Total","Rea kogusumma"
"Qty Invoiced","Arveldatud kogus"
"Ordered","Tellitud"
"Shipped","Saadetud"
"Canceled","Tühistatud"
"Refunded","Tagastatud"
"We could not detect a size.","Ei suuda tuvastada suurust."
"Downloadable Product Section","Downloadable Product Section"
"Downloads","Downloads"
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Ava viited uues aknas"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Keela võimalus vormistada ost külalisena kui korvis on allalaetavaid tooteid"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
