"Downloadable Information","Letölthető információk"
"Start Download","Letöltés indítása"
"You have not purchased any downloadable products yet.","Még nem vásárolt letölthető terméket."
"Back","Vissza"
"download","letöltés"
"Gift Message","Ajándék üzenet"
"From:","Feladó:"
"To:","Címzett:"
"Message:","Üzenet:"
"Product Name","Terméknév"
"Qty","Mennyiség"
"Subtotal","Részösszeg"
"Discount Amount","Engedmény összege"
"Row Total","Sor összeg"
"Qty Invoiced","Számlázott mennyiség"
"Ordered","Megrendelt"
"Shipped","Kiszállítva"
"Canceled","Törölve"
"Refunded","Visszatérített"
"We could not detect a size.","Nem tudjuk megállapítani a méretet."
"Downloadable Product Section","Letölthető termékek"
"Downloads","Letöltések"
"Downloadable Product Options","Letölthető termék lehetőségek"
"Order Item Status to Enable Downloads","Rendelés tétel állapot a letöltés engedélyezéséhez"
"Default Maximum Number of Downloads","Maximális letöltésszám alapértelmezett értéke"
"Default Sample Title","Alapértelmezett minta cím"
"Default Link Title","Alapértelmezett Link cím"
"Open Links in New Window","Linkek megnyitása új ablakban"
"Use Content-Disposition","Tartalom-diszpozíció használata"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vendégként vásárlás tiltása, ha a kosár letölthető termékeket tartalmaz"
"Guest checkout will only work with shareable.","Vendégként fizetés csak megoszthatóval fog működni."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
