"Downloadable Information","Downloadbare informatie"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumeriek- (a-z en A-Z), streepje- (-) en underscore- (_) karakters zijn aanbevolen voor bestandnamen. Ongeldige karakters worden vervangen door een underscore (_)."
"Add Link","Link toevoegen"
"Price","prijs"
"File","Bestand"
"Sample","demo"
"Shareable","Deelbaar"
"Max. Downloads","Max. downloads"
"Samples","Demo's"
"Use Default Value","Gebruik standaard waarde"
"sample","voorbeeld"
"Is this a downloadable Product?","Is dit een downloadbaar product?"
"Add links to your product files here.","Voeg links naar uw productbestanden hier toe."
"[STORE VIEW]","[WINKELAANZICHT]"
"[GLOBAL]","[GLOBAAL]"
"Sort Order","Sorteervolgorde"
"Attach File or Enter Link","Bestand toevoegen of voer link in"
"Sort Variations","Sorteer variaties"
"Browse Files...","Blader door bestanden..."
"Delete","Verwijder"
"Add product preview files here.","Voeg productvoorvertoningsbestanden hier toe."
"SKU","Art.nr."
"U","U"
"Select all","Alles selecteren"
"Unselect all","Selectie ongedaan maken"
"Availability","Beschikbaarheid"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Go to <a href=""%1"">My Downloadable Products</a>","Ga naar <a href=""%1"">Downloads</a>"
"Downloadable Products","Download-producten"
"Order #","Ordernr."
"Date","Datum"
"Status","status"
"Remaining Downloads","Resterende downloads"
"View Order","Bestelling bekijken"
"Start Download","Start het downloaden"
"You have not purchased any downloadable products yet.","U hebt nog geen producten besteld die u kunt downloaden."
"Back","Terug"
"download","downloaden"
"Gift Message","Cadeau-bericht"
"From:","Van:"
"To:","Tot:"
"Message:","Bericht:"
"Product Name","Product Naam"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Discount Amount","Korting"
"Row Total","Rijtotaal"
"Qty Invoiced","Gefactureerd aantal"
"Ordered","Besteld"
"Shipped","Verzonden"
"Canceled","Geannuleerd"
"Refunded","Teruggestort"
"We could not detect a size.","We kunnen geen grootte detecteren."
"Downloadable Product Section","Downloadbare producten sectie"
"Downloads","Downloads"
"Downloadable Product Options","Opties download-product"
"Order Item Status to Enable Downloads","Artikelstatus om downloads in te schakelen"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Default Link Title","Standaard-linktitel"
"Open Links in New Window","Links openen in nieuw venster"
"Use Content-Disposition","Gebruik Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Niet-ingelogd afrekenen uitschakelen als het winkelwagen download-producten bevat."
"Guest checkout will only work with shareable.","Afrekenen als gast werk alleen met deelbare producten"
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
