"Downloadable Information","Informasi Download"
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Ya"
"No","Tidak"
"Use config","Menggunakan konfigurasi"
"Upload File","Unggah File"
"URL","URL"
"attachment","lampiran"
"inline","di barisan"
"Pending","Tertunda"
"Invoiced","Faktur Ditagihkan"
"To enable the option set the weight to no","Untuk mengaktifkan pilihan mengatur berat tidak"
"Is this downloadable Product?","Apakah Produk yang dapat diunduh ini?"
"Links","Tautan"
"Title","Judul"
"Links can be purchased separately","Tautan bisa dibeli terpisah"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Karakter alfanumerik, tanda hubung dan garis bawah direkomendasikan untuk nama file. Karakter yang tidak benar diganti dengan '_'."
"Add Link","Add Link"
"Price","Harga"
"File","Mengajukan"
"Sample","Mencicipi"
"Shareable","Bisa dibagikan"
"Max. Downloads","Maks. Download"
"Samples","Sampel"
"Use Default Value","Gunakan Nilai Default"
"sample","mencicipi"
"Is this a downloadable Product?","Apakah ini Produk yang dapat diunduh?"
"Add links to your product files here.","Tambahkan link ke file produk Anda di sini."
"[STORE VIEW]","[LIHAT TOKO]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","Pengurutan"
"Attach File or Enter Link","Lampirkan File atau Enter Link"
"Sort Variations","Variasi Urutan"
"Browse Files...","Mencari berkas..."
"Delete","Hapus"
"Add product preview files here.","Tambahkan pratinjau produk di sini."
"SKU","SKU"
"U","U"
"Select all","Pilih Semua"
"Unselect all","Pilih Semua"
"Availability","Tersedianya"
"In stock","Tersedia"
"Out of stock","Habis terjual"
"Go to <a href=""%1"">My Downloadable Products</a>","Buka <a href=""%1""> Produk Terunduh Saya </a>"
"Downloadable Products","Produk yang dapat diunduh"
"Order #","Pesanan #"
"Date","Tanggal"
"Status","Subjek"
"Remaining Downloads","Download Tersisa"
"View Order","Tampilan Pemesanan"
"Start Download","Start Download"
"You have not purchased any downloadable products yet.","Anda belum membeli produk yang dapat diunduh."
"Back","Kembali"
"download","download"
"Gift Message","Pesan hadiah"
"From:","Dari:"
"To:","Ke:"
"Message:","Pesan:"
"Product Name","Nama Produk"
"Qty","Jml"
"Subtotal","Subtotal"
"Discount Amount","Jumlah diskon"
"Row Total","Jumlah baris"
"Qty Invoiced","Qty Faktur Ditagih"
"Ordered","Dipesan"
"Shipped","Dikirim"
"Canceled","Dibatalkan"
"Refunded","Dikembalikan"
"We could not detect a size.","Kami tidak bisa mendeteksi ukurannya."
"Downloadable Product Section","Bagian Produk yang dapat diunduh"
"Downloads","Unduh"
"Downloadable Product Options","Pilihan Produk yang dapat diunduh"
"Order Item Status to Enable Downloads","Status Item Pemesanan ke memungkinkan unduh"
"Default Maximum Number of Downloads","Default Jumlah Unduhan Maksimum"
"Default Sample Title","Judul Sampel Default"
"Default Link Title","Judul tautan default"
"Open Links in New Window","Buka Tautan di Jendela Baru"
"Use Content-Disposition","Gunakan konten-watak"
"Disable Guest Checkout if Cart Contains Downloadable Items","Nonaktifkan periksa Tamu jika Cart Mengandung Item yang Dapat Diunduh"
"Guest checkout will only work with shareable.","Periksa tamu hanya akan bekerja dengan mudah dibagikan."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
