"Downloadable Information","다운로드 정보"
"Sample file not provided","샘플파일이 제공되지 않습니다."
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","네"
"No","아니오"
"Use config","Use config"
"Upload File","파일 업로드"
"URL","URL"
"attachment","첨부"
"inline","인라인"
"Pending","보류 중"
"Invoiced","청구됨"
"To enable the option set the weight to no","이 옵션을 활성화 하려면 중량을 ""아니오""로 설정하십시오."
"Is this downloadable Product?","다운로드 상품 입니까?"
"Links","링크"
"Title","타이틀"
"Links can be purchased separately","링크는 별도 구매가 가능합니다."
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","링크 추가"
"Price","가격"
"File","파일"
"Sample","샘플"
"Shareable","공유가능"
"Max. Downloads","최대 다운로드"
"Samples","샘플"
"Use Default Value","기본값 사용"
"sample","샘플"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","제품 파일의 링크를 추가해 주십시오."
"[STORE VIEW]","[스토어뷰]"
"[GLOBAL]","[글로벌]"
"Sort Order","정렬 순서"
"Attach File or Enter Link","파일 첨부 또는 링크 입력"
"Sort Variations","Sort Variations"
"Browse Files...","파일 찾기..."
"Delete","삭제"
"Add product preview files here.","제품 프리뷰 파일을 추가하십시오."
"SKU","SKU"
"U","U"
"Select all","모두 선택"
"Unselect all","모두 해제"
"Availability","재고상태"
"In stock","재고 있음"
"Out of stock","품절"
"Go to <a href=""%1"">My Downloadable Products</a>","<a href=""%1"">다운로드 상품</a>으로 이동"
"Downloadable Products","다운로드 상품"
"Order #","주문번호"
"Date","날짜"
"Status","상태"
"Remaining Downloads","남아있는 다운로드"
"View Order","주문 보기"
"Start Download","다운로드 시작"
"You have not purchased any downloadable products yet.","다운로드 가능한 상품을 구매내역이 없습니다."
"Back","이전"
"download","다운로드"
"Gift Message","선물 메시지"
"From:","보낸 사람:"
"To:","To:"
"Message:","메시지:"
"Product Name","상품명"
"Qty","수량"
"Subtotal","소계"
"Discount Amount","할인 금액"
"Row Total","행 합계"
"Qty Invoiced","청구 수량"
"Ordered","주문됨"
"Shipped","배송됨"
"Canceled","취소됨"
"Refunded","환불됨"
"We could not detect a size.","사이즈를 알 수 없습니다. "
"Downloadable Product Section","다운로드 상품 항목"
"Downloads","다운로드"
"Downloadable Product Options","다운로드 상품 옵션"
"Order Item Status to Enable Downloads","주문 상품의 상태를 다운로드 허용으로 변경"
"Default Maximum Number of Downloads","기본 최대 다운로드 수"
"Default Sample Title","기본 샘플 타이틀"
"Default Link Title","기본 링크 타이틀"
"Open Links in New Window","새로운 창에서 링크열기"
"Use Content-Disposition","컨텐츠 처분 사용"
"Disable Guest Checkout if Cart Contains Downloadable Items","장바구니에 다운로드 상품이 있을 경우 비회원 주문 비활성화"
"Guest checkout will only work with shareable.","비회원 주문은 공유 가능 상품만 가능합니다."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
