"Downloadable Information","İndirilebilir Ürün Bilgisi"
"There is no downloadable sample with provided ID.","Verilen kimliğe sahip indirilebilir bir örnek yok."
"Provided downloadable sample is not related to given product.","Sağlanan indirilebilir örnek ürün ile ilişkili değildir."
"Cannot delete sample with id %1","% 1 kimliği olan örnek silinemiyor"
"Yes","Evet"
"No","Hayır"
"Use config","Yapılandırmayı kullan"
"Upload File","Dosya Yükle"
"URL","URL"
"attachment","ekli dosya"
"inline","iç"
"Pending","Bekliyor"
"Invoiced","Faturalandı"
"To enable the option set the weight to no","Bu seçeneği etkinleştirmek için ağırlıkları hayır olarak ayarlayın"
"Is this downloadable Product?","Bu indirilebilir Ürün mü?"
"Links","Bağlantılar"
"Title","Başlık"
"Links can be purchased separately","Bağlantılar ayrı ayrı satın alınabilir"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanümerik, tire ve alt çizgi karakterleri dosya adları için tavsiye edilir. Yanlış karakterler '_' ile değiştirilir."
"Add Link","Bağlantı Ekleyin"
"Price","Fiyat"
"File","Dosya"
"Sample","Örnek"
"Shareable","Paylaşılabilir"
"Max. Downloads","En fazla İndirme"
"Samples","Örnekler"
"Use Default Value","Varsayılan Değeri Kullan"
"sample","Örnek"
"Is this a downloadable Product?","Bu ürün indirilebilir mi?"
"Add links to your product files here.","Buradaki ürün dosyaların için bağlantı ekle."
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
"[GLOBAL]","[GENEL]"
"Sort Order","Sıralama"
"Attach File or Enter Link","Giriş Bağlantısı için Dosya Ekleyin"
"Sort Variations","Varyasyonları sırala"
"Browse Files...","Dosyalara Gözat..."
"Delete","Sil"
"Add product preview files here.","Buraya ön izleme ürün dosyaları ekle."
"SKU","Ürün Kodu"
"U","U"
"Select all","Hepsini seç"
"Unselect all","Tüm seçimi kaldır"
"Availability","Varlık"
"In stock","stokta mevcut"
"Out of stock","Stok mevcut değil"
"Go to <a href=""%1"">My Downloadable Products</a>","<a href=""%1""> İndirilebilir Ürünlerim </a> 'e gidin"
"Downloadable Products","İndirilebilir Ürünler"
"Order #","Sipariş #"
"Date","Tarih"
"Status","Durum"
"Remaining Downloads","Devam eden indirmeler"
"View Order","Siparişi Göster"
"Start Download","İndirmeye Başla"
"You have not purchased any downloadable products yet.","Henüz hiçbir indirilebilir ürün satın almadınız."
"Back","Geri"
"download","indir"
"Gift Message","Hediye Mesajı"
"From:","Kimden:"
"To:","Kime:"
"Message:","Mesaj:"
"Product Name","Ürün Adı"
"Qty","Miktar"
"Subtotal","Ara Toplam"
"Discount Amount","İndirim Tutarı"
"Row Total","Satır Toplamı"
"Qty Invoiced","Faturalanan Adet"
"Ordered","Sipariş Tarihi"
"Shipped","Gönderildi"
"Canceled","İptal Edildi"
"Refunded","İadesi Yapıldı"
"We could not detect a size.","Bir boyut tespit edemedik."
"Downloadable Product Section","İndirilebilir Ürün Bölümü"
"Downloads","İndirmeler"
"Downloadable Product Options","İndirilebilir Ürün Seçenekleri"
"Order Item Status to Enable Downloads","İndirmeye aktif etmek için Sipariş satırı durumu"
"Default Maximum Number of Downloads","Varsayılan En Fazla İndirme Sayısı"
"Default Sample Title","Varsayılan Örnek Başlığı"
"Default Link Title","Varsayılan Link Başlığı"
"Open Links in New Window","Bağlantıları yeni pencerede aç"
"Use Content-Disposition","İçerik Kurallarını Kullan"
"Disable Guest Checkout if Cart Contains Downloadable Items","Eğer sepet indirilebilir ürün içeriyorsa, Misafir Alışverişi Kapat"
"Guest checkout will only work with shareable.","Misafir olarak alışveriş sadece paylaşılanlarda çalışır."
"Product type of the product must be 'downloadable'.","Ürünün ürün türü 'indirilebilir' olmalıdır."
"The product needs to be the downloadable type. Verify the product and try again.","Ürün indirilebilir tipte olmalıdır. Ürünü doğrulayıp tekrar deneyiniz."
"The link information is invalid. Verify the link and try again.","Bağlantı bilgisi geçersiz. Bağlantıyı doğrulayıp tekrar deneyiniz."
"The link type is invalid. Verify and try again.","Bağlantı tipi geçersiz. Doğrulayıp tekrar deneyiniz."
"The link title is empty. Enter the link title and try again.","Bağlantı başlığı boş. Bağlantı başlığını girip tekrar deneyiniz."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Sağlanan kimliğe indirilebilir bir bağlantı bulunamadı. Kimliği doğrulayıp tekrar deneyiniz."
"The downloadable link isn't related to the product. Verify the link and try again.","İndirilebilir link, ürünle ilgili değildir. Bağlantıyı doğrulayıp tekrar deneyiniz."
"The link with ""%1"" ID can't be deleted.","""%1"" kimliğine sahip bağlantı silinemez."
"The sample information is invalid. Verify the information and try again.","Örnek bilgiler geçersiz. Bilgileri doğrulayıp tekrar deneyiniz."
"The sample type is invalid. Verify the sample type and try again.","Örnek tipi geçersiz. Örnek türünü doğrulayıp tekrar deneyiniz."
"The sample title is empty. Enter the title and try again.","Örnek başlık boş. Başlığı girip tekrar deneyiniz."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Sağlanan kimliğe indirilebilir bir bağlantı bulunamadı. Kimliği doğrulayıp tekrar deneyiniz."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
