"Downloadable Information","Πληροφορίες με Δυνατότητα Λήψης"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Χαρακτήρες Αλφαριθμητικοί, παύλα και υπογράμμιση συνιστώνται για ονόματα αρχείων. Ανάρμοστοι χαρακτήρες αντικαθίστανται με '_'."
"Add Link","Προσθέστε σύνδεσμο"
"Price","Τιμή"
"File","Αρχείο"
"Sample","Δείγμα"
"Shareable","Κοινόχρηστο"
"Max. Downloads","Μεγ. Λήψεις"
"Samples","Δείγματα"
"Use Default Value","Χρησιμοποιήστε την Προεπιλεγμένη Τιμή"
"sample","δείγμα"
"Is this a downloadable Product?","Πρόκειται για προϊόν με δυνατότητα λήψης;"
"Add links to your product files here.","Μπορείτε να προσθέσετε συνδέσμους στα αρχεία του προϊόντος σας εδώ."
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"Sort Order","Σειρά Ταξινόμησης"
"Attach File or Enter Link","Επισυνάψτε Αρχείο ή Εισάγετε Σύνδεσμο"
"Sort Variations","Ταξινόμηση Παραλλαγών"
"Browse Files...","Αναζήτηση Αρχείων..."
"Delete","Διαγραφή"
"Add product preview files here.","Προσθήκη προεπισκόπησης αρχείων προϊόντος εδώ."
"SKU","Κωδικός"
"U","U"
"Select all","Επιλογή όλων"
"Unselect all","Αποεπιλογή όλων"
"Availability","Διαθεσιμότητα"
"In stock","Σε απόθεμα"
"Out of stock","Εξαντλημένο"
"Go to <a href=""%1"">My Downloadable Products</a>","Πηγαίνετε στο <a href=""%1"">Τα προϊόντα μου με δυνατότητα λήψης</a>"
"Downloadable Products","Προϊόντα με δυνατότητα λήψης"
"Order #","Παραγγελία #"
"Date","Ημερομηνία"
"Status","Κατάσταση"
"Remaining Downloads","Υπόλοιπόμενες λήψεις"
"View Order","Προβολή Παραγγελίας"
"Start Download","Έναρξη λήψης"
"You have not purchased any downloadable products yet.","Δεν έχετε αγοράσει κάποιο κατεβάσιμο προϊόν ακόμη."
"Back","Πίσω"
"download","λήψη"
"Gift Message","Mήνυμα Δώρου"
"From:","Από:"
"To:","Προς:"
"Message:","Μήνυμα:"
"Product Name","Όνομα Προϊόντος"
"Qty","Ποσότητα"
"Subtotal","Υποσύνολο"
"Discount Amount","Ποσό Έκπτωσης"
"Row Total","Άθροισμα Σειράς"
"Qty Invoiced","Ποσότητα που τιμολογήθηκε"
"Ordered","Παραγγέλθηκαν"
"Shipped","Αποσταλεί"
"Canceled","Ακυρώθηκε"
"Refunded","Επιστράφηκαν"
"We could not detect a size.","Δεν μπορούσαμε να ανιχνεύσουμε ένα μέγεθος."
"Downloadable Product Section","Τμήμα προϊόντος με δυνατότητα λήψης"
"Downloads","Μεταφορτώσεις"
"Downloadable Product Options","Επιλογές των προϊόντων με δυνατότητα λήψης"
"Order Item Status to Enable Downloads","Κατάσταση στοιχείου παραγγελίας για να ενεργοποιήσετε λήψεις"
"Default Maximum Number of Downloads","Προεπιλεγμένος μέγιστος αριθμός των Μεταφορτώσεων"
"Default Sample Title","Προεπιλεγμένος τίτλος δείγματος"
"Default Link Title","Προεπιλεγμένος Τίτλος Συνδέσμου"
"Open Links in New Window","Άνοιγμα συνδέσμων σε νέο παράθυρο"
"Use Content-Disposition","Χρήση διάταξης περιεχομένου"
"Disable Guest Checkout if Cart Contains Downloadable Items","Απενεργοποιήστε την Ολοκλήρωση Παραγγελίας Επισκέπτη εάν το καλάθι περιέχει είδη με δυνατότητα λήψης"
"Guest checkout will only work with shareable.","Η Ολοκλήρωση Παραγγελίας Επισκέπτη θα λειτουργήσει μόνο με κοινόχρηστο."
"Product type of the product must be 'downloadable'.","Ο τύπος Προϊόντος πρέπει να είναι 'Διαθέσιμος για λήψη'."
"The product needs to be the downloadable type. Verify the product and try again.","Το προϊόν πρέπει να είναι σε τύπο μεταφόρτωσης. Επαληθεύστε το προϊόν και δοκιμάστε ξανά."
"The link information is invalid. Verify the link and try again.","Οι πληροφορίες συνδέσμου δεν είναι έγκυρες. Επαληθεύστε τη σύνδεση και δοκιμάστε ξανά."
"The link type is invalid. Verify and try again.","Ο τύπος συνδέσμου είναι εσφαλμένος. Επαληθεύστε και προσπαθήστε ξανά."
"The link title is empty. Enter the link title and try again.","Ο τίτλος συνδέσμου είναι κενός. Εισαγάγετε τον τίτλο της σύνδεσης και δοκιμάστε ξανά."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Δεν βρέθηκε σύνδεσμος για μεταφόρτωση με το παρεχόμενο ID. Επαληθεύστε το ID και δοκιμάστε ξανά."
"The downloadable link isn't related to the product. Verify the link and try again.","Ο σύνδεσμος μεταφόρτωσης δεν σχετίζεται με το προϊόν. Επαληθεύστε τον σύνδεσμο και δοκιμάστε ξανά."
"The link with ""%1"" ID can't be deleted.","Ο σύνδεσμος με ID ""%1"" δεν μπορεί να διαγραφεί."
"The sample information is invalid. Verify the information and try again.","Το δείγμα πληροφοριών είναι άκυρο. Επαληθεύστε τις πληροφορίες και δοκιμάστε ξανά."
"The sample type is invalid. Verify the sample type and try again.","Ο τύπος δείγματος είναι εσφαλμένος. Επαληθεύστε τον τύπο δείγματος και προσπαθήστε ξανά."
"The sample title is empty. Enter the title and try again.","Ο τίτλος δείγματος είναι κενός. Εισαγάγετε τον τίτλο και δοκιμάστε ξανά."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Δεν βρέθηκε δείγμα για μεταφόρτωση με το παρεχόμενο ID. Επαληθεύστε το ID και δοκιμάστε ξανά."
"The downloadable sample isn't related to the product. Verify the link and try again.","Το δείγμα μεταφόρτωσης δεν σχετίζεται με το προϊόν. Επαληθεύστε τον σύνδεσμο και δοκιμάστε ξανά."
"The sample with ""%1"" ID can't be deleted.","Το δείγμα με ID ""%1"" δεν μπορεί να διαγραφεί."
