"Save and Continue Edit","Lagre og fortsett redigering"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","This discount will be applied to all selected products. The custom price type will be set to 'Discount'."
"Set Discount","Set Discount"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Adjust Fixed Price"
"SKU","Varenummer"
"Websites","Nettsider"
"Cost","Kostnad"
"MSRP","MSRP"
"Price","Pris"
"Custom Price","Egendefinert pris"
"New Price","Ny pris"
"Tax Class","Avgiftsklasse"
"All Store Views","Alle butikkvisninger"
"Store View","Butikkvisning"
"Thumbnail","Miniatyrbilde"
"Attribute Set","Attributtsett"
"Visibility","Synlighet"
"Status","Status"
"tier_price_form","tier_price_form"
"Add Price","Legg til pris"
"Website","Nettsted"
"Quantity","Antall"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
