"Wish List","Liste d'achats"
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier dès maintenant."
"We couldn't add the following product(s) to the shopping cart: %1.","Impossible d'ajouter le(s) produit(s) suivant à votre panier : %1."
"We can't update the Wish List right now.","Nous ne pouvons pas mettre à jour la liste d'achats pour le moment."
"%1 product(s) have been added to shopping cart: %2.","%1 produits ont été ajoutés à votre panier : %2."
"Comment:","Commentaire :"
"We cannot retrieve the Wish List.","Impossible de récupérer la liste d'achats."
"%1's Wishlist","Liste d'envies de %1"
"Cannot add product without stock to wishlist.","Cannot add product without stock to wishlist."
"We can't specify a wish list item.","Nous ne pouvons pas spécifier un élément de liste d'achats."
"The product does not exist.","Le produit n'existe pas."
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"The quantity of a wish list item cannot be 0","The quantity of a wish list item cannot be 0"
"The product is disabled","The product is disabled"
"Could not add the product with SKU ""%sku"" to the wishlist:: %message","Could not add the product with SKU ""%sku"" to the wishlist:: %message"
"Wrong format of the entered option data","Wrong format of the entered option data"
"Required fields are not present EnteredOption.uid, EnteredOption.value","Required fields are not present EnteredOption.uid, EnteredOption.value"
"The wishlist item with ID ""%id"" does not belong to the wishlist","The wishlist item with ID ""%id"" does not belong to the wishlist"
"Could not find a wishlist item with ID ""%id""","Could not find a wishlist item with ID ""%id"""
"We can't delete the item with ID ""%id"" from the Wish List right now.","We can't delete the item with ID ""%id"" from the Wish List right now."
"Test Phrase","Phrase de test"
"message","Message"
"Message","Message"
"error-message","message d’erreur"
"LocalizedException","Localisation"
"Product Exception.","Exception de produit."
"Localized Exception.","Exception localisée."
"Are you sure you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article ?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Partager liste d'achats"
"Add All to Cart","Tout ajouter au panier"
"Update Wish List","Mettre à jour liste d'achats"
"Move to Wishlist","Déplacer vers la liste d'achats"
"Add to Wish List","Ajouter à la liste d'achats"
"View Product","Voir produit"
"Qty","Qté"
"Add to Cart","Ajouter au panier"
"Availability","Disponibilité"
"In stock","En stock"
"Out of stock","Épuisé"
"Edit","Éditer"
"Remove Item","Supprimer l'article"
"Remove item","Retirer l'article"
"Add to Compare","Ajouter au comparateur"
"This Wish List has no Items","Cette liste d'achats n'a pas d'articles"
"%1 has been added to your Wish List.","%1 a été ajouté à votre liste d'achats."
"Click <a href=""%1"">here</a> to continue shopping.","Cliquez <a href=""%1"">ici</a> pour continuer vos achats."
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"See Details","Voir les détails"
"Options Details","Détails des options"
"RSS link to %1's wishlist","Lien RSS vers la liste d'achats de %1"
"RSS Feed","Flux RSS"
"Product","Produit"
"Back","Retour"
"Wish List is empty now.","Liste d'achats est maintenant vide."
"* Required Fields","* Champs obligatoires"
"Sharing Information","Information de partage"
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Check here to link an RSS feed to your Wish List.","Cliquez ici pour créer un lien RSS vers votre liste d'achats."
"Last Added Items","Derniers articles ajoutés"
"Remove This Item","Retirer cet élément"
"Go to Wish List","Ajouter à la liste d'achats"
"You have no items in your wish list.","Vous n’avez aucun article dans votre liste d'achats."
"Take a look at %customer_name's Wish List","Jetez un œil à la liste d'achats de %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name veut partager cette liste d'achats de %store_name avec vous :"
"View all Wish List items","Voir tous les articles de la liste d'achats"
"Wish List Section","Section de la liste d'achats"
"Share Options","Options de partage"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le gabarit d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Max Emails Allowed to be Sent","Nombre max d'e-mails autorisés à être envoyés"
"10 by default. Max - 10000","10 par défaut. Max - 10000"
"Email Text Length Limit","Limite de longueur de texte d’email"
"255 by default. Max - 10000","255 by default. Max - 10000"
"General Options","Options générales"
"Enabled","Activé"
"Show in Sidebar","Afficher dans la barre latérale"
"My Wish List Link","Lien de ma liste d'achats"
"Display Wish List Summary","Affichage résumé de la liste d'achats"
"Enable RSS","Activer le RSS"
"No Items Found","Aucun article trouvé"
"Product Name","Nom de produit"
"User Description","Description utilisateur"
"Quantity","Quantité"
"Add Locale","Ajouter des paramètres régionaux"
"Add Date","Ajouter une date"
"Days in Wish List","Jours dans la liste d'achats"
"Action","Action"
"Configure","Configurer"
"Delete","Supprimer"
"Product Details and Comment","Détails du produit et commentaire"
"Add To Wishlist","Add To Wishlist"
