"Wish List","Lista de artículos deseados"
"Out of stock","Sin stock"
"Edit","Editar"
"Remove Item","Eliminar elemento"
"Remove item","Eliminar artículo"
"Add to Compare","Añadir para comparar"
"This Wish List has no Items","Los favoritos no tienen artículos"
"%1 has been added to your Wish List.","%1 se ha agregado a su lista de deseos."
"Click <a href=""%1"">here</a> to continue shopping.","Haga clic <a href=""%1""> aquí</a> para continuar comprando."
"See Details","Ver información"
"Options Details","Detalles de las opciones"
"RSS link to %1's wishlist","Enlace RSS a la lista de deseos de %1"
"RSS Feed","Fuente RSS"
"Product","Producto"
"Back","Volver"
"Wish List is empty now.","Su favoritos están vacíos."
"* Required Fields","* Campos Requeridos"
"Sharing Information","Compartiendo información"
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Check here to link an RSS feed to your Wish List.","Marque aquí vincular un RSS feed a tu lista de deseos."
"Last Added Items","Últimos elementos añadidos"
"Remove This Item","Eliminar este artículo"
"Go to Wish List","Ir a lista de deseos"
"You have no items in your wish list.","No tiene ningún elemento en su lista de favoritos."
"Take a look at %customer_name's Wish List","Echa un vistazo a la lista de deseos de %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name quiere compartir esta lista de %store_name:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Ver todos los elementos de lista de deseos"
"Wish List Section","Sección de lista de deseos"
"Share Options","Opciones para compartir"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Max Emails Allowed to be Sent","Máxima cantidad de correos que se permite enviar"
"Email Text Length Limit","Límite de longitud de texto de correo electrónico"
"General Options","Opciones generales"
"Enabled","Habilitado"
"My Wish List Link","Enlace de mi lista de deseos"
"Display Wish List Summary","Mostrar Resumen de lista de deseos"
"Enable RSS","Activar RSS"
"No Items Found","No se encontraron artículos"
"Product Name","Nombre del Producto"
"User Description","Descripción del usuario"
"Quantity","Cantidad"
"Add Locale","Agregar configuración regional"
"Add Date","Añadir fecha"
"Days in Wish List","Días en favoritos"
"Action","Acción"
"Configure","Configurar"
"Delete","Eliminar"
"Product Details and Comment","Detalles del artículo y comentarios"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 ha sido eliminado de tu lista de deseos."
"10 by default. Max - 10000","10 predeterminado. Max - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","El elemento de la lista de deseos no puede cargarse en este momento. Por favor intenta de nuevo más tarde."
"The cart item doesn't exist.","El producto del carrito no existo."
"You must login or register to add items to your wishlist.","Debes iniciar sesión o registrarte para agregar elementos a tu lista de deseos."
"Show in Sidebar","Mostrar en la barra lateral"
