"Wish List","ಇಚ್ಛಾಪಟ್ಟಿ"
"%1 has been moved to your wish list.","%1 ಅನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸರಿಸಲಾಗಿದೆ."
"We can't move the item to the wish list.","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ವಸ್ತುವನ್ನು ಸರಿಸಲು ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
"We can't delete the item from Wish List right now because of an error: %1.","ಯಾವುದೋ ದೋಷದಿಂದಾಗಿ ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಯಿಂದ ಅಳಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ: %1."
"We can't delete the item from the Wish List right now.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಯಿಂದ ಅಳಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
"Message length must not exceed %1 symbols","ಸಂದೇಶದ ಉದ್ದ %1 ಸಂಕೇತಗಳನ್ನು ಮೀರಬಾರದು"
"Please enter an email address.","ದಯವಿಟ್ಟು ಒಂದು ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Your wish list has been shared.","ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ."
"We can't delete item from Wish List right now.","ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಯಿಂದ ಅಳಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
"Can't save description %1","%1 ವಿವರಣೆಯನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ"
"Can't update wish list","ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗುವುದಿಲ್ಲ"
"%1 has been updated in your Wish List.","%1 ಅನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಯಲ್ಲಿ ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"We can't update your Wish List right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"The requested Wish List doesn't exist.","ವಿನಂತಿಸಿದ ಇಚ್ಛಾಪಟ್ಟಿ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"We can't create the Wish List right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ರಚಿಸಲಾಗಲಿಲ್ಲ."
"%1 items","%1 ವಸ್ತುಗಳು"
"1 item","1 ವಸ್ತು"
"Comment","ಅಭಿಪ್ರಾಯ"
"Display number of items in wish list","ಇಚ್ಛಾಪಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳ ಸಂಖ್ಯೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display item quantities","ವಸ್ತುವಿನ ಪರಿಮಾಣವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"An item option with code %1 already exists.","%1 ಸಂಕೇತದೊಂದಿಗಿನ ವಸ್ತುನಿನ ಆಯ್ಕೆ ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ."
"We can't specify a wish list.","ನಮಗೆ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಸೂಚಿಸಲಾಗಲಿಲ್ಲ."
"Cannot specify product.","ಉತ್ಪನ್ನವನ್ನು ಸೂಚಿಸಲಾಗಲಿಲ್ಲ."
"Product is not salable.","ಉತ್ಪನ್ನವು ಮಾರಾಟಕ್ಕಿಲ್ಲ."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","""%2"" ಗಾಗಿ %1."
"We can't add this item to your shopping cart right now.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
"We couldn't add the following product(s) to the shopping cart: %1.","ಈ ಕೆಳಗಿನ ಉತ್ಪನ್ನ(ಗಳ) ನ್ನು ನಾವು ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ: %1."
"We can't update the Wish List right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"%1 product(s) have been added to shopping cart: %2.","%1 ಉತ್ಪನ್ನ(ಗಳ) ವನ್ನು ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಲಾಗಿದೆ:%2."
"Comment:","ಅಭಿಪ್ರಾಯ:"
"We cannot retrieve the Wish List.","We cannot retrieve the Wish List."
"%1's Wishlist","%1 ರ ಇಚ್ಛಾಪಟ್ಟಿ"
"We can't specify a wish list item.","ನಮಗೆ ಇಚ್ಛಾಪಟ್ಟಿಯ ವಸ್ತುವನ್ನು ಸೂಚಿಸಲಾಗಲಿಲ್ಲ."
"The product does not exist.","ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"Test Phrase","Test Phrase"
"message","ಸಂದೇಶ"
"Message","ಸಂದೇಶ"
"error-message","ದೋಷದ ಸಂದೇಶ"
"LocalizedException","LocalizedException"
"Product Exception.","ಉತ್ಪನ್ನ ದೋಷ."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Special Price","ವಿಶೇಷ ಬೆಲೆ"
"Regular Price","ಸಾಮಾನ್ಯ ಬೆಲೆ"
"Share Wish List","ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳಿ"
"Add All to Cart","ಎಲ್ಲವನ್ನೂ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Update Wish List","ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Move to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸರಿಸಿ"
"Add to Wish List","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"View Product","ಉತ್ಪನ್ನವನ್ನು ವೀಕ್ಷಿಸಿ"
"Qty","ಪರಿಮಾಣ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Availability","ಲಭ್ಯತೆ"
"In stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Edit","ಸಂಪಾದಿಸಿ"
"Remove Item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Add to Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"This Wish List has no Items","ಈ ಇಚ್ಛಾಪಟ್ಟಿಯಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ"
"%1 has been added to your Wish List.","%1 ಅನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸರಿಸಲಾಗಿದೆ."
"Click <a href=""%1"">here</a> to continue shopping.","ಶಾಪಿಂಗ್ ಮುಂದುವರಿಸಲು <a href=""%1"">ಇಲ್ಲಿ</a> ಕ್ಲಿಕ್ ಮಾಡಿ."
"See Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Options Details","ಆಯ್ಕೆಗಳ ವಿವರ"
"RSS link to %1's wishlist","%1 ರ ಇಚ್ಛಾಪಟ್ಟಿಗೆ RSS ಕೊಂಡಿ"
"RSS Feed","RSS Feed"
"Product","ಉತ್ಪನ್ನ"
"Back","ಹಿಂದೆ"
"Wish List is empty now.","ಈಗ ಇಚ್ಛಾಪಟ್ಟಿ ಖಾಲಿಯಿದೆ."
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Sharing Information","ಹಂಚಿಕೆ ಮಾಹಿತಿ"
"Email addresses, separated by commas","ಮಿಂಚೆ ವಿಳಾಸಗಳು, ಕಾಮಾ ವಿಭಜಿತ"
"Check here to link an RSS feed to your Wish List.","ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಗೆ RSS ಫೀಡ್ ಅನ್ನು ಹೊಂದಿಸಲು ಇಲ್ಲಿ ಪರಿಶೀಲಿಸಿ."
"Last Added Items","ಕೊನೆಯದಾಗಿ ಸೇರಿಸಿದ ವಸ್ತುಗಳು"
"Remove This Item","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Go to Wish List","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಮುಂದುವರೆಯಿರಿ"
"You have no items in your wish list.","ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಯಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"Take a look at %customer_name's Wish List","%customer_name's ರ ಇಚ್ಛಾಪಟ್ಟಿಯ ಕಡೆ ಒಮ್ಮೆ ನೋಡಿ"
"%customer_name wants to share this Wish List from %store_name with you:","%store_name ನಿಂದ ಈ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು %customer_name ಅವರು ನಿಮ್ಮ ಜೊತೆ ಹಂಚಿಕೊಳ್ಳಲು ಬಯಸುತಿದ್ದಾರೆ:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","ಇಚ್ಛಾಪಟ್ಟಿಯ ಎಲ್ಲಾ ವಸ್ತುಗಳನು ವೀಕ್ಷಿಸಿ"
"Wish List Section","ಇಚ್ಛಾಪಟ್ಟಿ ವಿಭಾಗ"
"Share Options","ಹಂಚಿಕೆ ಆಯ್ಕೆಗಳು"
"Email Sender","ಮಿಂಚೆ ರವಾನೆದಾರ"
"Email Template","ಮಿಂಚೆಯ ಮಾದರಿ"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Max Emails Allowed to be Sent","ರವಾನಿಸಲು ಅನುಮತಿಸಿರುವ ಗರಿಷ್ಟ ಮಿಂಚೆಗಳು"
"Email Text Length Limit","ಮಿಂಚೆ ಪಠ್ಯದ ಮಿತಿ"
"General Options","ಸಾಮಾನ್ಯ ಆಯ್ಕೆಗಳು"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"My Wish List Link","ನನ್ನ ಇಚ್ಛಾಪಟ್ಟಿ ಕೊಂಡಿ"
"Display Wish List Summary","ಇಚ್ಛಾಪಟ್ಟಿಯ ಸಾರಾಂಶ ಪ್ರದರ್ಶಿಸಿ"
"Enable RSS","RSS ಸಕ್ರಿಯಗೊಳಿಸಿ"
"No Items Found","ಯಾವುದೇ ವಸ್ತುಗಳು ಕಂಡುಬಂದಿಲ್ಲ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"User Description","ಬಳಕೆದಾರರ ವಿವರಣೆ"
"Quantity","ಪರಿಮಾಣ"
"Add Locale","Locale ಸೇರಿಸಿ"
"Add Date","ದಿನಾಂಕ ಸೇರಿಸಿ"
"Days in Wish List","ಇಚ್ಛಾಪಟ್ಟಿಯಲ್ಲಿನ ದಿನಗಳು"
"Action","ಕ್ರಿಯೆ"
"Configure","ಸಂರಚಿಸಿ"
"Delete","ಅಳಿಸಿ"
"Product Details and Comment","ಉತ್ಪನ್ನದ ವಿವರಗಳು ಮತ್ತು ಅಭಿಪ್ರಾಯ"
"Add To Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 ಅನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಯಿಂದ ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"10 by default. Max - 10000","10 ನಿಗದಿತ. ಗರಿಷ್ಟ - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","ಇಚ್ಛಾಪಟ್ಟಿಯ ವಸ್ತು ಈ ಸಮಯದಲ್ಲಿ ತುಂಬಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The cart item doesn't exist.","ಶಾಪಿಂಗೆ ಬುಟ್ಟಿಯ ವಸ್ತುವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"You must login or register to add items to your wishlist.","ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಗೆ ವಸ್ತುಗಳನ್ನು ಸೇರಿಸಲು ನೀವು ಲಾಗಿನ್ ಆಗಬೇಕು ಅಥವಾ ನೋಂದಾವಣೆಯಾಗಬೇಕು."
"Show in Sidebar","ಬದಿಪಟ್ಟಿಕೆಯಲ್ಲಿ ಪ್ರದರ್ಶಿಸಿ"
