"Wish List","Vēlmju saraksts"
"Remove item","Noņemt produktu"
"Add to Compare","Pievienot salīdzināšanai"
"This Wish List has no Items","Šajā vēlmju sarakstā nav produktu"
"%1 has been added to your Wish List.","%1 tika pievienots Jūsu vēlmju sarakstam."
"Click <a href=""%1"">here</a> to continue shopping.","Klikškiniet <a href=""%1"">šeit</a>, lai turpinātu iepirkšanos."
"See Details","Sīkāka informācija"
"Options Details","Opciju detaļas"
"RSS link to %1's wishlist","RSS barotne %1 vēlmu sarakstam"
"RSS Feed","RSS barotne"
"Product","Produkts"
"Back","Atpakaļ"
"Wish List is empty now.","Vēlmju saraksts ir tukšs."
"* Required Fields","* obligātie lauki"
"Sharing Information","Koplietošanas informācija"
"Email addresses, separated by commas","E-pasta adrese, atdalītas ar komatu"
"Check here to link an RSS feed to your Wish List.","Atzīmējiet, lai pievienotu Vēlmju sarakstu RSS plūsmai."
"Last Added Items","Pēdējie pievienotie produkti"
"Remove This Item","Nodzēst šo vienību"
"Go to Wish List","Iet uz Vēlmju sarakstu"
"You have no items in your wish list.","Jums nav produktu Vēlmju sarakstā."
"Take a look at %customer_name's Wish List","Apskatīt %customer_name's Vēlmju sarakstu"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name vēlas koplietot ar Jums savu Vēlmju sarakstu no %store_name :"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Skatīt visus Vēlmju saraksta produktus"
"Wish List Section","Vēlmju saraksta sadaļa"
"Share Options","Koplietošanas opcijas"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-pasta šablons izvēlēts balstoties uz iepriekšējās tēmas, ja ir izvēlēta ""noklusētā"" opcija."
"Max Emails Allowed to be Sent","Maksimāli atļautais vēstuļu skaits e-pastu sūtīšanai"
"Email Text Length Limit","E-pasta teksta garuma limits"
"General Options","Vispārīgās Opcijas"
"Enabled","Ieslēgts"
"My Wish List Link","Mana Vēlmju saraksta saite"
"Display Wish List Summary","Rādīt Vēlmju saraksta kopsavilkumu"
"Enable RSS","Ieslēgt RSS"
"No Items Found","Nav atrasti produkti"
"Product Name","Produkta nosaukums"
"User Description","Lietotāja apraksts"
"Quantity","Skaits"
"Add Locale","Pievienot lokalizāciju"
"Add Date","Pievienot datumu"
"Days in Wish List","Dienas Vēlmju sarakstā"
"Action","Darbība"
"Configure","Konfigurēt"
"Delete","Dzēst"
"Product Details and Comment","Produkta informācija un komentāri"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 pēc noklusējuma. Maksimālais - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","Jums jāpieslēdzas lai varētu pievienot produktus Vēlmju sarakstam."
"Show in Sidebar","Rādīt sānu joslā"
