"Wish List","Ønskeliste"
"Click <a href=""%1"">here</a> to continue shopping.","Klikk <a href=""%1""> her</a> for å fortsette å handle."
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"See Details","Se detaljer"
"Options Details","Alternativer for detaljer"
"RSS link to %1's wishlist","RSS-link til %1 sin ønskeliste"
"RSS Feed","RSS-feed"
"Product","Produkt"
"Back","Tilbake"
"Wish List is empty now.","Ønskelisten er tom nå."
"* Required Fields","* Nødvendige felt"
"Sharing Information","Delingsinformasjon"
"Email addresses, separated by commas","E-postadresser, adskilt med komma"
"Check here to link an RSS feed to your Wish List.","Trykk her for å koble en RSS-feed til din ønskeliste."
"Last Added Items","Siste tillagte varer"
"Remove This Item","Fjern denne varen"
"Go to Wish List","Gå til ønskeliste"
"You have no items in your wish list.","Ingen produkter i ønskelisten."
"Take a look at %customer_name's Wish List","Ta en titt på %customer_name sin ønskeliste"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name ønsker å dele denne ønskelisten fra %store_name med deg:"
"View all Wish List items","Vis alle produktene i ønskelisten"
"Wish List Section","Avdeling for ønskeliste"
"Share Options","Alternativer for deling"
"Email Sender","E-post avsender"
"Email Template","E-post mal"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Max Emails Allowed to be Sent","Maks antall e-post tillatt å sende"
"10 by default. Max - 10000","10 som standard. Maks - 10000"
"Email Text Length Limit","Grense for e-post tekst lengde"
"255 by default. Max - 10000","255 by default. Max - 10000"
"General Options","Generelle alternativer"
"Enabled","Aktivert"
"Show in Sidebar","Show in Sidebar"
"My Wish List Link","Min ønskeliste link"
"Display Wish List Summary","Vis ønskeliste sammendrag"
"Enable RSS","Aktiver RSS"
"No Items Found","Ingen varer funnet"
"Product Name","Produktnavn"
"User Description","Bruker Beskrivelse"
"Quantity","Antall"
"Add Locale","Legge til nasjonale innstillinger"
"Add Date","Legg til dato"
"Days in Wish List","Dager i ønskeliste"
"Action","Handling"
"Configure","Konfigurer"
"Delete","Slett"
"Product Details and Comment","Produktdetaljer og kommentar"
"Add To Wishlist","Add To Wishlist"
