"Wish List","Toivelista"
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Tuotetta ei ole olemassa."
"Test Phrase","Test Phrase"
"message","viesti"
"Message","Viesti"
"error-message","virheviesti"
"LocalizedException","LocalizedException"
"Product Exception.","Tuotteen poikkeus."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Haluatko varmasti poistaa tämän nimikkeen?"
"Special Price","Tarjoushinta"
"Regular Price","Normaalihinta"
"Share Wish List","Jaa toivelista"
"Add All to Cart","Lisää kaikki ostoskoriin"
"Update Wish List","Päivitä toivelista"
"Move to Wishlist","Siirrä toivelistalle"
"Add to Wish List","Lisää toivelistaan"
"View Product","Tarkastele tuotetta"
"Qty","Määrä"
"Add to Cart","Lisää ostoskoriin"
"Availability","Saatavuus"
"In stock","Varastossa"
"Out of stock","Ei varastossa"
"Edit","Muokkaa"
"Remove Item","Poista kohde"
"Remove item","Poista kohde"
"Add to Compare","Lisää vertailuun"
"This Wish List has no Items","Tällä toivelistalla ei ole nimikkeitä"
"%1 has been added to your Wish List.","%1 on lisätty toivelistallasi."
"Click <a href=""%1"">here</a> to continue shopping.","Klikkaa <a href=""%1""> tästä</a> jatkaaksesi ostoksia."
"See Details","Katso lisätietoja"
"Options Details","Vaihtoehdot tiedot"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS-syöte"
"Product","Tuote"
"Back","Takaisin"
"Wish List is empty now.","Toivelista on nyt tyhjä."
"* Required Fields","* Pakolliset kentät"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Sähköpostiosoitteet, pilkuin erotettu"
"Check here to link an RSS feed to your Wish List.","Valitse tämä RSS-syötteen linkittämiseksi toivelistaasi."
"Last Added Items","Viimeksi lisätyt kohteet"
"Remove This Item","Poista tämä nimike"
"Go to Wish List","Siirry toivelistalle"
"You have no items in your wish list.","Sinulla ei ole tuotteita toivelistallasi."
"Take a look at %customer_name's Wish List","Tarkastele käyttäjän %customer_name toivelistaa"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name haluaa jakaa tämän toivelistan verkkokaupassa %store_name kanssasi:"
"Message from %customer_name:","Viesti käyttäjältä %customer_name:"
"View all Wish List items","Tarkastele kaikkia toivelistan nimikkeitä"
"Wish List Section","Toivelistan osa"
"Share Options","Jakamisen asetukset"
"Email Sender","Sähköpostin Lähettäjä"
"Email Template","Sähköpostimalli"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Max Emails Allowed to be Sent","Sähköpostien lähettämisen sallittu enimmäismäärä"
"Email Text Length Limit","Sähköpostin tekstin enimmäispituus"
"General Options","Yleiset asetukset"
"Enabled","Käytössä"
"My Wish List Link","Toivelistan linkki"
"Display Wish List Summary","Näytä toivelistan yhteenveto"
"Enable RSS","Ota RSS käyttöön"
"No Items Found","Yhtään kohdetta ei löytynyt"
"Product Name","Tuotenimi"
"User Description","Käyttäjän kuvaus"
"Quantity","Määrä"
"Add Locale","Lisää kieli"
"Add Date","Lisäyspäivämäärä"
"Days in Wish List","Päivää toivelistalla"
"Action","Toiminto"
"Configure","Määritä"
"Delete","Poista"
"Product Details and Comment","Tuotetiedot ja kommentti"
"Add To Wishlist","Lisää toivelistaan"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","Oletus 10. Max - 10000"
"255 by default","Oletus 255"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Näytä sivupalkissa"
