"Wish List","Wunschliste"
"LocalizedException","LocalizedException"
"Product Exception.","Produkt-Ausnahme."
"Localized Exception.","Lokalisierte Ausnahme."
"Are you sure you want to remove this item?","Sind Sie sicher, dass Sie diesen Artikel entfernen möchten?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Wunschliste teilen"
"Add All to Cart","Alles in den Warenkorb"
"Update Wish List","Wunschliste aktualisieren"
"Move to Wishlist","In Wunschliste verschieben"
"Add to Wish List","Zur Wunschliste hinzufügen"
"View Product","Produkt anzeigen"
"Qty","Menge"
"Add to Cart","In den Warenkorb"
"Availability","Verfügbarkeit"
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Edit","Bearbeiten"
"Remove Item","Artikel entfernen"
"Remove item","Artikel entfernen"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"This Wish List has no Items","Diese Wunschliste enthält keine Artikel"
"%1 has been added to your Wish List.","%1 wurde zu Ihrer Wunschliste hinzugefügt."
"Click <a href=""%1"">here</a> to continue shopping.","Klicken Sie <a href=""%1"">hier</a> um weiter einzukaufen."
"See Details","Details anzeigen"
"Options Details","Optionen-Details"
"RSS link to %1's wishlist","RSS-Link zu %1's Wunschliste"
"RSS Feed","RSS-Feed"
"Product","Produkt"
"Back","Zurück"
"Wish List is empty now.","Die Wunschliste ist nun leer."
"* Required Fields","* Pflichtfelder"
"Sharing Information","Verteilungsinformationen"
"Email addresses, separated by commas","E-Mail-Adressen, getrennt durch Komma"
"Check here to link an RSS feed to your Wish List.","Bitte hier prüfen, um einen RSS-link zu Ihrer Wunschliste zu linken."
"Last Added Items","Zuletzt hinzugefügte Produkte"
"Remove This Item","Diesen Artikel entfernen"
"Go to Wish List","Zur Wunschliste"
"You have no items in your wish list.","Sie haben keine Artikel auf Ihrer Wunschliste."
"Take a look at %customer_name's Wish List","Werfen Sie einen Blick auf die Wunschliste von %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name möchte diese Wunschliste von %store_name mit Ihnen teilen:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Alle Produkte der Wunschliste anzeigen"
"Wish List Section","Wunschliste-Abschnitt"
"Share Options","Teilen-Optionen"
"Email Sender","E-Mail-Absender"
"Email Template","E-Mail-Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Max Emails Allowed to be Sent","Maximale Anzahl Mails, die gesendet werden dürfen"
"Email Text Length Limit","Längenbeschränkung für E-Mail-Text"
"General Options","Allgemeine Optionen"
"Enabled","Aktiviert"
"My Wish List Link","Meine Wunschlisten Link"
"Display Wish List Summary","Zusammenfassung der Wunschliste anzeigen"
"Enable RSS","RSS einschalten"
"No Items Found","Keine Einträge gefunden"
"Product Name","Artikelname"
"User Description","Benutzerbeschreibung"
"Quantity","Menge"
"Add Locale","Lokalisierung hinzufügen"
"Add Date","Datum hinzufügen"
"Days in Wish List","Tage in der Wunschliste"
"Action","Aktion"
"Configure","Konfigurieren"
"Delete","Löschen"
"Product Details and Comment","Produktdetails und Kommentar"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 wurde von Ihrer Wunschliste entfernt."
"10 by default. Max - 10000","Standard: 10. Maximum - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","Sie müssen sich einloggen oder registrieren, um Produkte zu Ihrer Wunschliste hinzuzufügen."
"Show in Sidebar","In Seitenleiste anzeigen"
