"Wish List","Lista de Desejos"
"Share Wish List","Compartilhar Lista de Desejos"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Update Wish List","Atualizar Lista de Desejos"
"Move to Wishlist","Mover para Lista de Desejos"
"Add to Wish List","Adicionar à lista de desejos"
"View Product","Visualizar Produto"
"Qty","Qtd"
"Add to Cart","Adicionar ao Carrinho"
"Availability","Disponibilidade"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Edit","Editar"
"Remove Item","Remover Item"
"Remove item","Remover item"
"Add to Compare","Adicionar para Comparar"
"This Wish List has no Items","Lista de Desejos não possui itens"
"%1 has been added to your Wish List.","%1 foi adicionado à sua lista de desejos."
"Click <a href=""%1"">here</a> to continue shopping.","Clique <a href=""%1"">aqui</a> para continuar comprando."
"See Details","Visualizar Detalhes"
"Options Details","Detalhes das Opções"
"RSS link to %1's wishlist","Link RSS para Lista de Desejos de %1"
"RSS Feed","Feed RSS"
"Product","Produto"
"Back","Voltar"
"Wish List is empty now.","Lista de Desejos está vazia agora."
"* Required Fields","* Campos Obrigatórios"
"Sharing Information","Compartilhar Informação"
"Email addresses, separated by commas","Endereços de e-mail, separados por vírgulas"
"Check here to link an RSS feed to your Wish List.","Selecione aqui para vincular um Feed RSS para sua Lista de Desejos."
"Last Added Items","Últimos Itens Adicionados"
"Remove This Item","Remover este Item"
"Go to Wish List","Ir para Lista de Desejos"
"You have no items in your wish list.","Você não tem nenhum item em sua lista de desejos."
"Take a look at %customer_name's Wish List","Veja a lista de desejos de %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name quer compartilhar esta Lista de Desejos de %store_name com você:"
"Message from %customer_name:","Mensagem de %customer_name:"
"View all Wish List items","Veja todos os itens da Lista de Desejos"
"Wish List Section","Seção da Lista de Desejos"
"Share Options","Opções de compartilhamento"
"Email Sender","Remetente do e-mail"
"Email Template","Template de E-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Max Emails Allowed to be Sent","Máximo de e-mails permitidos para ser enviados"
"Email Text Length Limit","Limite de Tamanho de Texto de E-mail"
"General Options","Opções gerais"
"Enabled","Habilitado"
"My Wish List Link","Link da minha lista de desejo"
"Display Wish List Summary","Mostrar Resumo de Lista de Desejos"
"Enable RSS","Habilitar o RSS"
"No Items Found","Nenhum item encontrado"
"Product Name","Nome do produto"
"User Description","Descrição do usuário"
"Quantity","Quantidade"
"Add Locale","Adicionar Local"
"Add Date","Adicionar Data"
"Days in Wish List","Dias na Lista de Desejos"
"Action","Ação"
"Configure","Configurar"
"Delete","Excluir"
"Product Details and Comment","Detalhes de Produto e Comentários"
"Add To Wishlist","Adicionar à Lista de Desejos"
"Are you sure you want to remove this product from your Wish List?","Tem certeza que deseja remover este produto de sua Lista de Desejos?"
"%1 has been removed from your Wish List.","%1 foi removido da sua lista de desejos."
"10 by default. Max - 10000","10 por padrão. Max - 10000"
"255 by default","255 por padrão"
"The Wish List item can't load at this time. Please try again later.","O item da lista de desejos não pôde ser carregada neste momento. Por favor, tente novamente mais tarde."
"The cart item doesn't exist.","O item do carrinho de compras não existe."
"You must login or register to add items to your wishlist.","Você deve logar ou registrar-se para adicionar itens à sua lista de desejos."
"Show in Sidebar","Exibir no painel lateral"
