"Wish List","Listă de Dorințe"
"Are you sure you want to remove this item?","Sunteți sigur că doriţi să ştergeţi acest element?"
"Special Price","Preț special"
"Regular Price","Preț obișnuit"
"Share Wish List","Distribuie Favorite"
"Add All to Cart","Adaugă tot în coș"
"Update Wish List","Actualizare Listă Dorințe"
"Move to Wishlist","Mutare în lista dorinţelor"
"Add to Wish List","Adaugă la Favorite"
"View Product","Vezi Produs"
"Qty","Cantitate"
"Add to Cart","Adaugă în coș"
"Availability","Disponibilitate"
"In stock","În stoc"
"Out of stock","Nu este în stoc"
"Edit","Editare"
"Remove Item","Elimină elementul"
"Remove item","Elimină element"
"Add to Compare","Adaugă la comparație"
"This Wish List has no Items","Această Listă de Dorințe nu are articole"
"%1 has been added to your Wish List.","%1 a fost adăugat la lista ta de dorințe."
"Click <a href=""%1"">here</a> to continue shopping.","Faceți click <a href=""%1"">aici</a> pentru a continua cumpărăturile."
"See Details","Vezi detalii"
"Options Details","Detalii opțiuni"
"RSS link to %1's wishlist","Link RSS la lista de dorințe %1"
"RSS Feed","Feed RSS"
"Product","Produs"
"Back","Înapoi"
"Wish List is empty now.","Lista de dorințe este goală acum."
"* Required Fields","* Câmpuri obligatorii"
"Sharing Information","Schimbul de informații"
"Email addresses, separated by commas","Adrese de e-mail, separate prin virgulă"
"Check here to link an RSS feed to your Wish List.","Verifică aici pentru a conecta un flux RSS la lista ta de dorințe."
"Last Added Items","Ultimele articole adăugate"
"Remove This Item","Elimină acest element"
"Go to Wish List","Mergi la Lista de Dorințe"
"You have no items in your wish list.","Nu aveți articole în lista dvs. de dorințe."
"Take a look at %customer_name's Wish List","Aruncă o privire la lista de dorințe a lui %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name vrea să împartă această Lista de Dorințe de la %store_name cu tine:"
"Message from %customer_name:","Mesaj de la %customer_name:"
"View all Wish List items","Vezi toate articolele din Lista de Favorite"
"Wish List Section","Secțiunea Lista de Dorințe"
"Share Options","Opțiuni de partajare"
"Email Sender","Expeditor e-mail"
"Email Template","Șablon e-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Șablon e-mail ales pe baza temei de rezervă atunci când opțiunea ""Implicit"" este selectată."
"Max Emails Allowed to be Sent","Maxim de e-mailuri permise pentru a fi trimise"
"Email Text Length Limit","Limita Lungime Text Email"
"General Options","Opțiuni generale"
"Enabled","Activat"
"My Wish List Link","Link-ul meu Lista de Dorințe"
"Display Wish List Summary","Afișare sumarul listei de dorințe"
"Enable RSS","Activează RSS"
"No Items Found","Niciun element găsit"
"Product Name","Nume produs"
"User Description","Descriere utilizator"
"Quantity","Cantitate"
"Add Locale","Adaugă local"
"Add Date","Adăugare dată"
"Days in Wish List","Zile în Lista de Dorințe"
"Action","Acțiune"
"Configure","Configurare"
"Delete","Ștergere"
"Product Details and Comment","Detalii produs și comentariu"
"Add To Wishlist","Adaugă la lista dorinţelor"
"Are you sure you want to remove this product from your Wish List?","Sunteți sigur că doriți să eliminați acest produs din lista de dorințe?"
"%1 has been removed from your Wish List.","%1 a fost eliminat din Lista de Dorințe."
"10 by default. Max - 10000","10 în mod implicit. Max - 10000"
"255 by default","255 implicit"
"The Wish List item can't load at this time. Please try again later.","Elementul din Lista de Dorințe nu se poate încărca în acest moment. Vă rugăm să încercați din nou mai târziu."
"The cart item doesn't exist.","Articolul specificat nu există."
"You must login or register to add items to your wishlist.","Trebuie să vă autentificați sau să vă înregistrați pentru a adăuga articole în lista de dorințe."
"Show in Sidebar","Arată în bara laterală"
