"Wish List","Pageidavimų sąrašas"
"Regular Price","Įprasta kaina"
"Share Wish List","Dalintis norų sąrašu"
"Add All to Cart","Viską į krepšelį"
"Update Wish List","Atnaujinti norų sąrašą"
"Move to Wishlist","Pridėti į norų sąrašą"
"Add to Wish List","Į pageidavimų sąrašą"
"View Product","View Product"
"Qty","Kiekis"
"Add to Cart","Į krepšelį"
"Availability","Prieinamumas"
"In stock","Sandėlyje"
"Out of stock","Nėra sandėlyje"
"Edit","Redaguoti"
"Remove Item","Ištrinti"
"Remove item","Ištrinti"
"Add to Compare","Pridėti palyginimui"
"This Wish List has no Items","This Wish List has no Items"
"%1 has been added to your Wish List.","%1 buvo pridėta į jūsų pageidavimų sąrašą."
"Click <a href=""%1"">here</a> to continue shopping.","Spauskite <a href=""%1"">čia</a> norėdami tęsti apsipirkimą."
"See Details","Peržiūrėti detales"
"Options Details","Options Details"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Product","Produktas"
"Back","Grįžti"
"Wish List is empty now.","Wish List is empty now."
"* Required Fields","* Privalomi laukai"
"Sharing Information","Dalinimosi informacija"
"Email addresses, separated by commas","Įvesti kelis el. pašto adresus, atskirkite juos kableliais"
"Check here to link an RSS feed to your Wish List.","Pažymėkite čia norėdami susieti RSS kanalą su savo norų sąrašu."
"Last Added Items","Last Added Items"
"Remove This Item","Pašalinti šią prekę"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","Jūs neturite prekių savo norų sąraše."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","View all Wish List items"
"Wish List Section","Wish List Section"
"Share Options","Share Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","General Options"
"Enabled","Įjungta"
"My Wish List Link","Mano norų sąrašo nuoroda"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Enable RSS"
"No Items Found","No Items Found"
"Product Name","Prekės pavadinimas"
"User Description","User Description"
"Quantity","Kiekis"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Action","Veiksmas"
"Configure","Configure"
"Delete","Ištrinti"
"Product Details and Comment","Product Details and Comment"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","Numatytoji vertė - 10. Daugiausia - 10000"
"255 by default","Numatytoji vertė - 255"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
