"Wish List","Daftar Keinginan"
"Update Wish List","Perbarui Daftar Keinginan"
"Move to Wishlist","Pindahkan ke Daftar keinginan"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"View Product","Lihat Produk"
"Qty","Jumlah"
"Add to Cart","Tambahkan ke Keranjang"
"Availability","Tersedianya"
"In stock","Dalam Persediaan"
"Out of stock","Persediaan Habis"
"Edit","Ubah"
"Remove Item","Hapus Barang"
"Remove item","Hapus barang"
"Add to Compare","Tambahkan untuk Membandingkan"
"This Wish List has no Items","Daftar Keinginan ini tidak memiliki barang"
"%1 has been added to your Wish List.","%1 telah ditambahkan ke Daftar Keinginan anda."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">here</a> untuk melanjutkan belanja."
"See Details","Lihat Rincian"
"Options Details","Rincian Pilihan"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Product","Produk"
"Back","Kembali"
"Wish List is empty now.","Daftar Keinginan kosong sekarang."
"* Required Fields","* Bidang yang harus Diisi"
"Sharing Information","Membagikan Informasi"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Barang yang Terakhir Ditambahkan"
"Remove This Item","Hapus Barang Ini"
"Go to Wish List","Pergi ke Daftar Keinginan"
"You have no items in your wish list.","Anda tidak memiliki barang dalam daftar keinginan anda."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Lihat semua barang Wish List"
"Wish List Section","Wish List Section"
"Share Options","Bagikan Pilihan"
"Email Sender","Pengirim Email"
"Email Template","Template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"Max Emails Allowed to be Sent","Email Maksimal Diizinkan untuk Dikirim"
"Email Text Length Limit","Batas Panjang Teks Email"
"General Options","Pilihan Umum"
"Enabled","Diaktifkan"
"My Wish List Link","Tautan Daftar Keinginan Saya"
"Display Wish List Summary","Tampilkan Ringkasan Daftar Keinginan"
"Enable RSS","Aktifkan RSS"
"No Items Found","Tidak Ditemukan Item"
"Product Name","Nama Produk"
"User Description","Deskripsi Pengguna"
"Quantity","Kuantitas"
"Add Locale","Tambahkan Lokal"
"Add Date","Tambah Tanggal"
"Days in Wish List","Daftar Keinginan Hari ini"
"Action","Tindakan"
"Configure","Konfigurasi"
"Delete","Hapus"
"Product Details and Comment","Detail Produk dan Komentar"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 secara default. maksimal - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","Anda harus masuk atau mendaftar untuk menambahkan barang ke daftar keinginan anda."
"Show in Sidebar","Show in Sidebar"
