"Billing Agreements","Incasso-overeenkomsten"
"Express Checkout","Express Checkout"
"Add PayPal as an additional payment method to your checkout page.","Voeg PayPal toe aan uw kassa pagina als een bijkomende betalingsmethode."
"Required PayPal Settings","Vereiste PayPal-instellingen"
"Email Associated with PayPal Merchant Account (Optional)","E-mailadres gekoppeld aan PayPal Merchant Account (optioneel)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Heeft u geen PayPal account? Voer hier uw E-mailadres in."
"API Authentication Methods","API Authentication Methods"
"API Username","API gebruikersnaam"
"API Password","API wachtwoord"
"Get Credentials from PayPal","Get Credentials from PayPal"
"Sandbox Mode","Sandbox Mode"
"API Uses Proxy","API gebruikt Proxy"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Enable this Solution","Deze oplossing inschakelen"
"Enable In-Context Checkout Experience","In-Context afhandeling inschakelen"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Zie PayPal Feature Support-gegevens en een lijst met ondersteunde regio's
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">hier</a>."
"Merchant Account ID","Merchant Account-ID"
"Enable PayPal Credit","PayPal Credit inschakelen"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","Met PayPal Express Checkout geeft u klanten toegang tot financiering via PayPal Credit&#174; - zonder extra kosten voor u.
                         U krijgt van tevoren betaald, ook al hebben klanten meer tijd om te betalen. Met een vooraf geïntegreerde betaalknop kunnen klanten snel betalen met PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Meer informatie</a>"
"Sort Order PayPal Credit","Sorteervolgorde PayPal Krediet"
"Advertise PayPal Credit","Adverteer PayPal krediet"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> Waarom adverteren voor financiering? </a> <br/>
                         <strong> Geef uw verkopen een boost wanneer u adverteert voor financiering. </strong> <br/> PayPal helpt browsers kopers te maken met financiering
                         van PayPal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooraf betaald krijgt - zonder extra kosten voor u.
                         Gebruik de gratis banneradvertenties van PayPal waarmee u kunt adverteren voor PayPal Credit&#174;-financiering als betalingsoptie wanneer uw klanten uitchecken met PayPal.
                         Het PayPal-advertentieprogramma heeft aangetoond extra aankopen te genereren en de gemiddelde aankoopomvang van consumenten met 15% te verhogen
                         of meer. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Details bekijken </a>."
"Publisher ID","Uitgever-ID"
"Required to display a banner","Noodzakelijk voor weergave van een banner"
"Get Publisher ID from PayPal","Uitgever-ID ophalen van PayPal"
"Home Page","Home pagina"
"Display","Weergave"
"Position","Positie"
"Size","Grootte"
"Catalog Category Page","Catalogus Categorie-pagina"
"Catalog Product Page","Catalogus productpagina"
"Checkout Cart Page","Winkelwagen-afreken pagina"
"Basic Settings - PayPal Express Checkout","Basisinstellingen - PayPal Express Checkout"
"Title","Titel"
"It is recommended to set this value to ""PayPal"" per store views.","Wij raden aan om deze waarde op ""PayPal"" in te stellen per winkelaanzicht."
"Sort Order","Sorteervolgorde"
"Payment Action","Betaling"
"Display on Product Details Page","Weergave op Product Details pagina"
"Authorization Honor Period (days)","Authorization Honor Period (days)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"Order Valid Period (days)","Order Valid Period (days)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"Number of Child Authorizations","Number of Child Authorizations"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase."
"Advanced Settings","Geavanceerde Instellingen"
"Display on Shopping Cart","Weergave in winkelwagen"
"Also affects mini-shopping cart.","Ook van invloed op de mini-winkelwagen."
"Payment Applicable From","Payment Applicable From"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Debug Mode","Debugmodus"
"Enable SSL verification","SSL-verificatie inschakelen"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Transfer Shipping Opties"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Indien deze optie aan staat kan de klant zijn verzendadres en verzendmethode aanpassen op de PayPal website. Dit werkt enkel via het HTTPS protocol."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available."
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Enable PayPal Guest Checkout","Enable PayPal Guest Checkout"
"Ability for buyer to purchase without PayPal account.","Koper kan zonder een PayPal account ook afrekenen (PayPal account is niet verplicht)"
"Require Customer's Billing Address","Vereist factuuradres van de klant"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Deze functionaliteit moet eerst ingeschakeld zijn bij het merchant account. Dit kan gedaan worden via PayPal's technische support."
"Billing Agreement Signup","Aanmelden Incasso-overeenkomsten"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Verkopers moeten zich inschrijven bij PayPal om incasso-overeenkomsten te kunnen gebruiken. Schakel deze optie niet in tot dat PayPal heeft bevestigd dat incasso-overeenkomsten zijn ingeschakeld voor uw account."
"Skip Order Review Step","Order-controle stap overslaan"
"PayPal Billing Agreement Settings","PayPal Incasso-Overeenkomst instellingen"
"Enabled","Ingeschakeld"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Wordt weergegeven als een betalingsoptie, enkel voor klanten die beschikken over minstens één actieve incasso-overeenkomst."
"Allow in Billing Agreement Wizard","Toestaan in incasso-overeenkomsten-wizard"
"Settlement Report Settings","Settlement Report Settings"
"SFTP Credentials","SFTP Credentials"
"Login","Log in"
"Password","Wachtwoord"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"By default it is ""reports.paypal.com"".","By default it is ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Use colon to specify port. For example: ""test.example.com:5224""."
"Custom Path","Custom Path"
"Scheduled Fetching","Scheduled Fetching"
"Enable Automatic Fetching","Enable Automatic Fetching"
"Schedule","Rooster"
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"Time of Day","Time of Day"
"Frontend Experience Settings","Frontend Experience Settings"
"PayPal Product Logo","PayPal Product Logo"
"Displays on catalog pages and homepage.","Displays on catalog pages and homepage."
"PayPal Merchant Pages Style","PayPal Merchant Pages Style"
"Page Style","Paginastijl"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Toegestane waarden: 'paypal', 'primary' (standaard), your_custom_value (een aangepaste betalingspaginastijl uit uw verkopersaccountprofiel)."
"Header Image URL","Header Image URL"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","De afbeelding linksboven op de afreken pagina. Maximale grootte is 750x90 pixels. <strong style=""color:red"">https</strong> wordt sterk aangeraden."
"Header Background Color","Header Background Color"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","De achtergrondkleur voor de header op de afreken pagina. Niet hoofdlettergevoelig, 6 karakters tellende hexadecimale HTML kleurencode in ASCII."
"Header Border Color","Header Border Color"
"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"Page Background Color","Pagina-achtergrondkleur"
"The background color for the checkout page around the header and payment form.","De achtergrondkleur voor de afreken pagina rond de header en het betaalformulier."
"Payments Advanced","Betalingen geavanceerd"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accepteer betalingen met een PCI-compliant afrekenproces dat klanten op uw website houdt. (<u>Inclusief Express Checkout</u>)"
"Payments Advanced and Express Checkout","Geavanceerde betalingen en Express Checkout"
"Partner","Partner"
"Vendor","Verkoper"
"User","Gebruiker"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal raadt aan dat u een extra gebruiker instelt op uw account op manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal raadt aan dat u een extra gebruiker instelt op uw account op manager.paypal.com, in plaats van uw admin gebruikersnaam en wachtwoord hier in te geven. Dit zal uw veiligheid vergroten en voorkomt onderbrekingen van de dienst als u uw wachtwoord later wilt wijzigen. Als u geen extra gebruiker wilt instellen, kunt u opnieuw uw handelaars Login hier invoeren."
"Test Mode","Test Modus"
"Use Proxy","Proxy Gebruiken"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> Waarom adverteren voor financiering? </a> <br/>
<strong> Geef uw verkopen een boost wanneer u adverteert voor financiering. </strong> <br/> PayPal helpt browsers kopers te maken met financiering
van PayPal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooraf betaald krijgt - zonder extra kosten voor u.
Gebruik de gratis banneradvertenties van PayPal waarmee u kunt adverteren voor PayPal Credit&#174;-financiering als betalingsoptie wanneer uw klanten uitchecken met PayPal.
Het PayPal-advertentieprogramma heeft aangetoond extra aankopen te genereren en de gemiddelde aankoopomvang van consumenten met 15% te verhogen
of meer. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Details bekijken </a>."
"Basic Settings - PayPal Payments Advanced","Basisinstellingen - Geavanceerde PayPal betalingen"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Wij raden aan om deze waarde op ""Debit or Credit Card"" in te stellen per winkelaanzicht."
"CVV Entry is Editable","CVV vermelding is bewerkbaar"
"Require CVV Entry","Require CVV Entry"
"Send Email Confirmation","Verzenden van e-mailbevestiging"
"URL method for Cancel URL and Return URL","URL methode voor annuleer-URL en retour-URL"
"Payflow Link","Payflow Link"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Koppel uw merchant account met een PCI-compliant gateway waardoor klanten kunnen betalen zonder uw site te verlaten. (<u>Inclusief Express Checkout</u>)"
"Payflow Link and Express Checkout","Payflow Link en Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Als u nog geen meerdere gebruikers heeft ingesteld op uw account, voer dan opnieuw uw leverancier/merchant login hier in."
"Enable Payflow Link","Payflow Link inschakelen"
"Enable Express Checkout","Express Checkout inschakelen"
"Basic Settings - PayPal Payflow Link","Basisinstellingen - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accepteer betalingen met een PCI-compliant checkout welke bezoekers op uw site houdt. (<u>Inclusief Express Checkout</u>)"
"Payments Pro Hosted Solution","Gehoste Betalingen Pro oplossing"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> Waarom adverteren voor financiering? </a> <br/>
<strong> Geef uw verkopen een boost wanneer u adverteert voor financiering. </strong> <br/> PayPal helpt browsers kopers te maken met financiering
van PayPal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooraf betaald krijgt - zonder extra kosten voor u.
Gebruik de gratis banneradvertenties van PayPal waarmee u kunt adverteren voor PayPal Credit&#174;-financiering als betalingsoptie wanneer uw klanten uitchecken met PayPal.
Het PayPal-advertentieprogramma heeft aangetoond extra aankopen te genereren en de gemiddelde aankoopomvang van consumenten met 15% te verhogen
of meer. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Details bekijken </a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Basisinstellingen - Gehoste PayPal Payments Pro oplossing"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Website Payments Pro Hosted Solution and Express Checkout","Hosted Website Payments Pro en Express kassa"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Basisinstellingen - gehoste PayPal Website Payments Pro oplossing"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Verbind uw merchant-account met een volledig aanpasbaar afrekenproces dat klanten laat afrekenen zonder uw website te verlaten (<u>Inclusief Express Checkout</u>)"
"Vault Enabled","Kluis ingeschakeld"
"Basic Settings - PayPal Payflow Pro","Basisinstellingen - PayPal Payflow Pro"
"Vault Title","Titel Kluis"
"Credit Card Settings","Credit Card Settings"
"Allowed Credit Card Types","Toegestane kredietkaart types"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Ondersteuning van American Express kaarten vereist aanvullende overeenkomst. Meer informatie op <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","CVV en AVS instellingen"
"Reject Transaction if:","Transactie afwijzen als:"
"AVS Street Does Not Match","AVS straat komt niet overeen"
"AVS Zip Does Not Match","AVS Postcode komt niet overeen"
"Card Issuer Is Outside The United States","Creditcardmaatschappij Is buiten de Verenigde Staten"
"Card Security Code Does Not Match","Card Security Code komt niet overeen"
"Payflow Pro and Express Checkout","Payflow Pro en Express Checkout"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> Waarom adverteren voor financiering? </a> <br/>
<strong> Geef uw verkopen een boost wanneer u adverteert voor financiering. </strong> <br/> PayPal helpt browsers kopers te maken met financiering
van PayPal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooraf betaald krijgt - zonder extra kosten voor u.
Gebruik de gratis banneradvertenties van PayPal waarmee u kunt adverteren voor PayPal Credit&#174;-financiering als betalingsoptie wanneer uw klanten uitchecken met PayPal.
Het PayPal-advertentieprogramma heeft aangetoond extra aankopen te genereren en de gemiddelde aankoopomvang van consumenten met 15% te verhogen
of meer. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Details bekijken </a>."
"We can't contact the PayPal gateway.","We kunnen niet verbinden met de PayPal gateway."
"The ordering amount of %1 is pending approval on the payment gateway.","De besteld aantal van %1 wacht op goedkeuring van de betaal gateway."
"Ordered amount of %1","Besteld totaal van %1"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Yes. Matched Address and five-didgit ZIP","Ja. Overeenkomend adres en vijf-cijferige postcode"
"Invalid method %1::%2(%3)","Ongeldige methode %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Om de PayPal Payements Advanced te gebruiken moet u deze configureren op de PayPal website."
"PayPal Payment Gateways","PayPal betalingsgateways"
"1","één"
"PayPal Payment Solutions","PayPal-betaaloplossingen"
"Email Associated with PayPal Merchant Account","E-mail gekoppeld aan PayPal Merchant Account"
"Sandbox Credentials","Sandbox Credentials"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Wij raden aan om deze waarde in te stellen op ""Magento_Paypal"" voor elk Winkelaanzicht."
"Payments Advanced (Includes Express Checkout)","Geavanceerde betalingen (inclusief Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accepteer betalingen met een PCI-compatibele checkout die klanten op uw site houdt."
"Payflow Link (Includes Express Checkout)","Payflow Link (inclusief Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Koppel uw merchant account met een compatibele PCI gatewway waardoor klanten kunnen betalen zonder uw site te verlaten."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accepteer betalingen met een PCI compatibele checkout die klanten op uw site houdt."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Sluit uw merchant account op een volledig aanpasbare gateway aan, waarmee uw klanten betalen zonder uw site te verlaten."
"International AVS Indicator Does Not Match","Internationale AVS Indicator komt niet overeen"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (inclusief Express Checkout)"
"Save for later use.","Opslaan voor later gebruik."
"Payments Standard","Payments Standard"
"Accept credit card and PayPal payments securely.","Accepteer credit cards en PayPal-betalingen veilig."
"Basic Settings - PayPal Website Payments Standard","Basisinstellingen - Standaard PayPal Website betalingen"
"Website Payments Standard","Website Payments Standard"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","De bestelling is niet geplaatst. Ga eerst akkoord met de algemene voorwaarden, probeer dan opnieuw uw bestelling te plaatsen."
"The payment couldn't be processed at this time. Please try again later.","De betaling kan op dit moment niet worden verwerkt. Probeer het later opnieuw."
"The verification transaction can't be voided. ","De verificatietransactie kan niet ongeldig worden verklaard. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","Met PayPal Express Checkout geeft u klanten toegang tot financiering via PayPal Credit&#174; - zonder extra kosten voor u.
                         U krijgt van tevoren betaald, ook al hebben klanten meer tijd om te betalen. Met een vooraf geïntegreerde betaalknop kunnen klanten snel betalen met PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Meer informatie</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> Waarom adverteren voor financiering? </a> <br/>
                         <strong> Geef uw verkopen een boost wanneer u adverteert voor financiering. </strong> <br/> PayPal helpt browsers kopers te maken met financiering
                         van PayPal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooraf betaald krijgt - zonder extra kosten voor u.
                         Gebruik de gratis banneradvertenties van PayPal waarmee u kunt adverteren voor PayPal Credit&#174;-financiering als betalingsoptie wanneer uw klanten uitchecken met PayPal.
                         Het PayPal-advertentieprogramma heeft aangetoond extra aankopen te genereren en de gemiddelde aankoopomvang van consumenten met 15% te verhogen
                         of meer. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Details bekijken </a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> Waarom adverteren voor financiering? </a> <br/>
<strong> Geef uw verkopen een boost wanneer u adverteert voor financiering. </strong> <br/> PayPal helpt browsers kopers te maken met financiering
van PayPal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooraf betaald krijgt - zonder extra kosten voor u.
Gebruik de gratis banneradvertenties van PayPal waarmee u kunt adverteren voor PayPal Credit&#174;-financiering als betalingsoptie wanneer uw klanten uitchecken met PayPal.
Het PayPal-advertentieprogramma heeft aangetoond extra aankopen te genereren en de gemiddelde aankoopomvang van consumenten met 15% te verhogen
of meer. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Details bekijken </a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> Waarom adverteren voor financiering? </a> <br/>
<strong> Geef uw verkopen een boost wanneer u adverteert voor financiering. </strong> <br/> PayPal helpt browsers kopers te maken met financiering
van PayPal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooraf betaald krijgt - zonder extra kosten voor u.
Gebruik de gratis banneradvertenties van PayPal waarmee u kunt adverteren voor PayPal Credit&#174;-financiering als betalingsoptie wanneer uw klanten uitchecken met PayPal.
Het PayPal-advertentieprogramma heeft aangetoond extra aankopen te genereren en de gemiddelde aankoopomvang van consumenten met 15% te verhogen
of meer. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Details bekijken </a>."
"Vault enabled","Kluis ingeschakeld"
"Gold","Gold"
"Blue","Blue"
"Silver","Silver"
"Black","Black"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Pill","Pill"
"Rectangle","Rectangle"
"Medium","Gemiddeld"
"Large","Groot"
"Responsive","Responsive"
"Checkout","Afrekenen"
"Pay","Pay"
"Buy Now","Buy Now"
"PayPal","PayPal"
"Installment","Installment"
"PayPal Credit","PayPal Credit"
"PayPal Guest Checkout Credit Card Icons","PayPal Guest Checkout Credit Card Icons"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - German ELV"
"Something went wrong with your request. Please try again later.","Er ging iets mis met uw verzoek. Probeer het later opnieuw."
"Customize Smart Buttons","Customize Smart Buttons"
"Checkout Page","Checkout Page"
"Customize Button","Customize Button"
"Label","label"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR."
"Mexico Installment Period","Mexico Installment Period"
"Brazil Installment Period","Brazil Installment Period"
"Layout","Lay-out"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Select Responsive to ensure the PayPal button renders correctly on mobile devices."
"Shape","Vorm"
"Color","Kleur"
"Product Pages","Productpagina"
"Cart Page","Pagina winkelwagen"
"Mini Cart","Mini winkelwagentje"
"Features","Eigenschappen"
"Disable Funding Options","Opties voor financiering uitschakelen"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPal zal automatisch elke optie voor het beschikbaar stellen van de financiering aan de in aanmerking komende kopers weergeven.
                                Bijvoorbeeld, PayPal Credit wordt alleen getoond aan de kopers in landen waar PayPal Credit
                                is aangeboden en de valuta die de handelaar aanbiedt is USD."
