"Shopping Cart","शॉपिंग कार्ट"
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping information was unable to be saved. Error: ""%message""","The shipping information was unable to be saved. Error: ""%message"""
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
" item"," आइटम"
" items"," आइटम्स"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","अमान्य डेटा"
"The customer address is not valid.","The customer address is not valid."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Load customer quote error","Load customer quote error"
"Invalid method: %1","Invalid method: %1"
"Error!","Error!"
"Error","Error"
"DB exception","DB exception"
"Message","संदेश "
"Print receipt","Print receipt"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Shopping Cart Items","Shopping Cart Items"
"Item","आइटम"
"Price","मूल्य"
"Qty","मात्रा"
"Subtotal","Subtotal"
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","शॉपिंग कार्ट साफ़ करें|"
"Update Shopping Cart","खरीदारी की टोकरी अपडेट करें"
"Update Cart","शॉपिंग कार्ट अपडेट करें|"
"See price before order confirmation.","See price before order confirmation."
"What's this?","यह क्या है?"
"Edit item parameters","Edit item parameters"
"Edit","संपादित करें"
"Remove item","आइटम हटाएँ"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Estimate Tax","Estimate Tax"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","Excl. Tax"
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Loading...","लोड हो रहा है..."
"Order #","ऑर्डर #"
"Proceed to Checkout","चेकआउट के लिए आगे बढ़ें"
"Product Name","उत्पाद का नाम"
"Incl. Tax","Incl. Tax"
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Payment Transaction Failed Reminder","Payment Transaction Failed Reminder"
"Payment Transaction Failed","Payment Transaction Failed"
"Reason","कारण "
"Checkout Type","Checkout Type"
"Customer:","ग्राहक:"
"Items","आइटम्स"
"Total:","कुल:"
"Billing Address:","Billing Address:"
"Shipping Address:","शिपिंग पता:"
"Shipping Method:","शिपिंग का तरीका"
"Payment Method:","भुगतान का तरीका:"
"Date & Time:","Date & Time:"
"Sign In","साइन इन करें"
"Email Address","ईमेल पता"
"Password","पासवर्ड"
"Forgot Your Password?","अपना पासवर्ड भूल गए?"
"or","or"
"* Required Fields","* Required Fields"
"My billing and shipping address are the same","My billing and shipping address are the same"
"Update","अपडेट करें"
"Cancel","रद्द करें"
"Save in address book","पता पुस्तिका में सहेजें"
"Billing Address","Billing Address"
"Enter your billing address to get a tax estimate.","Enter your billing address to get a tax estimate."
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Total","Total"
"Estimated Total","Estimated Total"
"You can create an account after checkout.","You can create an account after checkout."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"Login","लॉग इन"
"Close","बंद करें"
"of","of"
"Items in Cart","Items in Cart"
"Item in Cart","Item in Cart"
"Recently added item(s)","Recently added item(s)"
"View and Edit Cart","View and Edit Cart"
"See Details","विवरण पढ़ें"
"Options Details","Options Details"
"Remove","निकालें"
"Edit item","Edit item"
"Cart Subtotal","Cart Subtotal"
"No Payment Methods","No Payment Methods"
"Payment Information","भुगतान की जानकारी"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","You can track your order status by creating an account."
"Create an Account","Create an Account"
"Place Order","स्थान क्रम"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Ship Here","Ship Here"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Ship To:","Ship To:"
"edit","संपादित करें"
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Next","Next"
"Order Summary","Order Summary"
"View Details","View Details"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","यदि आपको लगता है कि यह सही है एक तुम इस नोटिस की अनदेखी कर सकते हैं ।"
"Field ","Field "
" is required."," is required."
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping cart?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Review & Payments"
"Select a new payment method","Select a new payment method"
"Shipping","Shipping"
"Save Address","Save Address"
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
"Checkout Options","Checkout Options"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Allow Guest Checkout"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Number of Items to Display Pager","Number of Items to Display Pager"
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Enable Clear Shopping Cart","Enable Clear Shopping Cart"
"My Cart Link","My Cart Link"
"Display Cart Summary","Display Cart Summary"
"Mini Cart","Mini Cart"
"Display Mini Cart","Display Mini Cart"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separate by "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Summary"
"Order Total","Order Total"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Payment","Payment"
"Not yet calculated","Not yet calculated"
"The order was not successful!","The order was not successful!"
"Thank you for your purchase!","Thank you for your purchase!"
