"Reward Points","Баллы вознаграждения"
"You don't have enough reward points to pay for this purchase.","You don't have enough reward points to pay for this purchase."
"Points to Currency","Баллы в валюту"
"Currency to Points","Валюту в баллы"
"All Customer Groups","Все группы клиента"
"Static","Статический"
"Dynamic","Динамический"
"Each","Каждый"
"First","Первый"
"All Websites","Все веб-сайты"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance""."
"Customer earned promotion extra %1.","Customer earned promotion extra %1."
"The customer earned %1 for this order.","The customer earned %1 for this order."
"Reward Points Balance","Баланс бонусных баллов"
"upper boundary","upper boundary"
"Refund Reward Points","Refund Reward Points"
"Reward Points refunded to customer","Reward Points refunded to customer"
"Remove","Удалить"
"Back","Назад"
"Balance History","История баланса"
"Amount","Количество"
"Points","Баллы"
"Reason","Причина"
"Date","Дата"
"Expires on %1","Истекает на %1"
"There is no balance history.","There is no balance history."
"Reward points balance Information","Reward points balance Information"
"Your balance is %1.","Ваш баланс: %1."
"Current exchange rates:","Current exchange rates:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 spent = %2 earned"
"None","Нет"
"Balance limit is %1.","Balance limit is %1."
"Maximum balance is reached","Maximum balance is reached"
"Minimum Balance in order to redeem: %1.","Minimum Balance in order to redeem: %1."
"You need a higher balance to use your rewards points.","You need a higher balance to use your rewards points."
"Each earned reward points award expires in %1 days.","Each earned reward points award expires in %1 days."
"Refer to reward points history to see when a specific record expires.","Refer to reward points history to see when a specific record expires."
"Email Notification Settings","Настройки уведомлений по электронной почте"
"Save Subscription Settings","Сохранить настройки подписки"
"Reward Points Balance Updated at %store_name","Reward Points Balance Updated at %store_name"
"%name,","%name,"
"You have %points_balance points that may be used in our store:","You have %points_balance points that may be used in our store:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications."
"Reward Points Expiry Warning at %store_name","Reward Points Expiry Warning at %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","There are %remaining_days day(s) remaining to use %points_expiring of your reward points."
"After %remaining_days day(s) these points will expire.","After %remaining_days day(s) these points will expire."
"You have a total of %points_balance points that may be used in our store:","You have a total of %points_balance points that may be used in our store:"
"Reward points","Бонусные баллы"
"Use reward points","Использовать бонусные баллы"
"Your reward point was successfully applied","Your reward point was successfully applied"
"Manage Reward Points Balances","Manage Reward Points Balances"
"Can Spend Reward Points","Can Spend Reward Points"
"Enable Reward Points Functionality","Enable Reward Points Functionality"
"Enable Reward Points Functionality on Storefront","Enable Reward Points Functionality on Storefront"
"Customers May See Reward Points History","Customers May See Reward Points History"
"Rewards Points Balance Redemption Threshold","Rewards Points Balance Redemption Threshold"
"An empty value disables this limitation.","An empty value disables this limitation."
"Cap Reward Points Balance At","Cap Reward Points Balance At"
"Reward Points Expire in (days)","Reward Points Expire in (days)"
"Reward Points Expiry Calculation","Reward Points Expiry Calculation"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry."
"Refund Reward Points Automatically","Refund Reward Points Automatically"
"Deduct Reward Points from Refund Amount Automatically","Deduct Reward Points from Refund Amount Automatically"
"Landing Page","Стартовая страница"
"Actions for Acquiring Reward Points by Customers","Actions for Acquiring Reward Points by Customers"
"Purchase","Купить"
"Added for spent money according to reward exchange rates.","Added for spent money according to reward exchange rates."
"Registration","Регистрация"
"Newsletter Signup","Newsletter Signup"
"Only for customers who subscribe for the first time.","Only for customers who subscribe for the first time."
"Converting Invitation to Customer","Converting Invitation to Customer"
"Invitation to Customer Conversions Quantity Limit","Invitation to Customer Conversions Quantity Limit"
"Converting Invitation to Order","Converting Invitation to Order"
"Invitation to Order Conversions Quantity Limit","Invitation to Order Conversions Quantity Limit"
"Invitation Conversion to Order Reward","Invitation Conversion to Order Reward"
"Review Submission","Review Submission"
"After approval by administrator.","After approval by administrator."
"Rewarded Reviews Submission Quantity Limit","Rewarded Reviews Submission Quantity Limit"
"Email Sender","Отправитель электронной почты"
"Subscribe Customers by Default","Subscribe Customers by Default"
"Balance Update Email","Balance Update Email"
"Reward Points Expiry Warning Email","Reward Points Expiry Warning Email"
"Expiry Warning Before (days)","Expiry Warning Before (days)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Entering no value or a value greater than the expiration lifetime disables the warning notification."
"Reward Points Rates","Бонусные баллы"
"Amount Balance","Amount Balance"
"Created","Создан"
"Expires","Истекает"
"ID","Идентификатор"
"Add Reward Points","Add Reward Points"
"Check out now and earn %1 for this order.","Check out now and earn %1 for this order."
"Create an account on our site now and earn %1.","Create an account on our site now and earn %1."
"Subscribe to our newsletter now and earn %1.","Subscribe to our newsletter now and earn %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Submit a review now and earn %1 after the review is approved."
"You can reward up to %1 new reviews(s).","You can reward up to %1 new reviews(s)."
"Reward points should be a valid integer number.","Reward points should be a valid integer number."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Send this invitation now and earn %1 when your invitee signs up on our site."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance""."
