"Search Term","البحث في المصطلحات"
"This synonym group no longer exists.","هذه المرادفات للمجموعة لم تعد موجودة."
"You saved the synonym group.","تم حفظ مرادفات المجموعة."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"You deleted the search.","لقد حذفت البحث."
"We can't find a search term to delete.","لم نجد مصطلح بحث لحذفه."
"This search no longer exists.","هذا البحث لم يعد موجوداً."
"Edit Search","اضافة بحث"
"Please select searches.","Please select searches."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Reports","تقارير"
"Search Terms Report","تقرير عبارات البحث"
"You saved the search term.","You saved the search term."
"Something went wrong while saving the search query.","حدث خطأ أثناء حفظ استعلام البحث."
"You already have an identical search term query.","لديك مسبقاً استعلام مصطلح بحث متطابق."
"Your search query can't be longer than %1, so we shortened your query.","استعلام البحث الخاص بك لا يمكن أن يكون أطول من %1، قمنا بتقصير الاستعلام."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Merge conflict with existing synonym group(s): %1"
"All Websites","جميع المواقع"
"    All Store Views","    All Store Views"
"All Store Views","واجهه جميع المواقع"
"Delete","احذف"
"Are you sure you want to delete synonym group with id: %1?","Are you sure you want to delete synonym group with id: %1?"
"View/Edit","عرض/تعديل"
"Search entire store here...","ابحث فى المتجر بالكامل هنا..."
"There are no search terms available.","لا يوجد كلمات بحث متاحة الان."
"Search Engine","محرك بحث"
"CSV","CSV ملف"
"Excel XML","Excel XML"
"ID","التعريف"
"Hits","عدد القراء"
"Are you sure?","هل أنت متأكد؟"
"Suggested Terms","الاختصاصات المقترحة"
"yes","yes"
"no","no"
"Action","إجراء"
"Edit","تعديل"
"You can adjust the scope of this synonym group by selecting an option from the list.","يمكنك ضبط نطاق مرادفات هذه المجموعة بتحديد الخيار من القائمة."
"Scope","مدى"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”"
"Synonyms","مرادفات"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","تلقائياً يتم دمج المرادفات في المجموعات التي تشترك في نفس النطاق. يمكنك تحديد هذا المربع ويمكنك بإضافة واحد أو أكثر من الشروط نفسها إلى مرادفات مجموعات مختلفة في نفس النطاق، يدمج تلقائياً جميع المصطلحات إلى مجموعة واحدة. إذا لم يكن هذا ما تريد، قم بإلغاء تحديد المربع وسيتم عرض الخطأ عند محاولة إضافة نفس الشروط."
"Store View","عرض المتجر"
"Website","الموقع"
"Are you sure you want to delete the selected synonym groups?","هل أنت متأكد من أنك تريد حذف مرادفات المجموعات المحددة؟"
"Delete items","حذف عناصر"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
