"Search Term","תנאי חיפוש"
"Something went wrong while saving the search query.","ארעה תקלה בעת שמירת שאילתת החיפוש."
"You already have an identical search term query.","שאילתת חיפוש עם ביטוי זהה כבר קיימת."
"Your search query can't be longer than %1, so we shortened your query.","שאילתת החיפוש שלך לא יכולה להיות ארוכה יותר מ- %1, לכן נאלצנו לקצרה."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","מיזוג כפילויות עם קבוצת הביטויים הנרדפים: %1"
"All Websites","כל האתרים"
"    All Store Views","    כל תצוגות החנות"
"All Store Views","כל תצוגות החנויות"
"Delete","מחק"
"Are you sure you want to delete synonym group with id: %1?","האם ברצונך למחוק את קבוצת הביטויים הנרדפים בעלת המזהה %1?"
"View/Edit","הצגה/עריכה"
"Search entire store here...","חיפוש בכל החנות..."
"There are no search terms available.","אין ביטויי חיפוש."
"Search Engine","מנוע חיפוש"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","מזהה"
"Hits","כניסות"
"Are you sure?","האם אתה בטוח?"
"Suggested Terms","ערכים מוצעים"
"yes","yes"
"no","no"
"Action","פעולה"
"Edit","ערוך"
"You can adjust the scope of this synonym group by selecting an option from the list.","ניתן לשנות את טווח קבוצת ביטויים נרדפים זו על-ידי בחירת אפשרויות מהרשימה."
"Scope","טווח"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","רשימה מופרדת באמצעות פסיק של ביטויים נרדפים. כל אחד מהערכים שהוכנסו (מופרדים בפסיקים) ישמשו בחיפוש בכל החנות. לדוגמה, אם יוזן ""נעליים, הנעלה"", משתמש שיחפש ""נעליים"", יקבל בתוצאות החיפוש כל מוצר או תוכן המכילים את הביטויים ""נעליים"" או ""הנעלה""."
"Synonyms","ביטויים נרדפים"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","מיזוג אוטומאטי של ביטויים נרדפים בקבוצות בעלות טווח זהה. אם האפשרות מסומנת, וקיימים ערכים זהים בקבוצות שונות באותו טווח, הערכים ימוזגו אל קבוצה אחת. כדי להמנע ממיזוג יש להסיר את הסימון מהאפשרות. במקרה כזה תוצג הודעת שגיאה במקרה של ערך שקיים זה מכבר."
"Store View","תצוגת חנות"
"Website","אתר"
"Are you sure you want to delete the selected synonym groups?","האם ברצונך למחוק את קבוצת הביטויים הנרדפים שנבחרה?"
"Delete items","מחיקת פריטים"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
