"Search Term","Όρος Αναζήτησης"
"Your search query can't be longer than %1, so we shortened your query.","Το ερώτημα αναζήτησής σας δεν μπορεί να είναι μεγαλύτερο από %1, οπότε εμείς μειώσαμε το ερώτημά σας."
"Synonym group with id %1 cannot be deleted. %2","Ομάδα συνώνυμου με id %1 δεν μπορεί να διαγραφεί. %2"
"Merge conflict with existing synonym group(s): %1","Διένεξη συγχώνευσης με υπάρχουσες ομάδες συνώνυμου: %1"
"All Websites","Όλες οι Ιστοσελίδες"
"    All Store Views","    Όλες οι Προβολές Καταστήματος"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"Delete","Διαγραφή"
"Are you sure you want to delete synonym group with id: %1?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την ομάδα συνώνυμου με id: %1;"
"View/Edit","Προβολή/Επεξεργασία"
"Search entire store here...","Αναζήτηση σε όλο το κατάστημα..."
"There are no search terms available.","Δεν υπάρχει καμία αναζήτηση όρων διαθέσιμη."
"Search Engine","Μηχανή αναζήτησης"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Hits","Επιτυχίες"
"Are you sure?","Είστε σίγουροι;"
"Suggested Terms","Προτεινόμενοι Όροι"
"yes","Ναι"
"no","Όχι"
"Action","Ενέργεια"
"Edit","Επεξεργασία"
"You can adjust the scope of this synonym group by selecting an option from the list.","Μπορείτε να προσαρμόσετε το πεδίο εφαρμογής αυτής της ομάδας συνώνυμου, κάνοντας μια επιλογή από τη λίστα."
"Scope","Πεδίο εφαρμογής"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Διαχωρισμένη λίστα συνώνυμων με κόμμα. Οι όροι που τέθηκαν (διαχωρισμένα με κόμματα) θα χρησιμοποιηθούν ως ερώτημα αναζήτησης ""Ή"" για την αναζήτηση σε ολόκληρο το κατάστημά σας. Για παράδειγμα, εάν εισαγάγετε «παπούτσια, υποδήματα» και ο χρήστης ήταν να αναζητήσει ""παπούτσια"", τα αποτελέσματα της αναζήτησης θα περιλαμβάνει οποιοδήποτε προϊόν ή περιεχόμενο με τον όρο ""παπούτσια"" ή ""υποδήματα"""
"Synonyms","Συνώνυμα"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Αυτόματα συγχωνεύει συνώνυμα σε ομάδες που μοιράζονται το ίδιο πεδίο εφαρμογής. Αν επιλέξετε αυτό το πλαίσιο και προσθέσετε έναν ή περισσότερους από τους ίδιους όρους σε ομάδες διαφορετικών συνώνυμων στο ίδιο πεδίο εφαρμογής, συγχωνεύει αυτόματα όλους τους όρους σε μία ομάδα. Εάν αυτό δεν είναι ό, τι θέλετε, αποεπιλέξτε το πλαίσιο και θα εμφανίζει ένα σφάλμα, εάν προσπαθήσετε να προσθέσετε τους ίδιους όρους."
"Store View","Προβολή Καταστήματος"
"Website","Ιστοσελίδα"
"Are you sure you want to delete the selected synonym groups?","Είστε βέβαιοι ότι θέλετε να διαγράψετε τις επιλεγμένες ομάδες συνώνυμου;"
"Delete items","Διαγραφή αντικειμένων"
"Synonym For","Συνώνυμο Για"
"Will make search for the query above return results for this search","Θα κάνει την αναζήτηση για το επάνω ερώτημα από να επιστρέψει αποτελέσματα για αυτήν την αναζήτηση"
"Synonym","Συνώνυμο"
"Merge existing synonyms","Συγχώνευση υπάρχοντων συνώνυμων"
"The synonym group with the ""%1"" ID can't be deleted. %2","Η Ομάδα συνώνυμου με ID %1 δεν μπορεί να διαγραφεί. %2"
