"Search Term","Suchbegriff"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Kommaseparierte Liste von Synonymen. Die eingegebenen Begriffe (getrennt durch Kommata) werden als ein ""ODER"" Suchanfrage verwendet um Ihren gesamten Shop zu durchsuchen. Wenn Sie beispielsweise ""Schuhe,Schuhwerk"" eingeben und Benutzer nach ""Schuhe"" suchen, enthalten die Suchergebnisse alle Produkte oder Inhalte mit den Begriffen ""Schuhe"" oder ""Schuhewerk""."
"Synonyms","Synonyme"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Synonyme in Gruppen desselben Geltungsbereichs werden automatisch zusammengeführt. Wenn Sie dieses Kontrollkästchen aktivieren und einen oder mehrere Suchbegriffe zu verschiedenen Synonymgruppen desselben Geltungsbereichs hinzufügen, werden alle Begriffe automatisch zu einer Gruppe zusammengeführt. Falls Sie dies nicht möchten, deaktivieren Sie dieses Kontrollkästchen. Sie werden dann über eine Fehlernachricht informiert, falls Sie versuchen dieselben Begriffe hinzuzufügen."
"Store View","Store View"
"Website","Webseite"
"Are you sure you want to delete the selected synonym groups?","Sind Sie sicher, dass Sie die ausgewählten Synonymgruppen löschen möchten?"
"Delete items","Elemente löschen"
"Synonym For","Synonym für"
"Will make search for the query above return results for this search","Wird Suche nach der oben genannten Anfrage die Ergebnisse dieser Suche anzeigen"
"Synonym","Synonym"
"Merge existing synonyms","Bestehende Synonyme zusammenführen"
"The synonym group with the ""%1"" ID can't be deleted. %2","Synonymgruppe mit der ID %1 kann nicht gelöscht werden. %2"
