"Search Term","Cătare termen"
"You deleted the search.","Ați șters căutarea."
"We can't find a search term to delete.","Nu se găsește nici un termen de căutare pentru ștergere."
"This search no longer exists.","Această căutare nu mai există."
"Edit Search","Editare căutare"
"Please select searches.","Selectați căutări."
"Total of %1 record(s) were deleted.","Un total de %1 registre au fost șterse."
"Reports","Rapoarte"
"Search Terms Report","Raport termeni căutați"
"You saved the search term.","Ați salvat termenul de căutare."
"Something went wrong while saving the search query.","A avut loc o eroare la salvarea interogării de căutare."
"You already have an identical search term query.","Aveți deja un termen de interogare căutare identic."
"Your search query can't be longer than %1, so we shortened your query.","Interogarea dumneavoastră de căutare nu poate fi mai lungă de %1, așadar, v-am scurtat interogarea de căutare."
"Synonym group with id %1 cannot be deleted. %2","Grupul sinonim cu id %1 nu poate fi șters. %2"
"Merge conflict with existing synonym group(s): %1","Îmbinați conflictul cu grupul(urile) de sinonim existent(e): %1"
"All Websites","Toate Website-urile"
"    All Store Views","    Toate vizualizările de magazin"
"All Store Views","Toate vizualizările de magazin"
"Delete","Șterge"
"Are you sure you want to delete synonym group with id: %1?","Ești sigur că vrei să ștergi un grup de sinonim cu id: %1?"
"View/Edit","Vizualizare/Editare"
"Search entire store here...","Căutați în întregul magazin aici..."
"There are no search terms available.","Nu există termeni de căutare disponibili."
"Search Engine","Motor de căutare"
"CSV","CSV"
"Excel XML","XML Excel"
"ID","ID"
"Hits","Indiciu"
"Are you sure?","Sunteți sigur?"
"Suggested Terms","Termeni recomandați"
"yes","da"
"no","nu"
"Action","Acțiune"
"Edit","Editați"
"You can adjust the scope of this synonym group by selecting an option from the list.","Puteți ajusta domeniul de aplicare al acestui grup sinonim selectând o opțiune din listă."
"Scope","Domeniu"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Lista sinonimelor, separate prin virgulă. Termenii introduși (separați prin virgule) vor fi utilizați ca o interogare de căutare “SAU” pentru a căuta întregul magazin. De exemplu, dacă introduceți “pantofi, încălțăminte” și utilizatorul ar căuta ""pantofi"", rezultatele căutării vor include orice produs sau conținut cu termenul „pantofi” sau „încălțăminte”."
"Synonyms","Sinonime"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Fuzionează automat sinonimele în grupuri care au același domeniu de aplicare. Dacă bifați această casetă și adăugați unul sau mai mulți termeni la grupuri diferite de sinonime, cu același domeniu de aplicare, fuzionează automat toți termenii într-un singur grup. Dacă nu este ceea ce doriți, debifați caseta și o eroare afișează dacă încercați să adăugați aceiași termeni."
"Store View","Vizualizare magazin"
"Website","Website"
"Are you sure you want to delete the selected synonym groups?","Ești sigur că vrei să ștergi grupurile de sinonime selectate?"
"Delete items","Ștergere elemente"
"Synonym For","Sinonim pentru"
"Will make search for the query above return results for this search","Va face căutarea după interogarea de mai sus a rezultatelor returnării pentru această căutare"
"Synonym","Sinonim"
"Merge existing synonyms","Îmbinați sinonimele existente"
"The synonym group with the ""%1"" ID can't be deleted. %2","Grupul de sinonim cu ""%1"" ID nu poate fi șters. %2"
