"Search Term","Termine di ricerca"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Unisce automaticamente i sinonimi di gruppi che condividono lo stesso ambito. Se si seleziona questa casella e si aggiungono uno o più degli stessi termini a diversi gruppi di sinonimi nello stesso ambito, unisce automaticamente tutti i termini a un gruppo. Se questo non è ciò che si vuole, deselezionare la casella e viene visualizzato un errore se si tenta di aggiungere gli stessi termini."
"Store View","Vista Negozio"
"Website","Sito Web"
"Are you sure you want to delete the selected synonym groups?","Sei sicuro di voler cancellare i sinonimo gruppi?"
"Delete items","Elimina elementi"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
