"Search Term","Penelusuran Istilah"
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Gabungkan konflik dengan kelompok sinonim yang ada: %1"
"All Websites","Semua Website"
"    All Store Views","    Semua Tampilan Toko"
"All Store Views","Semua Tampilan Store"
"Delete","Hapus"
"Are you sure you want to delete synonym group with id: %1?","Apakah Anda yakin ingin menghapus kelompok sinonim dengan id: %1?"
"View/Edit","Lihat/Ubah"
"Search entire store here...","Cari seluruh toko di sini..."
"There are no search terms available.","Tidak ada istilah pencarian yang tersedia."
"Search Engine","Mesin Pencari"
"CSV","Csv"
"Excel XML","Excel XML"
"ID","Id"
"Hits","Permintaan"
"Are you sure?","Apakah kamu yakin?"
"Suggested Terms","Istilah yang Disarankan"
"yes","yes"
"no","no"
"Action","Tindakan"
"Edit","Ubah"
"You can adjust the scope of this synonym group by selecting an option from the list.","Anda dapat menyesuaikan lingkup kelompok sinonim dengan memilih opsi dari daftar."
"Scope","Cakupan"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Daftar sinonim yang dipisahkan koma. Istilah yang dimasukkan (dipisah dengan koma) akan digunakan sebagai queri pencarian ""ATAU"" untuk mencari seluruh toko Anda. Sebagai contoh, jika Anda memasukkan ""sepatu,alas kaki"", dan pengguna ingin mencari ""sepatu"", hasil pencarian akan meliputi semua produk atau konten dengan istilah ""sepatu"" atau ""alas kaki."""
"Synonyms","Sinonim"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Otomatis menggabungkan sinonim dalam kelompok yang berbagi lingkup yang sama. Jika Anda mencentang kotak ini dan Anda menambahkan satu atau lebih istilah yang sama ke kelompok sinonim yang berbeda-beda di dalam lingkup yang sama, maka secara otomatis menggabungkan semua istilah ke dalam satu kelompok. Jika ini bukan yang Anda inginkan, hapus centang pada kotak dan sebuah galat tampil jika Anda mencoba untuk menambahkan istilah yang sama."
"Store View","Tampilan toko"
"Website","Situs web"
"Are you sure you want to delete the selected synonym groups?","Apakah Anda yakin ingin menghapus kelompok sinonim yang dipilih?"
"Delete items","Hapus item"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
