"Wishlist","قائمة الأمنيات"
"Move Selected to Wish List","نقل المحدد إلى قائمة الامنيات"
"Copy Selected to Wish List","نسخ المحدد إلى قائمة الامنيات"
"Search By","بحث بـ"
"Please enter at least two letters.","Please enter at least two letters."
"Close","إغلاق"
"Save","حفظ"
"Cancel","إلغاء"
"We can't create the Wish List right now.","لا يمكن إنشاء قائمة الرغبات الآن."
"Please select items to move.","Please select items to move."
"Please select items to copy.","Please select items to copy."
"Are you sure you want to delete your wish list? This action can't be undone.","هل أنت متأكد من أنك تريد حذف قائمة الأمنيات الخاصة بك؟ لا يمكن التراجع عن هذا الإجراء."
"Wish Lists","Wish Lists"
"Enable Multiple Wish Lists","Enable Multiple Wish Lists"
"Number of Multiple Wish Lists","Number of Multiple Wish Lists"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","My Wish Lists Link"
"Display Wish Lists Summary","Display Wish Lists Summary"
"Wish List Search Description","Wish List Search Description"
"Quick Search Form Types","Quick Search Form Types"
"Template","قالب"
"Wish List Search Template","Wish List Search Template"
"CSV","CSV ملف"
"Excel XML","Excel XML"
"Added","تمت الاضافه"
"Customer","زبون"
"Status","الحاله"
"Public","عام"
"Private","خاص"
"Product","المنتج"
"SKU","رمز المنتج"
"Comment","تعليق"
"Wish List Quantity","كمية قائمة الأمنيات"
"Store Quantity","Store Quantity"
"Surplus / Deficit","Surplus / Deficit"
"All Websites","جميع المواقع"
"Product Info","Product Info"
"Unit Price","سعر الوحدة"
"Add to Wish List","أضف لقائمة الرغبات"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
