"Wishlist","Schowek"
"Add to Cart","Dodaj do koszyka"
"Back","Powrót"
"Add to:","Dodaj do:"
"Create New Wish List","Utwórz nową listę życzeń"
"Move to Wish List","Przenieś do listy życzeń"
"Copy to Wish List","Kopiuj do listy życzeń"
"Search Options","Opcje wyszukiwania"
"Required Fields","Pola wymagane"
"First Name","Imię"
"Last Name","Nazwisko"
"Search","Szukaj"
"Search Results","Wyniki wyszukiwania"
"Wish List Name","Nazwa listy życzeń"
"Actions","Operacje"
"View","Zobacz"
"Your search returned no results.","Brak wyników wyszukiwania."
"Wish List","Lista życzeń"
"Create Wish List","Utwórz listę życzeń"
"Edit Wish List","Edytuj listę życzeń"
"Edit","Edytuj"
"Public Wish List","Publiczna lista życzeń"
"Private Wish List","Prywatna listy życzeń"
"Select all","Zaznacz wszystko"
"Move Selected to Wish List","Przenieś zaznaczone do listy życzeń"
"Copy Selected to Wish List","Kopiuj zaznaczone do listy życzeń"
"Search By","Szukaj według"
"Please enter at least two letters.","Podaj co najmniej 2 litery."
"Close","Zamknij"
"Save","Zapisz"
"Cancel","Anuluj"
"We can't create the Wish List right now.","Nie możemy teraz stworzyć listy życzeń."
"Please select items to move.","Wybierz elementy do przeniesienia."
"Please select items to copy.","Wybierz elementy do skopiowania."
"Are you sure you want to delete your wish list? This action can't be undone.","Czy na pewno chcesz usunąć z listę życzeń? Tej akcji nie można cofnąć."
"Wish Lists","Listy życzeń"
"Enable Multiple Wish Lists","Włącz wiele list życzeń"
"Number of Multiple Wish Lists","Liczba list życzeń"
"The number of multiple wish lists should be equal to or more than 2.","Liczba listy życzeń powinna być równa lub większa niż 2."
"My Wish Lists Link","Mój link listy życzeń"
"Display Wish Lists Summary","Wyświetl podsumowanie schowka"
"Wish List Search Description","Opis wyszukiwania schowka"
"Quick Search Form Types","Typ formularza szybkiego wyszukiwania"
"Template","Szablon"
"Wish List Search Template","Domyślny szablon wyszukiwania"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Dodane"
"Customer","Klient"
"Status","Stan"
"Public","Publiczny"
"Private","Prywatny"
"Product","Produkt"
"SKU","SKU"
"Comment","Komentarz"
"Wish List Quantity","Ilość Listy Życzeń"
"Store Quantity","Ilość Sklepów"
"Surplus / Deficit","Nadwyżki / deficytu"
"All Websites","Wszystkie witryny"
"Product Info","Informacje o produkcie"
"Unit Price","Cena jednostkowa"
"Add to Wish List","Dodaj do listy życzeń"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
