"Wishlist","Lista de desejos"
"Enable Multiple Wish Lists","Permitir várias listas de desejos"
"Number of Multiple Wish Lists","Número de múltiplas listas de desejos"
"The number of multiple wish lists should be equal to or more than 2.","O número de múltiplas listas de desejos deve ser maior ou igual a 2."
"My Wish Lists Link","O Meu Link de Listas de Desejos"
"Display Wish Lists Summary","Mostrar Resumo das Listas de Desejos"
"Wish List Search Description","Descrição de Pesquisa da Lista de Desejos"
"Quick Search Form Types","Tipos de Formulário de Pesquisa Rápida"
"Template","Modelo"
"Wish List Search Template","Template de pesquisa de lista de desejos"
"CSV","CSV"
"Excel XML","XML Excel"
"Added","Adicionado"
"Customer","Cliente"
"Status","Estado"
"Public","Pública"
"Private","Privada"
"Product","Produto"
"SKU","REF"
"Comment","Comentário"
"Wish List Quantity","Quantidade da Lista de Desejos"
"Store Quantity","Quantidade da Loja"
"Surplus / Deficit","Excesso / Défice"
"All Websites","Todos os Sites"
"Product Info","Informação do Produto"
"Unit Price","Preço unitário"
"Add to Wish List","Adicionar à Lista de Desejos"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
