"Wishlist","รายการโปรด"
"Search Results","Search Results"
"Wish List Name","Wish List Name"
"Actions","การดำเนินการ"
"View","มุมมอง"
"Your search returned no results.","Your search returned no results."
"Wish List","Wish List"
"Create Wish List","Create Wish List"
"Edit Wish List","Edit Wish List"
"Edit","แก้ไข"
"Public Wish List","Public Wish List"
"Private Wish List","Private Wish List"
"Select all","เลือกทั้งหมด"
"Move Selected to Wish List","ย้ายรายการที่เลือกไปที่ รายการที่ชอบ"
"Copy Selected to Wish List","คัดลอกรายการที่เลือกไปที่ รายการที่สิ่งชอบ"
"Search By","Search By"
"Please enter at least two letters.","Please enter at least two letters."
"Close","ปิด"
"Save","บันทึก"
"Cancel","ยกเลิก"
"We can't create the Wish List right now.","We can't create the Wish List right now."
"Please select items to move.","Please select items to move."
"Please select items to copy.","Please select items to copy."
"Are you sure you want to delete your wish list? This action can't be undone.","Are you sure you want to delete your wish list? This action can't be undone."
"Wish Lists","Wish Lists"
"Enable Multiple Wish Lists","Enable Multiple Wish Lists"
"Number of Multiple Wish Lists","Number of Multiple Wish Lists"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","ลิงค์รายการสินค้าที่ฉันต้องการ"
"Display Wish Lists Summary","Display Wish Lists Summary"
"Wish List Search Description","Wish List Search Description"
"Quick Search Form Types","Quick Search Form Types"
"Template","Template"
"Wish List Search Template","Wish List Search Template"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","เพิ่มแล้ว"
"Customer","ลูกค้า"
"Status","สถานะ"
"Public","Public"
"Private","Private"
"Product","สินค้า"
"SKU","รหัสสินค้า"
"Comment","Comment"
"Wish List Quantity","Wish List Quantity"
"Store Quantity","Store Quantity"
"Surplus / Deficit","Surplus / Deficit"
"All Websites","All Websites"
"Product Info","Product Info"
"Unit Price","Unit Price"
"Add to Wish List","เพิ่มลงใน รายการสิ่งที่ชอบ"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
