"ALL GROUPS","SVE GRUPE"
"Out-of-Stock Threshold","Nema na zalihama Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimalna količina dozvoljena u korpi"
"Notify for Quantity Below","Obavesti za količinu ispod"
"Automatically Return Credit Memo Item to Stock","Automatski vrati kreditni memorandum na zalihu"
"Enable Qty Increments","Omogući povećanje količine"
"Qty Increments","Povećanje količine"
"Stock","Zalihe"
"Index stock","Index zaliha"
"Use Config Settings","Koristi konfiguraciona podešavanja"
"Qty Uses Decimals","Količina koristi decimale"
"Allow Multiple Boxes for Shipping","Dopustiti pakovanje u više kutija radi isporuke"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Koristi odloženo ažuriranje zaliha"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","Pogrešna stavka u listi proizvoda. Proverite stavku i pokušajte ponovo."
"The stock item was unable to be saved. Please try again.","Proizvod nije mogao biti sačuvan. Molimo pokušajte ponovo."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","Proizvod sa ""%1"" ID-jem nije pronađen. Proverite ID i pokušajte ponovo."
"The stock was unable to be saved. Please try again.","Lager nije mogao biti sačuvan. Molimo pokušajte ponovo."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","Lager sa ""%1"" ID-jem nije pronađen. Proverite ID i pokušajte ponovo."
"The stock status was unable to be saved. Please try again.","Status magacina nije mogao biti sačuvan. Molimo pokušajte ponovo."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","""%1"" neispravna vrednost za ID magacina. Upišite zalihe sa podrazumavenom vrednošću %2 da biste pokušali ponovo."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","""%1"" je neispravna vrednost za ID proizvoda. Upišite 0 ili broj i onda ponovo 0 da biste pokušali ponovo."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","""%1"" vrednost nije ispravna za ID proizvoda. Koristite ID dodeljen ""%2"" vrednost i pokušajte ponovo."
"The Product with the ""%1"" SKU doesn't exist.","Proizvod sa ""%1"" SKU ne postoji."
"The requested qty is not available","Tražena kol nije dostupna"
"Quantity increments can't use decimals. Enter a new increment and try again.","Za povećanje količine ne možete koristiti decimale. Upišite nove iznose i pokušajte ponovo."
