"ALL GROUPS","ಎಲ್ಲಾ ಗುಂಪುಗಳು"
"%1 is available to buy in increments of %2","%1 ಖರೀದಿಸಲು %2 ಏರಿಕೆಯಲ್ಲಿ ಲಭ್ಯವಿದೆ"
"Only %1 left","ಕೇವಲ %1 ಉಳಿದಿದೆ"
"Product availability","ಉತ್ಪನ್ನದ ಲಭ್ಯತೆ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Qty","ಪರಿಮಾಣ"
"Inventory Section","ದಾಸ್ತಾನುಪಟ್ಟಿ ವಿಭಾಗ"
"Inventory","ದಾಸ್ತಾನುಪಟ್ಟಿ"
"Stock Options","ದಾಸ್ತಾನು ಆಯ್ಕೆಗಳು"
"Decrease Stock When Order is Placed","ಖರೀದಿಸಿದಾಗ ದಾಸ್ತಾನನ್ನು ಕಡಿತಗೊಳಿಸಿ"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲದ ಉತ್ಪನ್ನಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","ಉತ್ಪನ್ನದ ದಾಸ್ತಾನು ಆಯ್ಕೆಗಳು"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","ದಯವಿಟ್ಟು ಗಮನಿಸಿ ಈ ಸಂಯೋಜನೆಗಳು ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ಪ್ರತ್ಯೇಕ ವಸ್ತುಗಳಿಗೆ ಅನ್ವಯವಾಗುತ್ತವೆ, ಇಡೀ ಬುಟ್ಟಿಗಲ್ಲ."
"Manage Stock","ದಾಸ್ತಾನು ನಿರ್ವಹಿಸಿ"
"Backorders","ಹಿಮ್ಮುಖವ್ಯಾಪಾರಾದೇಶಗಳು"
"Maximum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಗರಿಷ್ಟ ಪರಿಮಾಣ"
"Out-of-Stock Threshold","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲದ ಮಿತಿ"
"Minimum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಕನಿಷ್ಟ ಪರಿಮಾಣ"
"Notify for Quantity Below","Notify for Quantity Below"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳು"
"Stock","ದಾಸ್ತಾನು"
"Index stock","Index stock"
"Use Config Settings","Use Config Settings"
"Qty Uses Decimals","ಪರಿಮಾಣವು ದಶಮಾಂಶವನ್ನು ಬಳಸುತ್ತದೆ"
"Allow Multiple Boxes for Shipping","ರವಾನೆಗೆ ಬಹು ಪೆಟ್ಟಿಗೆಗಳನ್ನು ಅನುಮತಿಸಿ"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","ದಾಸ್ತಾನು ಸ್ಥಿತಿಯನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಿಲ್ಲ. ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","""%1"" SKU ಜೊತೆಗಿನ ಉತ್ಪನ್ನವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"The requested qty is not available","ವಿನಂತಿಸಿದ ಪರಿಮಾಣ ಲಭ್ಯವಿಲ್ಲ"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
