"Default Config","Konfigurasi default"
"Config form fieldset clone model required to be able to clone fields","Mengkonfigurasi fieldset klon model yang dibutuhkan untuk bisa mengkloning bidang"
"%1: Instance of %2 is expected, got %3 instead","% 1: Contoh% 2 diharapkan, mendapat% 3 sebagai gantinya"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'Tidak ada tipe yang didefinisikan'."
"'Object is not instance of ' .","'Objek bukan instance dari'."
"Filesystem is not writable.","Berkas sistem tidak dapat ditulis."
"Some error","Beberapa kesalahan"
"Some message","Beberapa pesan"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Perintah ini tidak tersedia sekarang."
"The ""test/test/test"" path does not exists","Jalur ""test / test / test"" tidak ada"
"error message","pesan salah"
"some_label","some_label"
"some_comment","beberapa komentar"
"some prefix","beberapa awalan"
"element label","label elemen"
"element hint","petunjuk elemen"
"element comment","komentar elemen"
"element tooltip","elemen tooltip"
"test","tes"
"test2","Tes2"
"Add after","Tambahkan setelah"
"Delete","Hapus"
"Current Configuration Scope:","Lingkup Konfigurasi Saat Ini:"
"Stores","Toko"
"Group Label","Label grup"
"Some Label","beberapa label"
"Tab Label","Label tab"
"Allow everything","Memungkinkan segala sesuatu"
"Magento Admin","Admin Magento"
"Dashboard","Dashboard"
"Manage Stores","Kelola toko"
"Field 2","Field 2"
"Field 3","Field 3"
"Field 3.1","Field 3.1"
"Field 3.1.1","Field 3.1.1"
"Field 4","Field 4"
"Advanced Section","Sesi lanjutan"
"Advanced Admin Section","Bagian Admin Lanjutan"
"Design Section","Bagian Desain"
"General Section","Bagian Umum"
"System Section","Sesi sistem"
"Currency Setup Section","Bagian Penyiapan Mata Uang"
"Developer Section","Sesi pengembang"
"Web Section","Bagian Web"
"Store Email Addresses Section","Simpan Alamat Email"
"Email to a Friend","Email ke teman"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
