"Default Config","Standard Konfiguration"
"The base directory to upload file is not specified.","Base mappen til at uploadet filer i er ikke specificeret."
"The specified image adapter cannot be used because of: %1","Den valgte billede tilpasser kan ikke benyttes pågrund af: %1"
"Default scope","Standard virkefelt"
"Base currency","Standard valuta"
"Display default currency","Standard visnings valuta"
"website(%1) scope","webside(%1) scope"
"store(%1) scope","forretnings(%1) scope"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" er benyttet som %2 i %3."
"Please correct the timezone.","Ret venligst tidszone."
"The file ""%1"" does not exist","Filem ""%1"" eksisterer ikke"
"The ""%1"" path does not exist","""%1"" stien eksisterer ikke"
"Always (during development)","Altid (ved udvikling)"
"Only Once (version upgrade)","Enkeltstående (version opgradering)"
"Never (production)","Aldrig (produktion)"
"Bcc","Bcc"
"Separate Email","Separat Email"
"%1 (Default)","%1 (Standard)"
"title","titel"
"No","Nej"
"Optional","Valgfri"
"Required","Påkrævet"
"Website","Hjemmeside"
"Store","Butik"
"Store View","Butiksvisning"
"HTTP (unsecure)","HTTP (usikker)"
"HTTPS (SSL)","HTTPS (Sikker)"
"Yes (302 Found)","Ja (302 Fundet)"
"Yes (301 Moved Permanently)","Ja (301 Flyttet permanent)"
"Yes","Ja"
"Specified","Angivet"
"Visible section not found.","Synlig sektion ikke fundet."
"Config form fieldset clone model required to be able to clone fields","Konfig form feltsæt klon model påkrævet for at kunne klone felter"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some error","En fejl"
"Some message","Some message"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","This command is unavailable right now."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","fejlmeddelelse"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","some prefix"
"element label","element label"
"element hint","element hint"
"element comment","element comment"
"element tooltip","element tooltip"
"test","test"
"test2","test2"
"Add after","Tilføj senere"
"Delete","Slet"
"Current Configuration Scope:","Current Configuration Scope:"
"Stores","Butikker"
"Group Label","Group Label"
"Some Label","Some Label"
"Tab Label","Kolonne titel"
"Allow everything","Tillad alt"
"Magento Admin","Magento Admin"
"Dashboard","Instrumentbræt"
"Manage Stores","Administrér butikker"
"Field 2","Felt 2"
"Field 3","Felt 3"
"Field 3.1","Felt 3.1"
"Field 3.1.1","Felt 3.1"
"Field 4","Felt 4"
"Advanced Section","Advanced Section"
"Advanced Admin Section","Advanced Admin Section"
"Design Section","Design Section"
"General Section","General Section"
"System Section","System Section"
"Currency Setup Section","Currency Setup Section"
"Developer Section","Developer Section"
"Web Section","Web Section"
"Store Email Addresses Section","Store Email Addresses Section"
"Email to a Friend","Mail til en ven"
"Action","Handling"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
