"Default Config","Alapértelmezett beállítás"
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","A feladó neve (%1) érvénytelen. Kérjük, csak látható karaktereket és szóközöket használjon!"
"Maximum sender name length is 255. Please correct your settings.","A feladó név maximális hossza 255. Kérjük, javítsa a beállításokat!"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","A fájlok feltöltéséhez nincs megadva mappa."
"The specified image adapter cannot be used because of: %1","A megadott képadapter nem használható, mert: %1"
"Default scope","Alapértelmezett hatókör"
"Base currency","Alap pénznem"
"Display default currency","Alapértelmezett pénznem megjelenítése"
"website(%1) scope","honlap(%1) hatóköre"
"store(%1) scope","bolt(%1) hatóköre"
"Currency ""%1"" is used as %2 in %3.","A(z) %1 pénznem használatban van, mint %2 ennél: %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Mindig (fejlesztés során)"
"Only Once (version upgrade)","Csak egyszer (verziófrissítés)"
"Never (production)","Soha (gyártás)"
"Bcc","Titkos másolat"
"Separate Email","Külön e-mail"
"%1 (Default)","%1 (alapértelmezett)"
"title","cím"
"No","Nem "
"Optional","Elhagyható"
"Required","Kötelező"
"Website","Honlap"
"Store","Bolt"
"Store View","Bolt nézet"
"HTTP (unsecure)","HTTP (nem biztonságos)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Igen (302 megtalálható)"
"Yes (301 Moved Permanently)","Igen (301 véglegesen áthelyezve)"
"Yes","Igen"
"Specified","Megadva"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Mezőcsoport klónmodell szükséges a mezők klónozásához"
"%1: Instance of %2 is expected, got %3 instead","%1: A %2 példány várt, azonban a kapott példány %3"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","Nincs definiált típus."
"'Object is not instance of ' .","'Az objektum nem példánya a '."
"Filesystem is not writable.","A fájlrendszer nem írható."
"Some error","Néhány hiba"
"Some message","Some message"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","This command is unavailable right now."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","hibaüzenet"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","néhány előtag"
"element label","elem címkéje"
"element hint","elem útmutatója"
"element comment","elem megjegyzés"
"element tooltip","elem gyorstippje"
"test","teszt"
"test2","teszt2"
"Add after","Mögé rak"
"Delete","Törlés"
"Current Configuration Scope:","Jelenlegi konfigurációs hatókör:"
"Stores","Boltok"
"Group Label","Csoport címkéje"
"Some Label","Néhány címke"
"Tab Label","Fül címkéje"
"Allow everything","Mindent engedélyez"
"Magento Admin","Magento Admin"
"Dashboard","Vezérlőpult"
"Manage Stores","Boltok kezelése"
"Field 2","Mező 2"
"Field 3","Mező 3"
"Field 3.1","Mező 3.1"
"Field 3.1.1","Mező 3.1.1"
"Field 4","Mező 4"
"Advanced Section","Haladó szekció"
"Advanced Admin Section","Haladó admin szekció"
"Design Section","Design szekció"
"General Section","Általános szekció"
"System Section","Rendszer szekció"
"Currency Setup Section","Pénznem-beállítások szekció"
"Developer Section","Fejlesztői szekció"
"Web Section","Web szekció"
"Store Email Addresses Section","Bolti e-mail címek szekció"
"Email to a Friend","Email egy barátnak"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
