"Default Config","Podrazumevana konfiguracija"
"The specified image adapter cannot be used because of: %1","Navedeni adapter za sliku se ne može koristiti zato: %1"
"Default scope","Podrazumevani opseg"
"Base currency","Osnovna valuta"
"Display default currency","Prikaži podrazumevanu valutu"
"website(%1) scope","web sajt(%1) opseg"
"store(%1) scope","prodavnica(%1) opseg"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" je korišćena kao %2 u %3."
"Please correct the timezone.","Molimo ispravite the timezone."
"The file ""%1"" does not exist","Datoteka ""%1"" ne postoji"
"The ""%1"" path does not exist","Putanja ""%1"" ne postoji"
"Always (during development)","Uvek (tokom development)"
"Only Once (version upgrade)","Samo Jednom (ažuriranje verzije)"
"Never (production)","Nikada (proizvodnja)"
"Bcc","Bcc"
"Separate Email","Odvojeni Mejl"
"%1 (Default)","%1 (Podrazumevano)"
"title","naslov"
"No","Ne"
"Optional","Opciono"
"Required","Obavezno"
"Website","Web sajt"
"Store","Prodavnica"
"Store View","Prikaz prodavnice"
"HTTP (unsecure)","HTTP (unsecure)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Da (302 Pronađeno)"
"Yes (301 Moved Permanently)","Da (301 Trajno Pomeren)"
"Yes","Da"
"Specified","Definisan"
"Visible section not found.","Visible section nije pronađeno."
"Config form fieldset clone model required to be able to clone fields","Da biste mogli da klonirate polja, morate definisati klonski model"
"%1: Instance of %2 is expected, got %3 instead","%1: Instanca od %2 je očekivana, ubacite %3 umesto"
"Invalid XML in file %1:\n%2","Neispravan XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'Nema definisanog tipa ' ."
"'Object is not instance of ' .","'Objekar nije instanca od ' ."
"Filesystem is not writable.","Filesystem nije upisiv."
"Some error","Neka greška"
"Some message","Neka poruka"
"You cannot run this command because the Magento application is not installed.","You ne može run this command because the Magento application is not installed."
"This command is unavailable right now.","Ova komanda nije omogućena sada."
"The ""test/test/test"" path does not exists","""test/test/test"" putanja ne postoji"
"error message","poruka o grešci"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","neki prefiks"
"element label","oznaka elementa"
"element hint","element hint"
"element comment","element comment"
"element tooltip","element tooltip"
"test","test"
"test2","test2"
"Add after","Dodaj nakon"
"Delete","Obrisati"
"Current Configuration Scope:","Trenutni Opseg Konfiguracije:"
"Stores","Prodavnice"
"Group Label","Oznaka Grupe"
"Some Label","Neka Oznaka"
"Tab Label","Oznaka Taba"
"Allow everything","Dozvoli sve"
"Magento Admin","Magento Admin"
"Dashboard","Kontrolna tabla"
"Manage Stores","Upravljanje prodavnicama"
"Field 2","Polje 2"
"Field 3","Polje 3"
"Field 3.1","Polje 3.1"
"Field 3.1.1","Polje 3.1.1"
"Field 4","Polje 4"
"Advanced Section","Napredni Deo"
"Advanced Admin Section","Napredni Admin Deo"
"Design Section","Dizajniraj Deo"
"General Section","Opšte Postavke"
"System Section","Sekcije Sistema"
"Currency Setup Section","Sekcija Podešavanja Valute"
"Developer Section","Developer Sekcija"
"Web Section","Web Sekcija"
"Store Email Addresses Section","Sekcija Skladišta Mejl Adresa"
"Email to a Friend","Pošalji Prijatelju"
"Action","Akcija"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter ne može be used because of: ' ."
"The file ""' . . '"" does not exist","Datoteka ""' . . '"" ne postoji"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Klasa za ""%1"" tip nije upisana. Unesite klasu i pokušajte ponovo."
"The ""%1"" email address is incorrect. Verify the email address and try again.","""%1"" mejl adresa nije ispravna. Proverite mejl adresu i pokušajte ponovo."
"The time zone is incorrect. Verify the time zone and try again.","Vremenska zona nije ispravna. Proverite vremensku zonu i pokušajte ponovo."
"The ""%1"" file doesn't exist.","""%1"" fajl ne postoji."
"The ""%1"" path doesn't exist. Verify and try again.","""%1"" putanja ne postoji. Proverite i pokušajte ponovo."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'XML u datoteci ""%1"" je neispravan:' . ""\n%2\nVerify the XML and try again."""
