"Default Config","Standaard configuratie"
"some prefix","een voorvoegsel"
"element label","element label"
"element hint","element tip"
"element comment","element opmerking"
"element tooltip","element tooltip"
"test","test"
"test2","test2"
"Add after","Toevoegen na"
"Delete","Verwijder"
"Current Configuration Scope:","Scope huidige configuratie"
"Stores","Winkels"
"Group Label","Groep-Label"
"Some Label","Sommige labels"
"Tab Label","Tab Label"
"Allow everything","Alles toestaan"
"Magento Admin","Magento Site-beheer"
"Dashboard","Dashboard"
"Manage Stores","Beheer Winkels"
"Field 2","Veld 2"
"Field 3","Veld 3"
"Field 3.1","Veld 3.1"
"Field 3.1.1","Veld 3.1.1"
"Field 4","Veld 4"
"Advanced Section","Geavanceerde sectie"
"Advanced Admin Section","Geavanceerde adminsectie"
"Design Section","Ontwerp sectie"
"General Section","Algemene sectie"
"System Section","Systeem sectie"
"Currency Setup Section","Valuta-instellingen sectie"
"Developer Section","Ontwerper sectie"
"Web Section","Web sectie"
"Store Email Addresses Section","Winkel E-mailadressen sectie"
"Email to a Friend","E-mail naar een vriend"
"Action","Actie"
"'The specified image adapter cannot be used because of: ' .","'De opgegeven afbeelding adapter kan niet worden gebruikt omdat: ' ."
"The file ""' . . '"" does not exist","Het bestand ""'"" ""bestaat niet"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","De class van het ""%1"" type is niet gedeclareerd. Vul deze in en probeer het opnieuw."
"The ""%1"" email address is incorrect. Verify the email address and try again.","E-mailadres ""%1"" is ongeldig. Controleer het e-mailadres en probeer het opnieuw."
"The time zone is incorrect. Verify the time zone and try again.","De tijdzone is incorrect. Controleer de tijdzone en probeer het nogmaals."
"The ""%1"" file doesn't exist.","Het bestand ""%1"" bestaat niet."
"The ""%1"" path doesn't exist. Verify and try again.","Het pad ""%1"" bestaat niet. Controleer en probeer het opnieuw."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'De XML in het bestand ""%1"" is ongeldig:' . ""\n%2\nControleer het XML-bestand en probeer het opnieuw."""
