"Gift Card Accounts","Λογαριασμοί Δωροκάρτας"
"We were unable to create full code pool size. Please check settings and try again.","Δεν ήμασταν σε θέση να δημιουργήσουν πλήρες μέγεθος συνόλου κωδικό. Παρακαλώ ελέγξτε τις ρυθμίσεις και προσπαθήστε ξανά."
"No codes left in the pool.","Δεν έμειναν κωδικοί στο σύνολο."
"Cart %1 doesn't contain products","Το Καλάθι %1 δεν περιέχει προϊόντα"
"Could not delete gift card from quote","Δεν είναι δυνατή η διαγραφή δωροκάρτας από προσφορά"
"Could not add gift card code","Δεν θα μπορούμε να προσθέσουμε τον κωδικό της δωροκάρτας"
"Please correct the wrong or expired Gift Card Code.","Παρακαλώ διορθώστε το λάθος ή έχει λήξει ο κωδικός της δωροκάρτας."
"Alphanumeric","Αλφαριθμητικό"
"Alphabetical","Αλφαβητικά"
"Numeric","Αριθμητικό"
"The maximum generated code length is 255. Please correct your settings.","Το μέγιστο μήκος παραγόμενου κωδικού είναι 255. Παρακαλώ διορθώστε τις ρυθμίσεις σας."
"Gift Cards","Δωροκάρτες"
"test message","δοκιμαστικό μήνυμα"
"Generate","Δημιουργία"
"Code Pool used: ","Σύνολο κωδικού που χρησιμοποιείται: "
" (free "," (δωρεάν "
" of "," από "
" total)."," συνολικά)."
"Are you sure you want to continue without saving your changes?","Είστε βέβαιοι ότι θέλετε να συνεχίσετε χωρίς να αποθηκεύσετε τις αλλαγές σας;"
"Refund Gift Cards to Store Credit","Επιστροφή Δωροκαρτών στην Πίστωση Καταστήματος"
"Add Gift Card","Προσθήκη δωροκάρτας"
"Remove","Διαγραφή"
"Gift Card (%1)","Δωροκάρτα (%1)"
"This won't take long . . .","Αυτό δεν θα αργήσει . . ."
"Enter gift card code","Εισάγετε κωδικό της δωροκάρτας"
"Redeem Gift Card","Εξαργύρωση δωροκάρτας"
"Check status and balance","Έλεγχος κατάστασης και υπόλοιπο"
"Have a gift card? ","Έχετε δωροκάρτα; "
"Click here","Κάντε κλικ εδώ"
" to redeem it."," για να την εξαργυρώσετε."
"Enter the gift card code","Εισάγετε το κωδικό της δωροκάρτας"
"Check Gift Card status and balance","Έλεγχος κατάστασης δωροκάρτας και υπόλοιπο"
"Gift Card: ","Δωροκάρτα: "
"Current Balance: ","Τρέχον υπόλοιπο: "
"Expires: ","Λήγει: "
"Please enter a valid gift card code.","Παρακαλώ εισάγετε έναν έγκυρο κωδικό δωροκάρτας."
"Add or remove gift cards","Προσθήκη ή κατάργηση δωροκαρτών"
"Gift Card amount applied to order:","Ποσό Δωροκάρτας που εφαρμόζεται στην παραγγελία:"
"You've been sent a gift from %store_name","Σας έχει αποσταλεί ένα δώρο από %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Σας έχει αποσταλεί μία δωροκάρτα για χρήση στο %store_name και τώρα είναι έτοιμη να χρησιμοποιηθεί για αγορές."
"Gift Card Code: %code","Κωδικός Δωροκάρτας: %code"
"The card has a balance of %balance and can be used at ","Η κάρτα έχει ένα υπόλοιπο των %balance και μπορεί να χρησιμοποιηθεί στο "
"%store_name","%store_name"
"Apply Gift Card","Εφαρμόστε δωροκάρτα"
"Gift Card:","Δωροκάρτα:"
"Apply","Εφαρμογή"
"See Balance","Προβολή Υπόλοιπου"
"Gift Card amount applied to order: ","Ποσό Δωροκάρτας που εφαρμόζεται στην παραγγελία: "
"Email Sent from Gift Card Account Management","Email Στάλθηκε από Διαχείριση Λογαριασμού Δωροκάρτας"
"Gift Card Email Sender","Αποστολέας Email Δωροκάρτας"
"Gift Card Template","Πρότυπο Δωροκάρτας"
"Gift Card Account General Settings","Γενικές Ρυθμίσεις Λογαριασμού της Δωροκάρτας"
"Code Length","Μήκος Κωδικού"
"Excluding prefix, suffix and separators.","Εκτός από πρόθεμα, κατάληξη και διαχωριστικά."
"Code Format","Μορφή κωδικού"
"Code Prefix","Πρόθεμα κωδικού"
"Code Suffix","Επίθεμα κωδικού"
"Dash Every X Characters","Παύλα Κάθε X Χαρακτήρες"
"if empty no separation","Αν είναι κενό χωρίς διαχωριστικό"
"New Pool Size","Νέο Μέγεθος Συνόλου"
"Low Code Pool Threshold","Χαμηλό όριο Συνόλου Κωδικού"
"IMPORTANT: Be sure to save your configuration before running generation process.","ΣΗΜΑΝΤΙΚΟ: Φροντίστε να αποθηκεύσετε τις ρυθμίσεις σας πριν από την εκτέλεση της διαδικασίας δημιουργίας."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτούς τους λογαριασμούς της δωροκάρτας;"
"Code","Κωδικός"
"End","Τέλος"
"Invalid Form Key. Please refresh the page.","Το κλειδί δεν είναι έγκυρη μορφή. Παρακαλούμε ανανεώστε τη σελίδα."
"Invalid Request","Άκυρο Αίτημα"
"Incorrect CAPTCHA","Λάθος CAPTCHA"
"Too many attempts, please try again later.","Πάρα πολλές προσπάθειες, δοκιμάστε ξανά αργότερα."
"Amount can be returned to Store Credit.","Το ποσό μπορεί να επιστραφεί σε Πίστωση Καταστήματος."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Σύνολο Κωδικού χρησιμοποιείται: <b>%1%</b> (δωρεάν <b>%2</b> από <b>%3</b> συνολικό). Δημιουργία νέου σύνολου κώδικα <a href=""#"" data-post=""%4"">εδώ</a>."
"The ""%1"" Cart doesn't contain products.","Η Κάρτα ""%1"" δεν περιέχει προϊόντα."
"The gift card couldn't be deleted from the quote.","Η δωροκάρτα δεν μπόρεσε να διαγραφεί από την προσφορά."
"Requiring a composite gift card account.","Απαιτείτε ένας σύνθετος λογαριασμός δωροκάρτας."
"The gift card code couldn't be added. Verify your information and try again.","Ο κωδικός δωροκάρτας δεν μπόρεσε να προστεθεί. Επιβεβαιώστε τις πληροφορίες σας και δοκιμάστε ξανά."
"The gift card code is either incorrect or expired. Verify and try again.","Ο κωδικός δωροκάρτας είναι είτε εσφαλμένος είτε έχει λήξει. Επιβεβαιώστε και δοκιμάστε ξανά."
"Gift Card %1 was removed.","Δωροκάρτα %1 καταργήθηκε."
"Gift card not found","Δωροκάρτα δεν βρέθηκε"
"Gift card account is not redeemable.","Λογαριασμός Δωροκάρτας δεν είναι εξαγοράσιμος."
"Cannot find the customer to update balance","Δεν βρέθηκε ο πελάτης για ενημέρωση υπολοίπου"
