"Gift Card Accounts","Account Gift Card"
"Gift Card:","Gift Card:"
"Apply","Applica"
"See Balance","Vedi il saldo"
"Gift Card amount applied to order: ","Importo gift card applicato all'ordine: "
"Email Sent from Gift Card Account Management","Email inviata dalla gestione account gift card"
"Gift Card Email Sender","Mittente email gift card"
"Gift Card Template","Template Gift Card"
"Gift Card Account General Settings","Impostazioni generali account gift card"
"Code Length","Lunghezza codice"
"Excluding prefix, suffix and separators.","Escludendo prefissi, suffissi e separatori."
"Code Format","Formato codice"
"Code Prefix","Prefisso codice"
"Code Suffix","Suffisso codice"
"Dash Every X Characters","Trattino ogni X caratteri"
"if empty no separation","se è vuoto nessuna separazione"
"New Pool Size","Nuova dimensione Pool"
"Low Code Pool Threshold","Soglia bassa codice pool"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANTE: Assicurarsi di salvare la configurazione prima di eseguire il processo di generazione."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Sei sicuro di che voler cancellare questi account gift card?"
"Code","Codice"
"End","Fine"
"Invalid Form Key. Please refresh the page.","Chiave form non valida. Si prega di aggiornare la pagina."
"Invalid Request","Invalid Request"
"Incorrect CAPTCHA","CAPTCHA errato"
"Too many attempts, please try again later.","Troppi tentativi, riprova più tardi."
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>."
"The ""%1"" Cart doesn't contain products.","Il carrello ""%1"" non contiene prodotti."
"The gift card couldn't be deleted from the quote.","The gift card couldn't be deleted from the quote."
"Requiring a composite gift card account.","Requiring a composite gift card account."
"The gift card code couldn't be added. Verify your information and try again.","The gift card code couldn't be added. Verify your information and try again."
"The gift card code is either incorrect or expired. Verify and try again.","The gift card code is either incorrect or expired. Verify and try again."
"Gift Card %1 was removed.","Gift Card %1 was removed."
"Gift card not found","Gift card not found"
"Gift card account is not redeemable.","Gift card account is not redeemable."
"Cannot find the customer to update balance","Cannot find the customer to update balance"
