"Gift Card Accounts","Rekening kartu hadiah"
"Add or remove gift cards","Tambah atau hapus kartu hadiah"
"Gift Card amount applied to order:","Jumlah kartu hadiah sesuai pesanan:"
"You've been sent a gift from %store_name","Anda sudah mengirim hadiah dari %snama_toko"
"%name,","%nama"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Anda telah mengirim kartu hadiah untuk digunakan pada %snama_toko dan sekarang siap digunakan untuk pembelian."
"Gift Card Code: %code","Kode kartu hadiah: %c Kode"
"The card has a balance of %balance and can be used at ","Kartu tersebut memiliki saldo %bsaldo dan bisa di gunakan di "
"%store_name","%snama_toko"
"Apply Gift Card","Terapkan kartu hadiah"
"Gift Card:","Kartu hadiah:"
"Apply","Terapkan"
"See Balance","Lihat saldo"
"Gift Card amount applied to order: ","Jumlah kartu hadiah sesuai pesana: "
"Email Sent from Gift Card Account Management","Email dikirim dari manajemen akun kartu hadiah"
"Gift Card Email Sender","Mengirim email kartu hadiah"
"Gift Card Template","Template kartu hadiah"
"Gift Card Account General Settings","Pengaturan umum akun kartu hadiah"
"Code Length","Panjang Kode"
"Excluding prefix, suffix and separators.","Tidak termasuk awalan, akhiran dan pemisah."
"Code Format","Format Kode"
"Code Prefix","Awalan Kode"
"Code Suffix","Akhiran Kode"
"Dash Every X Characters","Mengambil setiap karakter x"
"if empty no separation","jika kosong tidak ada pemisahan"
"New Pool Size","Ukuran kolam baru"
"Low Code Pool Threshold","Ambang batas kode rendah kolam"
"IMPORTANT: Be sure to save your configuration before running generation process.","PENTING: pastikan menyimpan konfigurasi anda sebelum menjalankan proses pembangkitan."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Anda yakin ingin menghapus akun kartu hadiah ini?"
"Code","Kode"
"End","Akhir"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","Invalid Request"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Too many attempts, please try again later.","Too many attempts, please try again later."
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The gift card couldn't be deleted from the quote.","The gift card couldn't be deleted from the quote."
"Requiring a composite gift card account.","Requiring a composite gift card account."
"The gift card code couldn't be added. Verify your information and try again.","The gift card code couldn't be added. Verify your information and try again."
"The gift card code is either incorrect or expired. Verify and try again.","The gift card code is either incorrect or expired. Verify and try again."
"Gift Card %1 was removed.","Gift Card %1 was removed."
"Gift card not found","Gift card not found"
"Gift card account is not redeemable.","Gift card account is not redeemable."
"Cannot find the customer to update balance","Cannot find the customer to update balance"
