"Gift Card Accounts","Hediye kartı hesapları"
"You saved the gift card account, but an email was not sent.","Hediye kartı hesabını kaydettiniz, ancak bir e-posta gönderilmedi."
"We will refund the gift card amount to your customer’s store credit","Hediye kartı tutarını, müşterinin mağaza kredisine geri ödeyeceğiz"
"Please enable Store Credit to refund the gift card amount to your customer","Hediye kartı tutarını müşterinize iade etmek için Mağaza Kredisini etkinleştirin"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Hediye Kartına ''%1'' eklendi."
"We cannot apply this gift card.","Bu hediye kartına uygulayamayız."
"Gift Card ""%1"" was removed.","Hediye Kartından ""%1"" kaldırıldı."
"You can't remove this gift card.","Bu hediye kartını kaldıramazsınız."
"You can't redeem a gift card now.","Bu hediye kartını şuan kurtaramazsınız."
"Gift Card ""%1"" was redeemed.","Hediye Kartına ''%1'' kullanıldı."
"We cannot redeem this gift card.","Bu hediye kartını kullanamıyoruz."
"Gift Card","Hediye Kartı"
"By admin: %1.","Yönetici olarak: %1."
"Could not save the gift card account.","Could not save the gift card account."
"Could not delete the gift card account.","Could not delete the gift card account."
"The expiration date must be set in the future.","Gecikme tarihi gelecek bir tarihe ayarlanmalıdır."
"The balance cannot be less than zero.","Bakiye sıfırdan düşük olamaz."
"This gift card account is already in the quote.","Bu hediye kartı hesabı zaten teklifte."
"Please correct the gift card account code: ""%1"".","Lütfen hediye kartı hesap kodunu düzeltin: ''%1''."
"This gift card account wasn't found in the quote.","Bu hediye kartı hesabı alıntı içinde bulunmuyor."
"Please correct the gift card account ID. Requested code: ""%1""","Lütfen hediye kartı hesabı kimliğini düzeltin. Gereken kod: ''%1''"
"Please correct the gift card account website: %1.","Lütfen hediye kartı hesap web sitesini düzeltin: %1."
"Gift card account %1 is not enabled.","Hediye kartı hesabı %1 etkin değil."
"Gift card account %1 is expired.","Hediye kartı hesabı %1 süresi doldu."
"Gift card account %1 has a zero balance.","Hediye kartı hesabı %1 'in sıfır bakiyesi var."
"Gift card account %1 balance is lower than the charged amount.","Hediye kartı hesabı %1 bakiyesi tahsil edilen miktardan düşük."
"Available","Kullanılabilir"
"Used","Kullanıldı"
"Redeemed","Kullanıldı"
"Expired","Süresi dolmuş"
"Please enter a valid customer ID.","Lütfen geçerli bir müşteri kimliği girin."
"Gift Card Redeemed: %1. For customer #%2.","Hediye Kartı Kullanıldı: %1. Müşteri için #%2."
"Created","Oluşturuldu"
"Updated","Güncellendi"
"Sent","Gönderildi"
"Order #%1.","Sipariş #%1."
"Recipient: %1.","Alıcı: %1."
"Customer #%1.","Müşteri #%1."
"Please assign a gift card account.","Lütfen bir hediye kartı hesabı atayın."
"Unknown history action.","Bilinmeyen geçmiş eylemi."
"We were unable to create full code pool size. Please check settings and try again.","Tam kod havuzu boyutu oluşturamadık. Lütfen ayarları kontrol edin ve tekrar deneyin."
"No codes left in the pool.","Havuzda kod yok."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","Alfasayısal"
"Alphabetical","Alfabetik"
"Numeric","Sayısal"
"The maximum generated code length is 255. Please correct your settings.","Oluşturulan maksimum kod uzunluğu 255'dir. Lütfen ayarlarınızı düzeltin."
"Gift Cards","Hediye kartları"
"test message","deneme mesajı"
"Generate","Üret"
"Code Pool used: ","Kullanılan Kod Havuzu: "
" (free "," (ücretsiz "
" of "," dan "
" total)."," toplam)."
"Are you sure you want to continue without saving your changes?","Değişikliklerinizi kaydetmeden devam etmek istediğinizden emin misiniz?"
"Refund Gift Cards to Store Credit","Kredi Yükleme için Hediye Kartı İadesi"
"Add Gift Card","Hediye Kartı Ekle"
"Remove","Kaldır"
"Gift Card (%1)","Hediye kartı (%1)"
"This won't take long . . .","Uzun sürmeyecek. . ."
"Enter gift card code","Hediye kartı kodunu girin"
"Redeem Gift Card","Hediye Kartını kullan"
"Check status and balance","Durumunu ve bakiyesini kontrol et"
"Have a gift card? ","Hediye kartı var mı? "
"Click here","Buraya tıklayın"
" to redeem it."," kurtarmak için."
"Enter the gift card code","Hediye çeki kodu giriniz"
"Check Gift Card status and balance","Hediye Kartı durumunu ve bakiyesini kontrol et"
"Gift Card: ","Hediye kartı: "
"Current Balance: ","Mevcut Bakiye: "
"Expires: ","Son Geçerlilik Tarihi: "
"Please enter a valid gift card code.","Lütfen geçerli bir hediye kartı kodu girin."
"Add or remove gift cards","Hediye kartı ekleyin veya kaldırın"
"Gift Card amount applied to order:","Siparişe uygulanan Hediye Kartı tutarı:"
"You've been sent a gift from %store_name","% Mağaza_isim'den hediye gönderildi"
"%name,","%isim,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","%store_name adresinde kullanılmak üzere bir hediye kartı gönderdin ve artık satın alma işlemleri için kullanılmaya hazır."
"Gift Card Code: %code","Hediye Kart Kodu: %code"
"The card has a balance of %balance and can be used at ","Kartın bakiyesi %balance kadardır ve şu adresten kullanılabilir "
"%store_name","%store_name"
"Apply Gift Card","Hediye Kartı Uygula"
"Gift Card:","Hediye kartı:"
"Apply","Onayla"
"See Balance","Bakiyeyi Gör"
"Gift Card amount applied to order: ","Siparişe uygulanan Hediye Kartı tutarı: "
"Email Sent from Gift Card Account Management","Hediye Kartı Hesap Yönetimi'nden Gönderilen E-posta"
"Gift Card Email Sender","Hediye Kartı E-posta Göndericisi"
"Gift Card Template","Hediye Kartı Şablonu"
"Gift Card Account General Settings","Hediye Kartı Hesabı Genel Ayarları"
"Code Length","Kod Uzunluğu"
"Excluding prefix, suffix and separators.","Önek, sonek ve ayraçlar hariç."
"Code Format","Kod Biçimi"
"Code Prefix","Kod Öneki"
"Code Suffix","Kod Soneki"
"Dash Every X Characters","Her X Karakterde bir tire (-) kullan"
"if empty no separation","boş ise bölünme yok"
"New Pool Size","Yeni Havuz Boyutu"
"Low Code Pool Threshold","Düşük Kod Havuzu Eşiği"
"IMPORTANT: Be sure to save your configuration before running generation process.","ÖNEMLİ: Üretim sürecini çalıştırmadan önce yapılandırmanızı kaydedin."
"CSV","Csv"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Bu hediye kartı hesaplarını silmek istediğinizden emin misiniz?"
"Code","Kod"
"End","Bitir"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","Invalid Request"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Too many attempts, please try again later.","Too many attempts, please try again later."
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The gift card couldn't be deleted from the quote.","The gift card couldn't be deleted from the quote."
"Requiring a composite gift card account.","Requiring a composite gift card account."
"The gift card code couldn't be added. Verify your information and try again.","The gift card code couldn't be added. Verify your information and try again."
"The gift card code is either incorrect or expired. Verify and try again.","The gift card code is either incorrect or expired. Verify and try again."
"Gift Card %1 was removed.","Gift Card %1 was removed."
"Gift card not found","Gift card not found"
"Gift card account is not redeemable.","Gift card account is not redeemable."
"Cannot find the customer to update balance","Cannot find the customer to update balance"
