"Gift Card Accounts","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಗಳು"
"Used","ಬಳಸಿದೆ"
"Redeemed","Redeemed"
"Expired","ಕಾಲಾವಧಿ ಅಂತ್ಯಗೊಂಡಿದೆ"
"Please enter a valid customer ID.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಗ್ರಾಹಕರ IDಯನ್ನು ನಮೂದಿಸಿ."
"Gift Card Redeemed: %1. For customer #%2.","Gift Card Redeemed: %1. For customer #%2."
"Created","ರಚಿಸಿದೆ"
"Updated","ಪರಿಷ್ಕರಿಸಿದೆ"
"Sent","ಕಳುಹಿಸಲಾಗಿದೆ"
"Order #%1.","ವ್ಯಾಪಾರಾದೇಶ #%1."
"Recipient: %1.","ಸ್ವೀಕೃತಿದಾರ:%1."
"Customer #%1.","ಗ್ರಾಹಕರು #%1."
"Please assign a gift card account.","Please assign a gift card account."
"Unknown history action.","Unknown history action."
"We were unable to create full code pool size. Please check settings and try again.","We were unable to create full code pool size. Please check settings and try again."
"No codes left in the pool.","No codes left in the pool."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","ಅಕ್ಷರಾಂಕೆಗಳು"
"Alphabetical","ಅಕ್ಷರಸಂಕೇತಗಳು"
"Numeric","Numeric"
"The maximum generated code length is 255. Please correct your settings.","The maximum generated code length is 255. Please correct your settings."
"Gift Cards","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಗಳು"
"test message","test message"
"Generate","ಉತ್ಪಾದಿಸಿ"
"Code Pool used: ","Code Pool used: "
" (free "," (free "
" of "," of "
" total)."," total)."
"Are you sure you want to continue without saving your changes?","ನಿಮ್ಮ ಬದಲಾವಣೆಗಳನ್ನು ಉಳಿಸದೆಯೇ ಮುಂದುವರೆಯಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Refund Gift Cards to Store Credit","Refund Gift Cards to Store Credit"
"Add Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸೇರಿಸಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Gift Card (%1)","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ (%1)"
"This won't take long . . .","ಇದು ಹೆಚ್ಚು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುವುದಿಲ್ಲ."
"Enter gift card code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತವನ್ನು ನಮೂದಿಸಿ"
"Redeem Gift Card","Redeem Gift Card"
"Check status and balance","ಸ್ಥಿತಿ ಮತ್ತು ಬಾಕಿಯನ್ನು ಪರೀಕ್ಷಿಸಿ"
"Have a gift card? ","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಹೊಂದಿರುವಿರಾ? "
"Click here","ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
" to redeem it."," to redeem it."
"Enter the gift card code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತವನ್ನು ನಮೂದಿಸಿ"
"Check Gift Card status and balance","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸ್ಥಿತಿ ಮತ್ತು ಬಾಕಿಯನ್ನು ಪರೀಕ್ಷಿಸಿ"
"Gift Card: ","ಗಿಫ್ಟ್ ಕಾರ್ಡ್: "
"Current Balance: ","ಪ್ರಸ್ತುತ ಬಾಕಿ: "
"Expires: ","ಕಾಲಾವಧಿಯ ಅಂತ್ಯ: "
"Please enter a valid gift card code.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತವನ್ನು ನಮೂದಿಸಿ."
"Add or remove gift cards","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಗಳನ್ನು ಸೇರಿಸಿ ಅಥವಾ ತೆಗೆದುಹಾಕಿ"
"Gift Card amount applied to order:","Gift Card amount applied to order:"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","You've been sent a gift card for use at %store_name and it is now ready to be used for purchases."
"Gift Card Code: %code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತ: %code"
"The card has a balance of %balance and can be used at ","The card has a balance of %balance and can be used at "
"%store_name","%store_name"
"Apply Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Gift Card:","ಗಿಫ್ಟ್ ಕಾರ್ಡ್:"
"Apply","ಅನ್ವಯಿಸಿ"
"See Balance","ಬಾಕಿಯನ್ನು ವೀಕ್ಷಿಸಿ"
"Gift Card amount applied to order: ","Gift Card amount applied to order: "
"Email Sent from Gift Card Account Management","Email Sent from Gift Card Account Management"
"Gift Card Email Sender","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಮಿಂಚೆ ರವಾನೆದಾರ"
"Gift Card Template","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ನ ಮಾದರಿ"
"Gift Card Account General Settings","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯ ಸಾಮಾನ್ಯ ಸಂಯೋಜನೆಗಳು"
"Code Length","ಸಂಕೇತದ ಉದ್ದ"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","ಸಂಕೇತದ ಮಾದರಿ"
"Code Prefix","ಸಂಕೇತದ ಪೂರ್ವಪ್ರತ್ಯಯ"
"Code Suffix","ಸಂಕೇತದ ಅಂತ್ಯಪ್ರತ್ಯಯ"
"Dash Every X Characters","Dash Every X Characters"
"if empty no separation","if empty no separation"
"New Pool Size","New Pool Size"
"Low Code Pool Threshold","Low Code Pool Threshold"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANT: Be sure to save your configuration before running generation process."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","ಈ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಗಳನ್ನು ನೀವು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಲು ಬಯಸುತ್ತೀರ?"
"Code","ಸಂಕೇತ"
"End","ಕೊನೆಗೊಳಿಸಿ"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","ಅಸಿಂಧುವಾದ ವಿನಂತಿ"
"Incorrect CAPTCHA","ಅಸಿಂಧುವಾದ CAPTCHA"
"Too many attempts, please try again later.","ಅತಿ ಹೆಚ್ಚಿನ ಪ್ರಯತ್ನಗಳು, ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The gift card couldn't be deleted from the quote.","The gift card couldn't be deleted from the quote."
"Requiring a composite gift card account.","Requiring a composite gift card account."
"The gift card code couldn't be added. Verify your information and try again.","The gift card code couldn't be added. Verify your information and try again."
"The gift card code is either incorrect or expired. Verify and try again.","The gift card code is either incorrect or expired. Verify and try again."
"Gift Card %1 was removed.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ %1 ಅನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"Gift card not found","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಕಂಡುಬಂದಿಲ್ಲ"
"Gift card account is not redeemable.","Gift card account is not redeemable."
"Cannot find the customer to update balance","Cannot find the customer to update balance"
