"First-Class Mail Large Envelope","Birinci-Sınıf Posta Büyük Zarf"
"Priority Mail Flat Rate Envelope Hold For Pickup","Öncelikli Posta Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Gift Card Flat Rate Envelope","Öncelikli Posta Hediye Çeki Sabit Fiyat Zarf"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Öncelikli Posta Hediye Çeki Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Window Flat Rate Envelope","Öncelikli Posta Çerçeve Sabit Fiyat Zarf"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Öncelikli Posta Çerçeve Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Small Flat Rate Envelope","Öncelikli Posta Küçük Sabit Fiyat Zarf"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Öncelikli Posta Küçük Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Legal Flat Rate Envelope","Öncelikli Posta Resmi Sabit Fiyat Kutu Zarf"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Öncelikli Posta Resmi Sabit Fiyat Kutu Zarf Alınmayı Bekleyen"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Öncelikli Posta Yalıtılmış Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Regional Rate Box A","Öncelikli Posta Bölgesel Fiyat Kutu A"
"Priority Mail Regional Rate Box A Hold For Pickup","Öncelikli Posta Bölgesel Fiyat Kutu A Alınmayı Bekleyen"
"Priority Mail Regional Rate Box B","Öncelikli Posta Bölgesel Fiyat Kutu B"
"Priority Mail Regional Rate Box B Hold For Pickup","Öncelikli Posta Bölgesel Fiyat Kutu B Alınmayı Bekleyen"
"First-Class Package Service Hold For Pickup","Birinci-Sınıf Paket Servis Alınmayı Bekleyen"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Öncelikli Posta Express Hafta Sonu/Tatil Gönderimi Sabit Fiyat Kutular"
"Priority Mail Regional Rate Box C","Öncelikli Posta Bölgesel Fiyat Kutu C"
"Priority Mail Regional Rate Box C Hold For Pickup","Öncelikli Posta Bölgesel Fiyat Kutu C Alınmayı Bekleyen"
"First-Class Package Service","Birinci-Sınıf Paket Servis"
"Priority Mail Express Padded Flat Rate Envelope","Öncelikli Posta Express Yalıtılmış Sabit Fiyat Zarf"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Öncelikli Posta Express Yalıtılmış Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Öncelikli Posta Express Hafta Sonu/Tatil Gönderimi Yalıtılmış Sabit Fiyat Zarf"
"Priority Mail Express International","Öncelikli Posta Express Uluslararası"
"Priority Mail International","Öncelikli Posta Uluslararası"
"Global Express Guaranteed (GXG)","Global Express Garantili (GXG)"
"Global Express Guaranteed Document","Global Express Garantili Doküman"
"Global Express Guaranteed Non-Document Rectangular","Global Express Garantili Doküman olmayan Dikdörtgen"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Garantili Doküman olmayan Dikdörtgen olmayan"
"Priority Mail International Flat Rate Envelope","Öncelikli Posta Uluslararası Sabit Fiyat Zarf"
"Priority Mail International Medium Flat Rate Box","Öncelikli Posta Uluslararası Orta Sabit Fiyat Kutu"
"Priority Mail Express International Flat Rate Envelope","Öncelikli Posta Express Uluslararası Sabit Fiyat Zarf"
"Priority Mail International Large Flat Rate Box","Öncelikli Posta Uluslararası Büyük Sabit Fiyat Kutu"
"USPS GXG Envelopes","USPS GXG Zarfları"
"First-Class Mail International Letter","Birinci-Sınıf Posta Uluslararası Mektup"
"First-Class Mail International Large Envelope","Birinci-Sınıf Posta Uluslararası Büyük Dosya"
"First-Class Package International Service","Birinci-Sınıf Paket Uluslararası Servis"
"Priority Mail International Small Flat Rate Box","Öncelikli Posta Uluslararası Küçük Sabit Fiyat Kutu"
"Priority Mail Express International Legal Flat Rate Envelope","Öncelikli Posta Express Uluslararası Resmi Sabit Fiyat Zarf"
"Priority Mail International Gift Card Flat Rate Envelope","Öncelikli Posta Uluslararası Hediye Çeki Sabit Fiyat Zarf"
"Priority Mail International Window Flat Rate Envelope","Öncelikli Posta Uluslararası Çerçeve Sabit Fiyat Zarf"
"Priority Mail International Small Flat Rate Envelope","Öncelikli Posta Uluslararası Küçük Sabit Fiyat Zarf"
"First-Class Mail International Postcard","Birinci-Sınıf Posta Uluslararası Kartpostal"
"Priority Mail International Legal Flat Rate Envelope","Öncelikli Posta Uluslararası Resmi Sabit Fiyat Zarf"
"Priority Mail International Padded Flat Rate Envelope","Öncelikli Posta Uluslararası Yalıtılmış Sabit Fiyat Zarf"
"Priority Mail International DVD Flat Rate priced box","Öncelikli Posta Uluslararası DVD Sabit Fiyatlandırımış kutu"
"Priority Mail International Large Video Flat Rate priced box","Öncelikli Posta Uluslararası Büyük Video Sabit Fiyatlandırılmış kutu"
"Priority Mail Express International Padded Flat Rate Envelope","Öncelikli Posta Express Uluslararası Yalıtılmış Sabit Fiyat Zarf"
"Letter","Mektup"
"Flat","Sabit"
"Parcel","Paket"
"Variable","Değişken"
"Small Flat-Rate Box","Küçük Düz Oran Kutusu"
"Medium Flat-Rate Box","Orta Düz Demiryolu Kasası"
"Large Flat-Rate Box","Büyük Düz Daire kutusu"
"Flat-Rate Envelope","Sabit Fiyatlı Zarf"
"Small Flat-Rate Envelope","Küçük Sabit oranlı zarf"
"Window Flat-Rate Envelope","Pencere sabit oranlı zarf"
"Gift Card Flat-Rate Envelope","Hediye kartı sabit oranlı zarf"
"Legal Flat-Rate Envelope","Yasal sabit oranlı zarf"
"Padded Flat-Rate Envelope","Yastıklı sabit oranlı zarf"
"Rectangular","Dikdörtgen"
"Non-rectangular","Dikdörtgen olmayan"
"Regular","Düzenli"
"Large","Büyük"
"Yes","Evet"
"No","Hayır"
"Not Required","Zorunlu Değil"
"Required","zorunlu"
"For some reason we can't retrieve tracking info right now.","Belirlenemeyen bir nedenle şu anda izleme bilgisi alınamıyor."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Üzgünüm, bir şeyler ters gitti. Lütfen tekrar deneyin veya bize ulaşın, yardım etmeye çalışacağız."
"track_summary","parça özeti"
"Empty response","Boş cevap"
"Service type does not match","Hizmet tipi eşleşmiyor"
"Merchandise","Mal"
"Sample","Örnek"
"Gift","Hediye"
"Documents","Dokümanlar"
"Return","İade"
"Other","Diğer"
"None","Hiçbiri"
"Field ","Alan "
" is required."," gereklidir."
"USPS","USPS"
"Enabled for Checkout","Alışveriş için Aktif edildi"
"Gateway URL","Geçit URL"
"Secure Gateway URL","Güvenli Geçit URL"
"Title","Başlık"
"User ID","Kullanıcı ID"
"Password","Şifre"
"Mode","Kip"
"Packages Request Type","Paketler İstek Tipi"
"Container","Çerçeve"
"Size","Boyut"
"Width","Genişlik"
"Length","Uzunluk"
"Height","Yükseklik"
"Girth","Çevre"
"Machinable","İşlenebilir"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","En fazla Paket Ağırlığı (Lütfen kargo firmanızdan taşınabilecek en yüksek paket ağırlığını danışınız.)"
"Calculate Handling Fee","Teslim Alma Ücretini Hesapla"
"Handling Applied","Teslim Alma Uygulandı"
"Handling Fee","Teslim Alma Ücreti"
"Allowed Methods","İzin Verilen Yöntemler"
"Free Method","Ücretsiz Yöntem"
"Enable Free Shipping Threshold","Ücretsiz Nakliye Eşiği'ni etkinleştirin"
"Free Shipping Amount Threshold","Ücretsiz Nakliye Tutarı Eşiği"
"Displayed Error Message","Gösterilen hata mesajı"
"Ship to Applicable Countries","Mümkün olan Tüm Ülkelere Teslimat"
"Ship to Specific Countries","Sadece Belirlenen Ülkelere Teslimat"
"Debug","Hata düzeltme"
"Show Method if Not Applicable","Uygun Olmadığında da Yöntemi Göster"
"Sort Order","Sıralama"
"First-Class Mail Parcel","First-Class Mail Parcel"
"Flat-Rate Box","Flat-Rate Box"
"Standard Post","Standard Post"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
