"First-Class Mail Large Envelope","First-Class Mail grote envelop"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate Envelope"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope"
"First-Class Mail International Postcard","First-Class Mail internationale ansichtkaart"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International DVD Flat Rate priced box","Vast tarief Priority Mail International DVD doos"
"Priority Mail International Large Video Flat Rate priced box","Vast tarief Priority Mail International grote video doos"
"Priority Mail Express International Padded Flat Rate Envelope","Vast tarief Priority Mail Express International padded envelope"
"Letter","Brief"
"Flat","Gelijk"
"Parcel","Pakket"
"Variable","Variabel"
"Small Flat-Rate Box","Kleine vast-bedrag doos"
"Medium Flat-Rate Box","Gemiddelde vast-bedrag doos"
"Large Flat-Rate Box","Grote vast-bedrag doos"
"Flat-Rate Envelope","Gelijk-tarief enveloppe"
"Small Flat-Rate Envelope","Kleine vast-bedrag envelop"
"Window Flat-Rate Envelope","Geraamde vast-bedrag envelop"
"Gift Card Flat-Rate Envelope","Cadeaubon vast-bedrag envelop"
"Legal Flat-Rate Envelope","Wettelijke vast-bedrag envelop"
"Padded Flat-Rate Envelope","Padded vast-bedrag envelop"
"Rectangular","Rechthoekig"
"Non-rectangular","Niet rechthoekig"
"Regular","Normaal"
"Large","Groot"
"Yes","Ja"
"No","Nee"
"Not Required","Niet verplicht"
"Required","Vereist"
"For some reason we can't retrieve tracking info right now.","Om een of andere reden kunnen we nu geen tracking info ophalen."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Er is iets fout gegaan. Probeer opnieuw of neem contact ons en wij zullen je helpen."
"track_summary","track_summary"
"Empty response","Leeg antwoord"
"Service type does not match","Service type komt niet overeen"
"Merchandise","Merchandise"
"Sample","demo"
"Gift","Kado"
"Documents","Documenten"
"Return","Retourzending"
"Other","Andere"
"None","Geen"
"Field ","Veld "
" is required."," is verplicht."
"USPS","USPS"
"Enabled for Checkout","Ingeschakeld bij Afrekenen"
"Gateway URL","Betaalplatform URL"
"Secure Gateway URL","Secure Gateway URL"
"Title","Titel"
"User ID","Gebruiker-ID"
"Password","Wachtwoord"
"Mode","Type"
"Packages Request Type","Packages Request Type"
"Container","Container"
"Size","Grootte"
"Width","Breedte"
"Length","Lengte"
"Height","Hoogte"
"Girth","Omtrek"
"Machinable","Machinaal"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum pakketgewicht (Vraag je transportbedrijf naar het maximaal toegestane pakketgewicht)"
"Calculate Handling Fee","Verzendkosten berekenen"
"Handling Applied","Verwerkingskosten toegepast"
"Handling Fee","Verwerkingskosten"
"Allowed Methods","Toegestane methodes"
"Free Method","Gratis methode"
"Enable Free Shipping Threshold","Free Shipping Threshold inschakelen"
"Free Shipping Amount Threshold","Maximaal bedrag voor gratis verzending"
"Displayed Error Message","Weergeven foutbericht"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Debug","Fouten opsporen"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Sort Order","Sorteervolgorde"
"First-Class Mail Parcel","First-Class Mail pakket"
"Flat-Rate Box","Gelijk-tarief doos"
"Standard Post","Standaard verzending"
"Priority Mail Express Flat Rate Boxes","Vast tarief Priority Mail expres doos"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Vast tarief Priority Mail expres doos - vasthouden voor afhalen"
"Priority Mail Express International Flat Rate Boxes","Vast tarief Priority Mail Express International doos"
