"Integrations","Integrasi"
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","gelar"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Ada yang salah saat menghapus tugas dan izin. Anda bisa mengetahui lebih lanjut dalam catatan pengecualian."
"%fieldName is a required field.","%fieldName is a required field."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Tidak aktif"
"Active","Aktif"
"Reset","Atur ulang"
"Integration with name '%1' exists.","Integration with name '%1' exists."
"Integration with ID '%1' does not exist.","Integration with ID '%1' does not exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Satu atau lebih <a href=""%1"">integrasi</a> telah di atur ulang karena perubahan pada xml configs mereka."
"Invalid Callback URL","Panggilan kembali URL tidak benar"
"Invalid Rejected Callback URL","Penolakan pemanggilan kembali URL tidak benar"
"Incorrect timestamp value in the oauth_timestamp parameter","Nilai timestamp yang tidak benar di oauth_timestamp parameter"
"The nonce is already being used by the consumer with ID %1","Nonce sudah dipergunkan oleh pelanggan dengan ID %1"
"An error occurred validating the nonce","Kesalahan terjadi saat memvalidasi nonce"
"Cannot convert to access token due to token is not request type","Tidak bisa mengubah untuk mengakses token karena token bukan jenis yang diminta"
"Consumer key has expired","Kunci konsumen telah kedaluwarsa"
"Cannot create request token because consumer token is not a verifier token","Tidak dapat membuat permintaan token karena konsumen token tidak verifier token"
"Request token is not associated with the specified consumer","Request token tidak terkait dengan konsumen yang ditentukan"
"Token is already being used","Token sudah digunakan"
"Cannot get access token because consumer token is not a request token","Tidak bisa mendapatkan akses token karena konsumen token bukan permintaan token"
"Token is not associated with the specified consumer","Token ini tidak berhubungan dengan konsumen yang ditentukan"
"Token is not an access token","Token ini tidak akses token"
"Access token has been revoked","Akses token telah dicabut"
"Consumer key is not the correct length","Kunci konsumen adalah tidak benar panjang"
"A consumer having the specified key does not exist","Konsumen yang memiliki kunci tertentu tidak ada"
"Verifier is invalid","Verifier ini tidak valid"
"Verifier is not the correct length","Verifier ini tidak benar panjang"
"Token verifier and verifier token do not match","Token verifier dan verifier token tidak sesuai"
"A consumer with the ID %1 does not exist","Konsumen dengan ID %1 tidak ada"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","Ditentukan token tidak ada"
"A token with consumer ID %1 does not exist","Token dengan konsumen ID %1 tidak ada"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","Tanda tidak valid kecuali"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","Token dengan konsumen ID 0 tidak ada"
"The integration you selected asks you to approve access to the following:","Integrasi yang anda pilih akan meminta anda untuk menyetujui akses ke berikut:"
"No permissions requested","Tidak ada izin yang diminta"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","Apakah anda yakin anda ingin menghapus integrasi ini? Anda tidak dapat membatalkan tindakan ini."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Silakan pengaturan atau masuk ke situs pihak ke-3 akun untuk menyelesaikan setup dari integrasi ini."
"Available APIs","Tersedia Api"
"Resource Access","Akses Sumber"
"Custom","Khusus"
"All","Semua"
"Resources","Sumber daya"
"Sorry, something went wrong. Please try again later.","Maaf, sesuatu yang tidak beres. Harap coba lagi nanti."
"Popup Blocker is enabled! Please add this site to your exception list.","Popup Blocker diaktifkan! Silakan tambahkan situs ini ke daftar pengecualian."
"Allow","Izinkan"
"Done","Selesai"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Ekstensi"
"OAuth","OAuth"
"Access Token Expiration","Token Akses Tanggal Kedaluwarsa"
"Customer Token Lifetime (hours)","Pelanggan Token Lifetime (jam)"
"Admin Token Lifetime (hours)","Admin Token Lifetime (jam)"
"Cleanup Settings","Pengaturan Pembersihan"
"Cleanup Probability","Pembersihan Probabilitas"
"Expiration Period","Masa Kadaluarsa"
"Consumer Settings","Konsumen Setelan"
"OAuth consumer credentials HTTP Post maxredirects","Konsumen OAuth kredensial HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","Konsumen OAuth kredensial HTTP Post timeout"
"Authentication Locks","Otentikasi Kunci"
"Maximum Login Failures to Lock Out Account","Login Maksimum Gagal untuk Mengunci Rekening"
"Lockout Time (seconds)","Waktu mengunci (detik)"
"Integrations Configuration","Konfigurasi Integrasi"
"Integration configuration file","Berkas Konfigurasi Integrasi"
"Integrations API Configuration","Konfigurasi Integrasi API"
"Integrations API configuration file","Konfigurasi Integrasi berkas API"
"We couldn't find any records.","Kami tidak bisa menemukan catatan apapun."
"Status","Keadaan"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","Apakah Anda Yakin?"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
