"Integrations","Integrace"
"Reset","Obnovit"
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Jedna nebo více <a href=""%1"">integrací</a> byly resetovány, protože došlo ke změně jejich konfiguračních XML souborů."
"Invalid Callback URL","Neplatná URL pro zpětné volání"
"Invalid Rejected Callback URL","Neplatná URL pro odmítnutí zpětného volání"
"Incorrect timestamp value in the oauth_timestamp parameter","Neplatná hodnota časového razítka v parametru oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Hodnota nonce je již používána spotřebitelem s ID %1"
"An error occurred validating the nonce","Při ověřování nonce nastala chyba"
"Cannot convert to access token due to token is not request type","Nelze převést do aplikace access token z tokenu není typ požadavku"
"Consumer key has expired","Platnost klíče vypršela"
"Cannot create request token because consumer token is not a verifier token","Nelze získat token požadavku, protože token zákazníka není token ověření"
"Request token is not associated with the specified consumer","Token požadavku není přiřazen zadanému zákazníkovi"
"Token is already being used","Token je již používán"
"Cannot get access token because consumer token is not a request token","Nelze získat přístupový token, protože token zákazníka není token požadavku"
"Token is not associated with the specified consumer","Token není přiřazen zadanému zákazníkovi"
"Token is not an access token","Token není přístupový token"
"Access token has been revoked","Přístupový token byl odvolán"
"Consumer key is not the correct length","Klíč spotřebitele nemá správnou délku"
"A consumer having the specified key does not exist","Zákazník s tímto klíčem neexistuje"
"Verifier is invalid","Ověřovatel je neplatný"
"Verifier is not the correct length","Ověřovatel nemá správnou délku"
"Token verifier and verifier token do not match","Tokeny ověřovatele se neshodují"
"A consumer with the ID %1 does not exist","Spotřebitel s ID %1 neexistuje"
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"Specified token does not exist","Zadaný token neexistuje"
"A token with consumer ID %1 does not exist","Token se zákaznickým ID %1 neexistuje"
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Invalid token to except","Neplatný token"
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"A token with consumer ID 0 does not exist","Token se spotřebitelským ID 0 neexistuje"
"The integration you selected asks you to approve access to the following:","Zvolená integrace požaduje schválení přístupu k následujícímu:"
"No permissions requested","Nejsou vyžadována žádná oprávnění"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Are you sure you want to delete this integration? You can't undo this action.","Skutečně chcete tuto integraci odstranit? Tuto akci nelze vzít zpět."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Nastavte prosím nebo se přihlaste k účtu třetí strany k dokončení instalace této integrace."
"Available APIs","Dostupná API"
"Resource Access","Zdroj přístupu"
"Custom","Vlastní"
"All","Vše"
"Resources","Zdroje"
"Sorry, something went wrong. Please try again later.","Něco se nezdařilo. Zkuste to znovu."
"Popup Blocker is enabled! Please add this site to your exception list.","Je povoleno blokování vyskakovacích oken! Prosím, přidejte tento web do seznamu výjimek."
"Allow","Povolit"
"Done","Hotovo"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Rozšíření"
"OAuth","OAuth"
"Access Token Expiration","Access Token Expiration"
"Customer Token Lifetime (hours)","Customer Token Lifetime (hours)"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Admin Token Lifetime (hours)","Admin Token Lifetime (hours)"
"Cleanup Settings","Nastavení úklidu"
"Cleanup Probability","Pravděpodobnost úklidu"
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Expiration Period","Období platnosti"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer Settings","Nastavení uživatele"
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"OAuth consumer credentials HTTP Post maxredirects","HTTP Post maxredirects pro OAuth pověření spotřebitele"
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"OAuth consumer credentials HTTP Post timeout","HTTP Post časový limit pro OAuth pověření spotřebitele"
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Authentication Locks","Authentication Locks"
"Maximum Login Failures to Lock Out Account","Maximum Login Failures to Lock Out Account"
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Lockout Time (seconds)","Lockout Time (seconds)"
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"Integrations Configuration","Nastavení propojení"
"Integration configuration file","Konfigurační soubor integrace."
"Integrations API Configuration","API nastavení integrace"
"Integrations API configuration file","Konfigurační soubor API integrace"
"We couldn't find any records.","Nebyly nalezeny žádné záznamy."
"Status","Stav"
"Delete","Delete"
