"Integrations","Integraties"
"Cannot get access token because consumer token is not a request token","Kan geen toegangssleutel aanmaken omdat de gebruikerssleutel geen geldige aanvraagsleutel is"
"Token is not associated with the specified consumer","Sleutel is niet gekoppeld aan de opgegeven gebruiker"
"Token is not an access token","Token is niet een toegangstoken"
"Access token has been revoked","Toegangstoken is ingetrokken"
"Consumer key is not the correct length","Gebruikerssleutel heeft een onjuiste lengte"
"A consumer having the specified key does not exist","Er bestaat geen gebruiker voor de opgegeven sleutel"
"Verifier is invalid","Verificateur is ongeldig"
"Verifier is not the correct length","Verificatie is niet de juiste lengte"
"Token verifier and verifier token do not match","Sleutel verificateur en verificatiesleutel komen niet overeen"
"A consumer with the ID %1 does not exist","Een gebruiker met het ID %1 bestaat niet"
"Token is not the correct length","Token is niet de juiste lengte"
"Specified token does not exist","Opgegeven token bestaat niet"
"A token with consumer ID %1 does not exist","Een token met gebruikers ID %1 bestaat niet"
"Unexpected error. Unable to create oAuth consumer account.","Onverwachte fout. Onmogelijk om oAuth gebruikersaccount aan te maken."
"Unexpected error. Unable to load oAuth consumer account.","Onverwachte fout. Onmogelijk om oAuth gebruikersaccount te laden."
"Unable to post data to consumer due to an unexpected error","Niet mogelijk om post data naar gebruiker te versturen omwille van een onverwachte fout"
"Consumer with ID '%1' does not exist.","Gebruiker met ID '%1' bestaat niet."
"Invalid token to except","Ongeldig uit te sluiten teken"
"Integration with ID '%1' doesn't exist.","Integratie met ID '%1' bestaat niet."
"Your account is temporarily disabled.","Je account is tijdelijk uitgeschakeld."
"You have entered an invalid password for current user.","Je hebt een ongeldig wachtwoord voor de huidige gebruiker ingevoerd."
"A token with consumer ID 0 does not exist","Een sleutel met gebruikersID 0 bestaat niet"
"The integration you selected asks you to approve access to the following:","De geselecteerde integratie heeft volgende goedkeuring nodig:"
"No permissions requested","Geen bevoegdheden opgevraagd"
"Are you sure ?","Weet je het zeker ?"
"Are you sure you want to delete this integration? You can't undo this action.","Weet je zeker dat je wil deze integratie verwijderen wilt? Je kan deze actie niet ongedaan maken."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Configureer of log in op de website van de andere partij om de configuratie van de integratie te voltooien."
"Available APIs","Beschikbare API 's"
"Resource Access","Toegang tot bron"
"Custom","Aangepast"
"All","Alle"
"Resources","Bronnen"
"Sorry, something went wrong. Please try again later.","Er ging iets mis. Probeer het later opnieuw."
"Popup Blocker is enabled! Please add this site to your exception list.","Popup Blocker is ingeschakeld! Voeg deze site toe aan je lijst met uitzonderingen."
"Allow","Toestaan"
"Done","Gereed"
"System Extensions","Systeem extensies"
"System Integrations","Systeem integraties"
"Extensions","Uitbreidingen"
"OAuth","OAuth"
"Access Token Expiration","Levensduur toegangstoken"
"Customer Token Lifetime (hours)","Klant token levensduur (uur)"
"Admin Token Lifetime (hours)","Admin token levensduur (uur)"
"Cleanup Settings","Opruim-instellingen"
"Cleanup Probability","Opruim-waarschijlijkheid"
"Expiration Period","Verloop-periode"
"Consumer Settings","Consument instellingen"
"OAuth consumer credentials HTTP Post maxredirects","OAuth gebruikersgegevens HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth gebruikersgegevens HTTP Post timeout"
"Authentication Locks","Authenticatie vergrendeling"
"Maximum Login Failures to Lock Out Account","Maximaal aantal foute logins om het account te vergrendelen"
"Lockout Time (seconds)","Duur vergrendeling (seconden)"
"Integrations Configuration","Configuratie integraties"
"Integration configuration file","Integratie configuratie bestand"
"Integrations API Configuration","Integratie API configuratie"
"Integrations API configuration file","Integraties API configuratiebestand"
"We couldn't find any records.","Geen record(s) gevonden."
"Status","status"
"Integration configuration file.","Integratie configuratie bestand."
"Integrations API configuration file.","Integraties API configuratiebestand."
"No Integrations Found","Geen integraties gevonden"
"Are you sure?","Weet je het zeker?"
"We will disable this feature if the value is empty.","Functie wordt uitgeschakeld als de waarde leeg is."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Geheel getal. Start Schijfopruiming in X OAuth aanvragen. 0 (niet aanbevolen) - uitschakelen Schijfopruiming"
"Cleanup entries older than X minutes.","Cleanup acties ouder dan X minuten."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consument sleutel/geheim vervalt als het niet gebruikt wordt binnen de X seconden na Oauth token uitwisseling begint."
"Number of maximum redirects for OAuth consumer credentials Post request.","Aantal maximale redirects voor OAuth consument referenties Post-aanvraag."
"Timeout for OAuth consumer credentials Post request within X seconds.","Time-out voor OAuth consument referenties Post-aanvraag binnen X seconden."
"Maximum Number of authentication failures to lock out account.","Maximum aantal verificatiefouten om account te sluiten."
"Period of time in seconds after which account will be unlocked.","Tijdsperiode in seconden waarna het account zal worden ontgrendeld."
"The integrations created in the config file can't be edited.","De integraties aangemaakt via de config file kunnen niet worden gewijzigd."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Een gebruiker met het ID ""%1"" bestaat niet. Controleer het ID en probeer het nogmaals."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","De account aanmelding is onjuist of je account is tijdelijk uitgeschakeld. Wacht en probeer het later opnieuw."
"The tokens couldn't be revoked.","De tokens konden niet worden ingetrokken."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Er is een fout opgetreden tijdens de poging om machtigingen toe te kennen. Voor details zie de uitzonderingen log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is verplicht. Voer in en probeer het nogmaals."
"The integration with name ""%1"" exists.","De integratie met naam ""%1"" bestaat."
"The integration with ID ""%1"" doesn't exist.","De integratie met ID-""%1"" bestaat niet."
"The token length is invalid. Check the length and try again.","De token lengte is ongeldig. Controleer de lengte en probeer het opnieuw."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Het oAuth-gebruikeraccount kon niet worden aangemaakt door een onverwachte fout. Probeer het later het opnieuw."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Het oAuth-gebruikeraccount kon niet worden geladen door een onverwachte fout. Probeer het later opnieuw."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","De poging om gegevens naar de consument te posten is mislukt vanwege een onverwachte fout. Probeer het later opnieuw."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Een gebruiker met het ID ""%1"" bestaat niet. Controleer het ID en probeer het nogmaals."
"Your account is temporarily disabled. Please try again later.","Je account is tijdelijk uitgeschakeld. Probeer het later opnieuw."
"The password entered for the current user is invalid. Verify the password and try again.","Het ingevoerde wachtwoord voor de huidige gebruiker is ongeldig. Controleer het wachtwoord en probeer het opnieuw."
