"Back","Geri"
"It's time to <a href=""%1"">change your password</a>.","<a href=""%1"">Parolanı değiştir</a>me zamanı."
"Your password has expired; please contact your administrator.","Şifrenizin süresi doldu; lütfen yöneticinizle iletişime geçin."
"Password Help","Parola yardımı"
"Enter your email address.  You will receive an email with a link to reset your password.","Email adresinizi giriniz. Parolanızı sıfırlamak için bağlantı içeren bir e-posta alacaksınız."
"Email address","E-posta adresi"
"Retrieve Password","Şifre Getir"
"Back to Sign in","Oturum açmak için geri dön"
"Forgot your password?","Şifrenizi mi Unuttunuz?"
"Reset a Password","Şifre Sıfırla"
"Confirm New Password","Yeni Şifreyi Onayla"
"Reset Password","Şifre Sıfırla"
"Roles Resources","Yetki Sınıfı Kaynakları"
"Resource Access","Kaynak Erişimi"
"Custom","Özel"
"All","Tümü"
"Resources","Kaynaklar"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","%name için Şifre Onayı Doğrulaması"
"%name,","%isim,"
"There was recently a request to change the password for your account.","Kısa bir süre önce hesabınız için parola değiştirme isteği geldi."
"If you requested this change, reset your password here:","Bu değişikliği istediyseniz, şifrenizi burada sıfırlayın:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Bu isteği siz yapmadıysanız, bu e-postayı yok sayabilirsiniz ve parolanız aynı kalacaktır."
"Thank you,","Teşekkürler"
"New %changes for %user_name","%user_name için yeni %changes"
"Hello,","Merhaba,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","%store_name: %changes hesabınızla ilişkili aşağıdaki bilgileri değiştirme isteği aldık."
"If you have not authorized this action, please contact us immediately at %store_email","Bu işleme izin vermediyseniz %store_email adresinden hemen bizimle iletişime geçin"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Teşekkürler,"
"All Users","Tüm kullanıcılar"
"User Roles","Kullanıcı Yetkileri"
"User Notification Template","Kullanıcı Bildirim Şablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"Maximum Login Failures to Lockout Account","Hesabı Kilitlemek İçin Maksimum Oturum Açma Hatasına eriştiniz"
"We will disable this feature if the value is empty.","Değer boşsa bu özelliği devre dışı bırakacağız."
"Lockout Time (minutes)","Kilitleme Süresi (dakikalar)"
"Password Lifetime (days)","Parola Ömrü (gün)"
"Password Change","Parola değişimi"
"Unlock","Kilidi kaldır"
"ID","No"
"Username","Kullanıcı Adı"
"Last login","Son oturum açma tarihi"
"Failures","Başarısızlıklar"
"Unlocked","Kilit kaldırıldı"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
