"Back","Kembali"
"Sorry, but this password has already been used. Please create another.","Maaf, tapi kata sandi ini sudah pernah digunakan. Silahkan buat yang lain."
"email","e-mail"
"password","kata Sandi"
"username","nama pengguna"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Silakan masukkan email yang benar."
"Password is required field.","Bidang Password wajib diisi."
"Your password must be at least %1 characters.","Kata sandi anda harus minimal %1 karakter."
"Your password must include both numeric and alphabetic characters.","Kata sandi Anda harus menyertakan karakter numerik dan abjad."
"Your password confirmation must match your password.","Konfirmasi kata sandi Anda harus sesuai dengan kata sandi Anda."
"It's time to change your password.","Saatnya untuk mengubah kata sandi Anda."
"It's time to <a href=""%1"">change your password</a>.","Saatnya untuk <a href=""%1"">mengubah kata sandi Anda</a>."
"Your password has expired; please contact your administrator.","Kata sandi Anda sudah kadaluarsa; silahkan hubungi administrator anda."
"Password Help","Bantuan Kata Sandi"
"Enter your email address.  You will receive an email with a link to reset your password.","Masukkan alamat email Anda. Anda akan menerima email dengan link untuk mereset kata sandi Anda."
"Email address","Alamat email"
"Retrieve Password","Ambil kata sandi"
"Back to Sign in","Kembali ke Masuk"
"Forgot your password?","Lupa kata sandi Anda?"
"Reset a Password","Setel ulang kata sandi"
"Confirm New Password","Konfirmasi password baru"
"Reset Password","Setel Ulang Kata Sandi"
"Roles Resources","Sumber daya Wewenang"
"Resource Access","Akses sumber"
"Custom","Ubah Suai"
"All","Semua"
"Resources","Sumber daya"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","Konfirmasi Reset Password untuk %nama"
"%name,","%nama,"
"There was recently a request to change the password for your account.","Baru-baru ini ada permintaan mengganti kata sandi untuk akun Anda."
"If you requested this change, reset your password here:","Jika Anda meminta perubahan ini, setel ulang kata sandi Anda di sini:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jika Anda tidak mengajukan permintaan ini, Anda dapat mengabaikan email ini dan kata sandi Anda akan tetap sama."
"Thank you,","Terima kasih,"
"New %changes for %user_name","Baru %perubahan untuk %user_name"
"Hello,","Halo,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Kami telah menerima permintaan untuk mengubah informasi berikut yang terkait dengan akun Anda di %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Jika Anda belum mengizinkan tindakan ini, segera hubungi kami di %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Terima kasih,"
"All Users","Semua pengguna"
"User Roles","Wewenang Pengguna"
"User Notification Template","Template Notifikasi Pengguna"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"Maximum Login Failures to Lockout Account","Kegagalan Login Maksimum ke Akun Penguncian"
"We will disable this feature if the value is empty.","Kami akan menonaktifkan fitur ini jika nilainya kosong."
"Lockout Time (minutes)","Waktu penguncian (menit)"
"Password Lifetime (days)","Sandi seumur hidup (hari)"
"Password Change","Perubahan kata sandi"
"Unlock","Membuka kunci"
"ID","Id"
"Username","Nama pengguna"
"Last login","Login terakhir"
"Failures","Kegagalan"
"Unlocked","Tidak Terkunci"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
