"Back","Zpět"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Upozornění!\r\nTímto uživateli odeberete již přiřazenou roli\r\nSkutečně chcete provést tuto akci?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Upozornění!\r\nTímto uživatelům odeberete již přiřazené role\r\nSkutečně chcete provést tuto akci?"
"Password Reset Confirmation for %name","Password Reset Confirmation for %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Byl zaslán požadavek na změnu hesla k účtu."
"If you requested this change, reset your password here:","Pokud jste žádali o změnu hesla, zde zadejte vaše nové:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Pokud jste o změnu nežádali, tuto zprávu můžete ignorovat a vaše heslo zůstane stejné."
"Thank you,","Děkujeme,"
"New %changes for %user_name","New %changes for %user_name"
"Hello,","Ahoj,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Obdrželi jsme požadavek na změnu následujících údajů spojené s vaším účtem v %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Pokud k této činnosti nemáte oprávnění, kontaktujte nás ihned prosím na %store_email"
"or call us at %store_phone","nebo nám zavolejte na %store_phone"
"Thanks,","Děkujeme,"
"All Users","Všichni uživatelé"
"User Roles","Uživatelské role"
"User Notification Template","Šablona oznámení uživateli"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Maximum Login Failures to Lockout Account","Počet chybných pokusů o přihlášení do uzamčení účtu"
"We will disable this feature if the value is empty.","Je-li údaj prázdný, bude tato funkce vypnuta."
"Lockout Time (minutes)","Doba uzamčení (minuty)"
"Password Lifetime (days)","Životnost hesla (dny)"
"Password Change","Změnit heslo"
"Unlock","Odemknout"
"ID","ID"
"Username","Uživatelské jméno"
"Last login","Poslední přihlášení"
"Failures","Chybné pokusy"
"Unlocked","Odemčeno"
"The password for your account has been successfully changed.","Heslo k vašemu účtu bylo úspěšně změněno."
"If you did not request this change, please contact us.","Pokud jste o tuto změnu nepožádal, kontaktujte nás prosím."
"Reset Password Template","Šablona e-mailu obnovy hesla"
"Administrator","Správce"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Přihlášení do účtu bylo nesprávné nebo je váš účet dočasně nedostupný. Čekejte prosím a zkuste to později."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""Uživatelské jméno"" je povinné. Zadejte a zkuste to znovu."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
